config_slot,config_id,seed,episodes,gamma,beta_0,beta_decay,beta_min,vae_latent_dim,vae_lr,vae_beta_kl,vae_batch_size,bootstrap_trajectories,bootstrap_updates,online_aux_updates,vae_replay_capacity,train_profit,train_roi,train_arr,train_sharpe,train_max_drawdown,train_violations,test_profit,test_roi,test_arr,test_sharpe,test_max_drawdown,test_violations,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,vae_loss_last,vae_recon_last,vae_kl_last,cost_loss_mean,cost_loss_last,novelty_mean,novelty_std,novelty_max,finite,elapsed_seconds
2,ucb_009,45,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,9933.519150000002,993.3519150000002,30.465843876665886,0.9706650959617311,55.76544996509449,23,-169.30851999999993,-16.930851999999994,-8.933583522859445,-0.16043772474563492,53.78422988520411,13,10102.827670000002,1010.2827670000001,39.39942739952533,1.1311028207073661,30.670232386300686,0.24538356610413256,0.4428751766681671,0.44176816940307617,0.02213994599878788,0.04265758001630933,0.002353142714127898,4.141210641204636,0.9340259505797524,7.269567012786865,True,412.561266948
2,ucb_009,46,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,57.371700000000146,5.737170000000014,0.6222000112601878,-0.12887964814978245,39.23779908752265,1,86.75862999999958,8.675862999999959,4.2866576006717505,0.3357761870534231,5.195647427818948,0,-29.386929999999438,-2.9386929999999447,-3.6644575894115627,-0.4646558352032055,0.9026103455663865,0.18714577658423062,0.1752796322107315,0.17482995986938477,0.008993469178676605,0.06372001201942049,0.010820433497428894,3.6297896997081662,1.1349990446814964,7.168830394744873,True,412.68981645400004
2,ucb_009,47,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,2183.0502599999954,218.30502599999954,13.739094839816257,0.9765690147482008,19.385461370325427,1,-195.07496000000003,-19.507496000000003,-10.369739269261046,-0.1400699259060555,67.1084901526155,18,2378.1252199999954,237.81252199999955,24.108834109077304,1.1166389406542563,2.255165904615129,0.21123377115562045,0.32036951184272766,0.3196665942668915,0.014058529399335384,0.055747984401110943,0.008538074791431427,4.144123715612739,0.955843232946926,7.328200340270996,True,413.709689842
2,ucb_009,48,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,49.702009999998154,4.970200999999816,0.5407852976934802,-0.700804394744176,4.56298777940764,0,40.17800000000011,4.017800000000011,2.0071531994551473,0.004666174034255907,1.4232955497085917,0,9.524009999998043,0.9524009999998047,-1.466367901761667,-0.705470568778432,32.47030560901062,0.2691142844742742,0.40983280539512634,0.409370094537735,0.009254037402570248,0.04732433856898469,0.00553862052038312,3.7636625942586766,1.0883969232252249,7.326601028442383,True,413.4001732480001
2,ucb_009,49,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,3242.3391999999985,324.23391999999984,17.430712298557328,0.7425798496624532,37.61909752383808,6,70.29762000000005,7.029762000000004,3.4867443290433897,0.17000600991940357,21.722473387853857,1,3172.0415799999982,317.20415799999984,13.943967969513938,0.5725738397430495,8.02652965534229,0.2214837638468578,0.4184540808200836,0.4175785183906555,0.017511505633592606,0.051104114008746274,0.003937753848731518,3.645383298767009,1.1316808919438606,7.158349990844727,True,410.103891814
2,ucb_009,50,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,541.335080000001,54.1335080000001,4.928086026620293,0.4631996079735703,11.87454999879923,0,8.222549999999842,0.8222549999999842,0.41397694703593224,-1.1691934463832794,1.890052995326871,0,533.1125300000011,53.311253000000114,4.514109079584361,1.6323930543568497,0.6404257253265112,0.1836340756251894,0.20489157736301422,0.2038307785987854,0.021215856075286865,0.04736364905497637,0.004772307816892862,3.691766842084455,1.0881872543676236,7.0296783447265625,True,410.623164439
2,ucb_009,51,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,10196.95074,1019.695074,30.81166726300031,0.9813908498404293,55.757661776768295,23,68.27003000000013,6.827003000000014,3.3877942955345297,0.6395249103289915,1.5630410961310122,0,10128.68071,1012.868071,27.42387296746578,0.34186593951143784,22.456578789990832,0.22617948774633737,0.4576249420642853,0.4570096433162689,0.012305940501391888,0.03512928171789852,0.0018944907933473587,3.6052227892027844,0.9974492030649899,6.980024337768555,True,410.31453015199986
2,ucb_009,52,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,12752.527830000003,1275.2527830000004,33.83619559499942,1.0437395378201275,55.775622492708855,25,-222.6702799999997,-22.26702799999997,-11.933331254856661,-0.3172631638744635,57.59843456375117,13,12975.198110000003,1297.5198110000003,45.76952684985608,1.361002701694591,38.98038497420005,0.2783358851383472,0.5003487467765808,0.49866819381713867,0.03361162170767784,0.04403471035144196,0.002229535486549139,3.8863451631890027,1.0753648440740962,7.194665431976318,True,409.84952674099986
2,ucb_009,53,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,7725.773000000001,772.5773000000002,27.23464028718745,0.9135006418433745,55.76222969823432,22,122.44143000000054,12.244143000000053,6.000283427356479,0.2776944346070825,43.59001807886558,6,7603.33157,760.3331570000001,21.23435685983097,0.635806207236292,15.940522445312357,0.20260318116895085,0.35420387983322144,0.3536565601825714,0.010946602560579777,0.050818538646502744,0.010478800162672997,4.077870086754879,0.7959948518468322,6.681009292602539,True,409.83611035900003
2,ucb_009,54,45,0.95,0.03,0.9,0.01,16,0.0001,0.05,256,5,100,1,50000,255.17904,25.517903999999998,2.5592436697501553,0.16637958385353463,6.233687856342217,0,19.519379999999956,1.9519379999999955,0.9800147407923232,-0.3331826054242264,3.0144116676483748,0,235.65966000000003,23.565966000000003,1.579228928957832,0.499562189277761,0.3423702822140142,0.19262708024731998,0.18411505222320557,0.18363527953624725,0.00959547609090805,0.05089817025923524,0.004800109192728996,3.680514810989703,1.0512974988428643,6.9930291175842285,True,409.07010668099974
