batch_idx,config_id,global_index,beta,beta_decay,delta,seed_list,seeds_completed,vae_recon,vae_kld,profit_mean,profit_std,arr_mean,arr_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,score
0,UCB-11,10,0.03,0.97,1.0,1|2|3,3,0.002609,0.476526,3809.051940,6173.445989,0.000203,0.000328,1.280058,0.327968,0.000313,0.000526,0.952088
0,UCB-09,8,0.03,0.94,2.0,1|2|3,3,0.002609,0.476526,679.107209,965.755299,0.000036,0.000051,1.163154,0.297399,0.000066,0.000107,0.865754
0,UCB-02,1,0.03,0.85,1.0,1|2|3,3,0.002609,0.476526,3110.648816,3721.210547,0.000165,0.000198,0.975643,0.114629,0.000263,0.000345,0.861012
0,UCB-07,6,0.03,0.94,0.5,1|2|3,3,0.002609,0.476526,4382.774729,3719.997810,0.000233,0.000198,0.966520,0.135181,0.000378,0.000366,0.831335
0,UCB-12,11,0.03,0.97,2.0,1|2|3,3,0.002609,0.476526,1320.512626,2191.374283,0.000070,0.000117,1.101630,0.296246,0.000109,0.000184,0.805382
0,UCB-04,3,0.03,0.91,0.5,1|2|3,3,0.002609,0.476526,2496.145897,4170.108966,0.000133,0.000222,0.836161,0.165356,0.000213,0.000359,0.670804
0,UCB-10,9,0.03,0.97,0.5,1|2|3,3,0.002609,0.476526,2736.637967,4320.591873,0.000145,0.000230,1.185976,0.685998,0.000251,0.000429,0.499975
0,UCB-05,4,0.03,0.91,1.0,1|2|3,3,0.002609,0.476526,4261.986099,3672.732259,0.000227,0.000195,0.759937,0.264335,0.000351,0.000318,0.495599
0,UCB-06,5,0.03,0.91,2.0,1|2|3,3,0.002609,0.476526,1706.951093,2836.490306,0.000091,0.000151,0.813129,0.400160,0.000162,0.000275,0.412967
0,UCB-03,2,0.03,0.85,2.0,1|2|3,3,0.002609,0.476526,823.295433,1280.603613,0.000044,0.000068,0.877750,0.607187,0.000085,0.000143,0.270563
0,UCB-01,0,0.03,0.85,0.5,1|2|3,3,0.002609,0.476526,2821.214729,2484.750936,0.000150,0.000132,0.598402,0.522060,0.000247,0.000214,0.076340
0,UCB-08,7,0.03,0.94,1.0,1|2|3,3,0.002609,0.476526,1639.066273,2806.452005,0.000087,0.000149,0.608250,0.538054,0.000088,0.000144,0.070196
1,UCB-20,19,0.15,0.94,1.0,1|2|3,3,0.002609,0.476526,370.596377,284.468411,0.000020,0.000015,1.712820,0.716748,0.000013,0.000017,0.996072
1,UCB-15,14,0.15,0.85,2.0,1|2|3,3,0.002609,0.476526,1782.279350,2045.524649,0.000095,0.000109,1.009754,0.270657,0.000149,0.000192,0.739096
1,UCB-14,13,0.15,0.85,1.0,1|2|3,3,0.002609,0.476526,4674.111633,1034.873106,0.000249,0.000055,0.822930,0.120181,0.000425,0.000130,0.702746
1,UCB-16,15,0.15,0.91,0.5,1|2|3,3,0.002609,0.476526,1568.785629,2407.732173,0.000083,0.000128,1.301674,0.624185,0.000143,0.000238,0.677488
1,UCB-22,21,0.15,0.97,0.5,1|2|3,3,0.002609,0.476526,972.494177,1519.486606,0.000052,0.000081,0.953258,0.335122,0.000060,0.000093,0.618136
1,UCB-21,20,0.15,0.94,2.0,1|2|3,3,0.002609,0.476526,510.302180,815.303124,0.000027,0.000043,1.138570,0.713614,0.000017,0.000024,0.424956
1,UCB-18,17,0.15,0.91,2.0,1|2|3,3,0.002609,0.476526,1462.994233,1958.545624,0.000078,0.000104,1.062233,0.727573,0.000097,0.000106,0.334659
1,UCB-23,22,0.15,0.97,1.0,1|2|3,3,0.002609,0.476526,86.461354,117.908211,0.000005,0.000006,0.566899,0.267583,0.000008,0.000007,0.299316
1,UCB-13,12,0.15,0.85,0.5,1|2|3,3,0.002609,0.476526,816.864114,982.440710,0.000043,0.000052,0.627441,0.334674,0.000087,0.000074,0.292765
1,UCB-19,18,0.15,0.94,0.5,1|2|3,3,0.002609,0.476526,790.997983,846.760027,0.000042,0.000045,0.864995,0.743052,0.000035,0.000027,0.121942
1,UCB-24,23,0.15,0.97,2.0,1|2|3,3,0.002609,0.476526,68.337326,80.519003,0.000004,0.000004,0.394785,0.370432,0.000008,0.000007,0.024353
1,UCB-17,16,0.15,0.91,1.0,1|2|3,3,0.002609,0.476526,1275.901269,2116.629159,0.000068,0.000113,0.520722,0.513161,0.000130,0.000208,0.007559
2,UCB-30,29,0.3,0.91,2.0,1|2|3,3,0.002609,0.476526,3813.249216,5820.416889,0.000203,0.000309,1.350585,0.458975,0.000325,0.000538,0.891607
2,UCB-29,28,0.3,0.91,1.0,1|2|3,3,0.002609,0.476526,2571.803420,4283.588348,0.000137,0.000228,1.078090,0.229470,0.000228,0.000387,0.848618
2,UCB-32,31,0.3,0.94,1.0,1|2|3,3,0.002609,0.476526,534.001277,834.919876,0.000028,0.000044,1.116289,0.297259,0.000023,0.000036,0.819031
2,UCB-27,26,0.3,0.85,2.0,1|2|3,3,0.002609,0.476526,6461.164196,3890.666859,0.000344,0.000207,0.831900,0.030822,0.000571,0.000336,0.801073
2,UCB-28,27,0.3,0.91,0.5,1|2|3,3,0.002609,0.476526,3673.692933,2923.960900,0.000195,0.000155,0.943383,0.192381,0.000319,0.000278,0.750999
2,UCB-31,30,0.3,0.94,0.5,1|2|3,3,0.002609,0.476526,287.636664,320.955935,0.000015,0.000017,1.115154,0.405950,0.000014,0.000009,0.709204
2,UCB-25,24,0.3,0.85,0.5,1|2|3,3,0.002609,0.476526,5453.655363,4313.330455,0.000290,0.000229,0.743668,0.095551,0.000539,0.000402,0.648113
2,UCB-26,25,0.3,0.85,1.0,1|2|3,3,0.002609,0.476526,3375.756874,2992.862383,0.000179,0.000159,1.023258,0.414097,0.000333,0.000304,0.609158
2,UCB-34,33,0.3,0.97,0.5,1|2|3,3,0.002609,0.476526,881.517949,1504.851339,0.000047,0.000080,0.658328,0.584565,0.000041,0.000067,0.073763
2,UCB-35,34,0.3,0.97,1.0,1|2|3,3,0.002609,0.476526,321.370227,533.488333,0.000017,0.000028,0.639593,0.570874,0.000013,0.000017,0.068719
2,UCB-33,32,0.3,0.94,2.0,1|2|3,3,0.002609,0.476526,125.889107,177.201519,0.000007,0.000009,0.626352,0.603310,0.000035,0.000045,0.023042
2,UCB-36,35,0.3,0.97,2.0,1|2|3,3,0.002609,0.476526,413.921883,676.428297,0.000022,0.000036,0.734079,0.837218,0.000019,0.000026,-0.103139
3,UCB-42,41,0.85,0.91,2.0,1|2|3,3,0.002609,0.476526,1809.076907,2410.017567,9.618118e-05,1.281307e-04,1.086737,0.083203,0.000113,0.000157,1.003533
3,UCB-41,40,0.85,0.91,1.0,1|2|3,3,0.002609,0.476526,1124.387620,1581.990407,5.977909e-05,8.410794e-05,0.973525,0.137402,0.000071,0.000100,0.836122
