explanation_id,ticker,critical_rank,step,time,critical_type,selected_action,compared_action,compared_label,msx_size,msx_sufficient,disadvantage
ACB-1-10,ACB,1,5,2021-01-11,Trend reversal,0,5,Strong Buy (+5),1,True,0.005
ACB-1-0,ACB,1,5,2021-01-11,Trend reversal,0,-5,Strong Sell (-5),1,True,0.004042427254607901
ACB-2-10,ACB,2,18,2021-01-28,Lowest/Max-DD | Trend reversal,0,5,Strong Buy (+5),1,True,0.0046496475723688535
ACB-2-0,ACB,2,18,2021-01-28,Lowest/Max-DD | Trend reversal,0,-5,Strong Sell (-5),1,True,0.005
ACB-3-10,ACB,3,48,2021-03-18,Trend reversal,0,5,Strong Buy (+5),1,True,0.005
ACB-3-0,ACB,3,48,2021-03-18,Trend reversal,0,-5,Strong Sell (-5),1,True,0.003896496428642422
ACB-4-10,ACB,4,53,2021-03-25,Trend reversal,0,5,Strong Buy (+5),1,True,0.004624193013005422
ACB-4-0,ACB,4,53,2021-03-25,Trend reversal,0,-5,Strong Sell (-5),1,True,0.005
ACB-5-10,ACB,5,72,2021-04-22,Trend reversal,0,5,Strong Buy (+5),1,True,0.004648151589099141
ACB-5-0,ACB,5,72,2021-04-22,Trend reversal,0,-5,Strong Sell (-5),1,True,0.005
ACB-6-10,ACB,6,100,2021-06-03,Trend reversal,0,5,Strong Buy (+5),1,True,0.005
ACB-6-0,ACB,6,100,2021-06-03,Trend reversal,0,-5,Strong Sell (-5),1,True,0.00401901642442681
ACB-7-10,ACB,7,122,2021-07-05,Trend reversal,0,5,Strong Buy (+5),1,True,0.005
ACB-7-0,ACB,7,122,2021-07-05,Trend reversal,0,-5,Strong Sell (-5),1,True,0.003899009660817683
ACB-8-10,ACB,8,222,2021-11-24,Trend reversal,0,5,Strong Buy (+5),1,True,0.005
ACB-8-0,ACB,8,222,2021-11-24,Trend reversal,0,-5,Strong Sell (-5),1,True,0.004133740086108444
ACB-9-10,ACB,9,270,2022-02-08,Trend reversal,0,5,Strong Buy (+5),1,True,0.005
ACB-9-0,ACB,9,270,2022-02-08,Trend reversal,0,-5,Strong Sell (-5),1,True,0.0038401377922855293
ACB-10-5,ACB,10,335,2022-05-13,Trend reversal | Action shift,3,0,Hold (0),1,True,0.005
