ticker,period,model_key,strategy,n,test_sharpe_mean,test_sharpe_std
ACB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,-9.514789031933669,43.59075061487044
ACB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,20,-0.09268124107529957,2.0944056066145857
ACB,GOOD,BUY_AND_HOLD,Buy-and-Hold,1,1.087446626256321,0.0
ACB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,-6.5809541418820485,27.849636499153117
ACB,BAD,EPSILON_GREEDY,Epsilon-Greedy,20,-0.16944084513610114,0.4184473684047342
ACB,BAD,BUY_AND_HOLD,Buy-and-Hold,1,0.1328033608307271,0.0
FPT,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,-0.6541371475377086,5.8367259432338106
FPT,GOOD,EPSILON_GREEDY,Epsilon-Greedy,20,0.5186244407820662,1.6356234945732844
FPT,GOOD,BUY_AND_HOLD,Buy-and-Hold,1,1.6388941242892316,0.0
FPT,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,0.49240206581514034,0.5945759565134289
FPT,BAD,EPSILON_GREEDY,Epsilon-Greedy,20,0.4953170121572651,0.7787809474475541
FPT,BAD,BUY_AND_HOLD,Buy-and-Hold,1,0.7907508139877614,0.0
GAS,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,0.9241555238526409,0.876220500342726
GAS,GOOD,EPSILON_GREEDY,Epsilon-Greedy,20,0.986332655510988,0.5876415814900423
GAS,GOOD,BUY_AND_HOLD,Buy-and-Hold,1,1.2969364609437617,0.0
GAS,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,-0.06410544455561419,0.3662857663592742
GAS,BAD,EPSILON_GREEDY,Epsilon-Greedy,20,-0.2573082747338834,1.0248743132883653
GAS,BAD,BUY_AND_HOLD,Buy-and-Hold,1,-0.144919594312668,0.0
HPG,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,0.9241555238526409,0.876220500342726
HPG,GOOD,EPSILON_GREEDY,Epsilon-Greedy,20,0.986332655510988,0.5876415814900423
HPG,GOOD,BUY_AND_HOLD,Buy-and-Hold,1,1.2969364609437617,0.0
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,-0.06410544455561419,0.3662857663592742
HPG,BAD,EPSILON_GREEDY,Epsilon-Greedy,20,-0.2573082747338834,1.0248743132883653
HPG,BAD,BUY_AND_HOLD,Buy-and-Hold,1,-0.144919594312668,0.0
SSI,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,1.206720255250882,0.3479128861220606
SSI,GOOD,EPSILON_GREEDY,Epsilon-Greedy,20,1.123831441377387,0.35871678208170804
SSI,GOOD,BUY_AND_HOLD,Buy-and-Hold,1,1.2723630683695597,0.0
SSI,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,0.03792500435074232,0.47681152148061595
SSI,BAD,EPSILON_GREEDY,Epsilon-Greedy,20,-0.07826309911998948,0.6985665252288435
SSI,BAD,BUY_AND_HOLD,Buy-and-Hold,1,-0.1246310004858767,0.0
VCB,GOOD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,-0.4310254304588869,3.847990234490511
VCB,GOOD,EPSILON_GREEDY,Epsilon-Greedy,20,-0.25718843109733863,2.4812404313129393
VCB,GOOD,BUY_AND_HOLD,Buy-and-Hold,1,0.8675743547476035,0.0
VCB,BAD,UNCERTAINTY_AWARE_UCB_009,UCB-VAE,20,0.140948500349364,0.3794148464942517
VCB,BAD,EPSILON_GREEDY,Epsilon-Greedy,20,0.16495432413424896,0.3813841580580427
VCB,BAD,BUY_AND_HOLD,Buy-and-Hold,1,0.4077621538944718,0.0
