ticker,period,model_key,model,seed,episode,split,control,epsilon_ucb,action_coverage,ucb_total_transitions,profit,roi,arr,volatility,sharpe,max_drawdown,violations,flat_step_ratio,no_trade,near_zero_vol,collapse,trade_count,invalid_action_count,invalid_action_rate,turnover,exposure_ratio,q_scale_mean,exploration_bonus_mean,exploration_bonus_max
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,1,train,1.0,1.0,1.0,2247,1432.0750199999993,143.20750199999995,10.386434014260605,21.391967558138994,0.4794473082377845,54.381001309390655,14,0.014686248331108143,False,False,False,2213,0,0.0,26.404980000000002,0.4420575032544866,0.27559640315250655,0.9567666976502129,1.0
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,1,test,1.0,1.0,1.0,2247,-197.7388699999999,-19.77388699999999,-10.464846513636871,37.937336441237605,-0.15673790751566335,67.3808888122689,17,0.0,False,False,False,498,0,0.0,12.598870000000026,0.9329636393035567,0.3734043022116504,0.9816010737231979,1.0
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,2,train,0.9045834549972122,0.8,1.0,4494,1430.74681,143.074681,10.379729524065539,21.364317083748542,0.47948817300249386,53.53381933184137,14,0.01602136181575434,False,False,False,2208,0,0.0,26.303190000000004,0.4365958590665438,0.27315595223803385,0.8660606787458142,0.9045834541320801
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,2,test,0.9045834549972122,0.8,1.0,4494,-197.7388699999999,-19.77388699999999,-10.464846513636871,37.937336441237605,-0.15673790751566335,67.3808888122689,17,0.0,False,False,False,498,0,0.0,12.598870000000026,0.9329636393035567,0.36865501485794905,0.8880000273408399,0.9045834541320801
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,3,train,0.8182712270546932,0.6400000000000001,1.0,6741,1429.0747899999997,142.90747899999997,10.371284931186796,21.35977005892332,0.4791823732649395,53.54919237358967,13,0.019581664441477527,False,False,False,2198,0,0.0,26.095210000000016,0.43678624236416297,0.26901693042312985,0.7834167529807708,0.8182712197303772
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,3,test,0.8182712270546932,0.6400000000000001,1.0,6741,-190.39643999999987,-19.039643999999985,-10.054652233609051,37.93447346457775,-0.14466813022065286,67.49945168661442,18,0.0,False,False,False,498,0,0.0,12.59644000000001,0.9341255434947308,0.3636043593586688,0.8033371684911609,0.8182712197303772
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,4,train,0.7401946136939427,0.5120000000000001,1.0,8988,1430.1240399999997,143.01240399999998,10.376584806916679,21.370843989712153,0.47927281453918597,53.90131418226658,13,0.021361815754339118,False,False,False,2193,0,0.0,26.09596,0.43728393728535725,0.2649013832357389,0.7086709725623832,0.7401946187019348
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,4,test,0.7401946136939427,0.5120000000000001,1.0,8988,-190.39643999999987,-19.039643999999985,-10.054652233609051,37.93447346457775,-0.14466813022065286,67.49945168661442,18,0.0,False,False,False,498,0,0.0,12.59644000000001,0.9341255434947308,0.3585920240206412,0.7267342332224204,0.7401946187019348
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,5,train,0.6695678010255933,0.4096000000000001,1.0,11235,1435.85916,143.585916,10.405517630450166,21.342303680486168,0.4808588718484996,53.58392327113641,12,0.02091677792612372,False,False,False,2191,0,0.0,26.040840000000003,0.4370532951148863,0.2609506261099377,0.6410385533536084,0.6695678234100342
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,5,test,0.6695678010255933,0.4096000000000001,1.0,11235,-190.39643999999987,-19.039643999999985,-10.054652233609051,37.93447346457775,-0.14466813022065286,67.49945168661442,18,0.0,False,False,False,498,0,0.0,12.59644000000001,0.9341255434947308,0.35332411557555676,0.6574360971992231,0.6695678234100342
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,6,train,0.6056799548066172,0.3276800000000001,1.0,13482,1404.1390999999999,140.41391,10.244729418937549,21.325798883115585,0.4741761914724245,54.101874670729366,13,0.0258121940364931,False,False,False,2177,0,0.0,26.040899999999993,0.4367336216340336,0.2575485312413469,0.5798647346034349,0.6056799292564392
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,6,test,0.6056799548066172,0.3276800000000001,1.0,13482,-171.86722999999995,-17.186722999999997,-9.027661185501646,37.96882537474258,-0.11406002725323097,67.096916682356,18,0.0,False,False,False,498,0,0.0,12.587230000000009,0.9349858973104617,0.34880993931169013,0.5947537974050855,0.6056799292564392
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,7,train,0.547888066141525,0.2621440000000001,1.0,15729,1428.5097700000006,142.85097700000006,10.368430110852,21.384915252302424,0.47874210215922536,53.904558578928885,14,0.0262572318647085,False,False,False,2173,0,0.0,26.080229999999993,0.43783715110774724,0.25454607857934197,0.5245331798119419,0.5478880405426025
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,7,test,0.547888066141525,0.2621440000000001,1.0,15729,-171.86722999999995,-17.186722999999997,-9.027661185501646,37.96882537474258,-0.11406002725323097,67.096916682356,18,0.0,False,False,False,498,0,0.0,12.587230000000009,0.9349858973104617,0.3448256030379529,0.538039457497696,0.5478880405426025
HPG,BAD,UNCERTAINTY_AWARE_UCB_009,Uncertainty-Aware UCB-VAE — env_v3 warm-up + scaled bonus,41,8,train,0.49561047982204176,0.20971520000000007,1.0,17976,1429.186420000001,142.9186420000001,10.371848883156542,21.37101432197113,0.4790636264701138,54.01336648195502,14,0.027147307521139297,False,False,False,2171,0,0.0,26.07357999999999,0.4378595936258758,0.2519445541763656,0.4744761459441682,0.49561047554016113
