ticker,period,model_key,result_schema_version,model,strategy,seed,episodes,gamma,near_zero_vol_percent,collapse_flat_ratio,beta_0,beta_decay,beta_min,epsilon_init,beta_decay_transitions,beta_min_action_coverage,ucb_epsilon_init,ucb_epsilon_decay,ucb_epsilon_min,ucb_warmup_episodes,q_scale_floor,final_beta,final_ucb_epsilon,final_action_coverage,ucb_total_transitions,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_volatility,train_sharpe,train_max_drawdown,train_violations,train_flat_step_ratio,train_no_trade,train_near_zero_vol,train_collapse,train_trade_count,train_invalid_action_count,train_invalid_action_rate,train_turnover,train_exposure_ratio,train_q_scale_mean,train_exploration_bonus_mean,train_exploration_bonus_max,test_profit,test_roi,test_arr,test_volatility,test_sharpe,test_max_drawdown,test_violations,test_flat_step_ratio,test_no_trade,test_near_zero_vol,test_collapse,test_trade_count,test_invalid_action_count,test_invalid_action_rate,test_turnover,test_exposure_ratio,test_q_scale_mean,test_exploration_bonus_mean,test_exploration_bonus_max,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite,elapsed_seconds
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,41,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1128.4114899999986,112.84114899999986,8.761599979280788,14.518778967628787,0.5180661416064739,27.35734418610794,7,0.03693813974187806,False,False,False,1964,0,0.0,20.77851000000001,0.1937377077985286,0.17217310915589598,0.095134397890352,0.10000000149011612,-483.6855900000003,-48.368559000000026,-28.22648968188528,33.18696023186588,-0.9004024476094462,65.01946548954027,21,0.0,False,False,False,498,0,0.0,12.295589999999997,0.5295247972027554,0.27848608024328586,0.09815666336442441,0.10000000149011612,1612.0970799999989,161.2097079999999,36.98808966116607,1.4184685892159201,0.013078729286833011,0.1891746689533365,,4.442081138573236,True,473.959349482
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,42,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,730.5211299999974,73.05211299999974,6.287508500191019,9.31940728833469,0.49196021819674296,28.186830206779163,0,0.11481975967957277,False,False,False,1612,0,0.0,39.388870000000004,0.13171525266741865,0.15042379971810801,0.09644534182146046,0.10000000149011612,-243.75958000000014,-24.375958000000015,-13.079623651110438,41.41339196417214,-0.18170617894676777,65.79434612222084,29,0.01606425702811245,False,False,False,325,0,0.0,13.45958,0.7759926077664415,0.2508314980949503,0.09874990414222821,0.10000000149011612,974.2807099999975,97.42807099999975,19.36713215130146,0.6736663971435107,0.004453283176005726,0.17962783698377938,,4.419847867749128,True,467.6943276960001
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,43,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,3145.4668900000024,314.54668900000024,17.129495260465433,17.43893986457648,0.8871007973322215,32.981747404992404,2,0.01290609701824655,False,False,False,2061,0,0.0,41.96310999999999,0.3680112707048018,0.17460393324381626,0.09668436607742101,0.10000000149011612,-42.00345000000004,-4.200345000000005,-2.129913126837435,34.000121339715896,0.04822030050832113,60.23690936468693,18,0.10642570281124498,False,False,False,227,0,0.0,10.763449999999999,0.5740214924296937,0.27138655358947905,0.09830903197975653,0.10000000149011612,3187.4703400000026,318.74703400000027,19.25940838730287,0.8388804968239003,0.0064428669633703126,0.1858516865763171,,4.342551975060484,True,470.8867727239999
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,44,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,2340.8599000000004,234.08599000000004,14.352678392142204,19.737455050942224,0.6825364929087718,45.748029273237734,9,0.0004450378282153983,False,False,False,2238,0,0.0,46.58009999999996,0.4830906561516726,0.18758403979371163,0.09520788197987971,0.10000000149011612,66.23971000000029,6.6239710000000285,3.2702561328254776,24.33633906010348,0.1728042620930457,32.58899968232011,3,0.0,False,False,False,498,0,0.0,20.930289999999992,0.49802672008415066,0.291900637608216,0.09808850050783148,0.10000000149011612,2274.62019,227.462019,11.082422259316726,0.5097322308157262,0.009596651010711126,0.19148406478865393,,4.329178993568755,True,471.7897617880001
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,45,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,2010.1485600000028,201.0148560000003,13.034979236605771,20.405476538727854,0.6093682615915192,35.17681787617797,18,0.015131286159323543,False,False,False,2003,0,0.0,48.051440000000014,0.29754445284405623,0.2806170871012944,0.09728551565818273,0.10000000149011612,-299.68903,-29.968903,-16.366586262151717,44.79804702196089,-0.22193331419569906,68.07904122785314,37,0.002008032128514056,False,False,False,444,0,0.0,34.21902999999998,0.8863179619759218,0.3559551446373204,0.09858833944718086,0.10000000149011612,2309.837590000003,230.9837590000003,29.40156549875749,0.8313015757872183,0.016340671439747108,0.2025136780122231,,4.4008327355651184,True,471.19221461100005
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,46,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,2703.2056800000005,270.32056800000004,15.669427386165435,17.184265760570124,0.8238809596815871,39.90963581570763,5,0.0008900756564307966,False,False,False,2229,0,0.0,52.51432000000017,0.34199088383003534,0.18038404006950315,0.09727331175547123,0.10000000149011612,-130.70452999999964,-13.070452999999963,-6.786405256291528,10.639689307581286,-0.8007180960565755,28.247286582185875,0,0.08835341365461848,False,False,False,403,0,0.0,13.924529999999995,0.16338997167788155,0.2459038280578981,0.09798821597045554,0.10000000149011612,2833.91021,283.391021,22.45583264245696,1.6245990557381627,0.0070491905921328535,0.1971946756387579,,4.046415146292017,True,468.56894526899987
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,47,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1473.6196499999983,147.36196499999983,10.594515922659298,17.403098392632472,0.555632779396032,44.911667604520254,9,0.0013351134846461949,False,False,False,2194,0,0.0,67.97034999999988,0.43043159460574837,0.18477241135884986,0.09684293482598978,0.10000000149011612,109.75605000000041,10.97560500000004,5.363798184308055,36.24438476381597,0.2713929123752287,47.89385102152126,15,0.030120481927710843,False,False,False,355,0,0.0,19.133949999999984,0.7058779689917231,0.30791035647612497,0.09813939334158917,0.10000000149011612,1363.8635999999979,136.3863599999998,5.230717738351243,0.2842398670208032,0.008331823986193258,0.1893254024201426,,4.169625273017215,True,469.33167651799977
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,48,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,5854.837109999999,585.4837109999999,23.866022864240154,27.754253053589167,0.8444582391438753,63.2616175029072,25,0.014686248331108143,False,False,False,2058,0,0.0,40.95289000000002,0.8170532415437479,0.2357494476262495,0.09796138108500087,0.10000000149011612,-37.46769999999947,-3.7467699999999464,-1.8977022274638822,4.321954187132952,-0.8882084381697537,8.674136857835094,0,0.3112449799196787,False,False,False,314,0,0.0,11.3877,0.043573683048106666,0.33204886110791243,0.0983627923594617,0.10000000149011612,5892.304809999998,589.2304809999998,25.763725091704035,1.732666677313629,0.00816400113923728,0.21444683794317573,,4.214424193297132,True,466.11519207400033
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,49,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,988.9008900000008,98.89008900000007,7.944859033745089,15.378221564213257,0.4482944530195099,32.74465110051181,9,0.018691588785046728,False,False,False,1908,0,0.0,59.869110000000084,0.374898798373021,0.19133958155492384,0.09703428540558917,0.10000000149011612,130.99235999999928,13.099235999999928,6.370604573712524,19.83433184739708,0.31204637617147035,23.349071674167984,2,0.07630522088353414,False,False,False,381,0,0.0,17.22764,0.23931473660974553,0.22139043627254457,0.09841731152054863,0.10000000149011612,857.9085300000015,85.79085300000014,1.5742544600325648,0.13624807684803952,0.009819906909179724,0.20550446284228358,,4.06693758578055,True,468.5613699850005
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,50,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,3054.19547,305.419547,16.83991398096478,18.093684437257547,0.8476348165323025,33.198957359466355,11,0.0,False,False,False,2247,0,0.0,57.27453000000008,0.35853955550453265,0.20889247807002248,0.09720797231226826,0.10000000149011612,-45.8794799999996,-4.587947999999961,-2.3287836640368265,3.4743039943588925,-1.242233888359586,7.454552999999919,0,0.11044176706827309,False,False,False,443,0,0.0,17.559480000000008,0.03593092803763957,0.2885463013796203,0.0984219711786663,0.10000000149011612,3100.0749499999997,310.007495,19.168697645001608,2.0898687048918885,0.0081247707095894,0.1920411894033695,,4.118159229496875,True,466.7924640069996
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,51,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1322.013270000004,132.2013270000004,9.819503680556707,19.495877025165235,0.47957572275666416,66.25412811179673,12,0.003115264797507788,False,False,False,2171,0,0.0,54.79672999999998,0.5151193007915923,0.18879200685744452,0.09810960119882631,0.10000000149011612,-92.2333500000002,-9.22333500000002,-4.739040394107308,15.481888147931624,-0.36775903807490923,24.71648602593797,3,0.2991967871485944,False,False,False,229,0,0.0,13.703350000000002,0.15510032859997844,0.25130938382512596,0.0987030042647532,0.10000000149011612,1414.2466200000042,141.4246620000004,14.558544074664015,0.8473347608315733,0.00791029663674568,0.19168706587676343,,3.9216526774169322,True,466.6589108089993
SSI,BAD,UCB_WITHOUT_COST_NETWORK,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without Cost Network,ucb,52,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,984.9739200000013,98.49739200000013,7.9211407840787285,15.468411982466002,0.44519467799798745,35.665660659492296,5,0.007120605251446373,False,False,False,2132,0,0.0,71.66608000000001,0.3637412918078259,0.20333845562931163,0.0943721273569062,0.10000000149011612,-378.952219999999,-37.8952219999999,-21.25784511426008,33.22172294961793,-0.618340681268482,58.27507806531974,19,0.004016064257028112,False,False,False,472,0,0.0,34.27222000000001,0.4382739873558349,0.4563948972876292,0.09807599307074952,0.10000000149011612,1363.9261400000003,136.39261400000004,29.17898589833881,1.0635353592664694,0.018823269675421115,0.20903813746468775,,4.254689847870263,True,468.0241357449995
