ticker,period,model_key,result_schema_version,model,strategy,seed,episodes,gamma,near_zero_vol_percent,collapse_flat_ratio,beta_0,beta_decay,beta_min,epsilon_init,beta_decay_transitions,beta_min_action_coverage,ucb_epsilon_init,ucb_epsilon_decay,ucb_epsilon_min,ucb_warmup_episodes,q_scale_floor,final_beta,final_ucb_epsilon,final_action_coverage,ucb_total_transitions,epsilon_decay,epsilon_min,vae_latent_dim,vae_lr,vae_beta_kl,train_profit,train_roi,train_arr,train_volatility,train_sharpe,train_max_drawdown,train_violations,train_flat_step_ratio,train_no_trade,train_near_zero_vol,train_collapse,train_trade_count,train_invalid_action_count,train_invalid_action_rate,train_turnover,train_exposure_ratio,train_q_scale_mean,train_exploration_bonus_mean,train_exploration_bonus_max,test_profit,test_roi,test_arr,test_volatility,test_sharpe,test_max_drawdown,test_violations,test_flat_step_ratio,test_no_trade,test_near_zero_vol,test_collapse,test_trade_count,test_invalid_action_count,test_invalid_action_rate,test_turnover,test_exposure_ratio,test_q_scale_mean,test_exploration_bonus_mean,test_exploration_bonus_max,gap_profit,gap_roi,gap_arr,gap_sharpe,q_loss_mean,vae_loss_mean,cost_loss_mean,novelty_mean,finite,elapsed_seconds
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,41,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,989.4676200000013,98.94676200000012,7.948278551678412,17.475800527063118,0.414429621188773,35.341181551651125,8,0.059635068980863376,False,False,False,2093,0,0.0,74.25237999999997,0.4565111486457522,0.1839387846466537,0.0,0.0,94.37210000000027,9.437210000000027,4.628440922852084,20.269358781876644,0.22767500738608326,21.410329810382954,1,0.0,False,False,False,498,0,0.0,32.21790000000001,0.7667123507148689,0.2601653617399045,0.0,0.0,895.095520000001,89.5095520000001,3.3198376288263276,0.18675461380268976,0.009252949668896488,,0.03733598511216456,0.0,True,354.3992721129998
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,42,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1033.8553700000002,103.38553700000001,8.21345154709352,8.166604135129074,0.7707915475949763,10.408354237849549,1,0.11170449488206498,False,False,False,1327,0,0.0,85.50463000000009,0.16656411612069802,0.15554479967005316,0.0,0.0,65.1929799999998,6.5192979999999805,3.2193792870852445,17.330759573016564,0.1555086458130671,25.79557899136089,0,0.012048192771084338,False,False,False,458,0,0.0,42.25702000000001,0.5678753284573882,0.22868789642690177,0.0,0.0,968.6623900000004,96.86623900000004,4.994072260008275,0.6152829017819091,0.004309548611715321,,0.04654292829077819,0.0,True,350.06998322200025
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,43,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1460.2452800000046,146.02452800000046,10.52786983032885,16.190216914820997,0.5808365416574955,20.89517451963617,2,0.04672897196261682,False,False,False,1830,0,0.0,99.04471999999987,0.4549869035009795,0.17475338741261587,0.0,0.0,86.03493999999955,8.603493999999955,4.227769486095911,19.541171956599513,0.2091393263868905,21.32145963260515,0,0.0642570281124498,False,False,False,212,0,0.0,24.165059999999993,0.7734740101218082,0.23499523947037845,0.0,0.0,1374.210340000005,137.4210340000005,6.300100344232939,0.37169721527060506,0.006131983645595208,,0.05372409840467675,0.0,True,348.46288508099997
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,44,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1100.4361399999993,110.04361399999993,8.601717507781403,18.35722412755225,0.43640513944848125,32.21600642842933,11,0.0,False,False,False,2233,0,0.0,117.99385999999994,0.550348049558832,0.18298346377846184,0.0,0.0,95.67077000000063,9.567077000000063,4.690715968157577,18.213478512264178,0.2350490434937963,21.218771887753636,1,0.0,False,False,False,498,0,0.0,52.90923000000002,0.6856163279770731,0.296124159092884,0.0,0.0,1004.7653699999987,100.47653699999987,3.9110015396238262,0.20135609595468495,0.007944314027877732,,0.048388109715848136,0.0,True,351.37121990700007
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,45,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1339.78114,133.978114,9.912621486599393,20.380127628098748,0.4715525322346847,36.9171464716212,17,0.024477080551846907,False,False,False,1748,0,0.0,99.55885999999985,0.42388637263042644,0.2554244939511386,0.0,0.0,114.28609999999912,11.428609999999912,5.579366403260466,20.58957406165843,0.27164373582578916,26.72404261417584,0,0.004016064257028112,False,False,False,492,0,0.0,94.77389999999997,0.7783464458782228,0.32874671357822227,0.0,0.0,1225.495040000001,122.5495040000001,4.333255083338927,0.19990879640889553,0.01454786561705448,,0.047489666527715226,0.0,True,356.7084960840002
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,46,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1556.1816299999991,155.6181629999999,10.998979723991887,19.877695672322822,0.5279989805696506,27.431778716929482,4,0.0,False,False,False,2226,0,0.0,103.3883699999999,0.5942545720023213,0.19439161180269468,0.0,0.0,-14.926290000000563,-1.4926290000000562,-0.7516832428803633,6.765776248798494,-0.3743745280769459,7.8297402220519885,0,0.08032128514056225,False,False,False,457,0,0.0,37.97629,0.17712953102483278,0.22637382371119227,0.0,0.0,1571.1079199999997,157.11079199999995,11.75066296687225,0.9023735086465965,0.007411283505599038,,0.08155570000666996,0.0,True,353.34065652399977
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,47,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1274.0393999999983,127.40393999999984,9.564881695552895,13.731708041669494,0.5940030820818744,18.464926019732765,1,0.008900756564307966,False,False,False,2128,0,0.0,157.05059999999997,0.3877800772868878,0.1957409381899613,0.0,0.0,140.06328999999982,14.006328999999981,6.797781128689806,14.928746873349711,0.3848958776537597,16.6447346368273,0,0.09036144578313253,False,False,False,293,0,0.0,41.26671000000002,0.5043051819536228,0.2844043206199106,0.0,0.0,1133.9761099999985,113.39761099999986,2.767100566863089,0.20910720442811465,0.0077787015881722816,,0.042929982846795486,0.0,True,356.57831559700026
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,48,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,1516.6587200000022,151.6658720000002,10.806832475137185,15.265607115365434,0.6231176753222486,23.597913963473957,0,0.020471740097908322,False,False,False,2149,0,0.0,81.09128000000001,0.4700352960821693,0.23167752260346386,0.0,0.0,-24.91935000000035,-2.491935000000035,-1.2581064506176909,1.772272949342329,-1.8401366795257124,3.511231794990466,0,0.3895582329317269,False,False,False,284,0,0.0,25.50935000000001,0.04027622723048494,0.31227320366834543,0.0,0.0,1541.5780700000025,154.15780700000025,12.064938925754875,2.463254354847961,0.008482437250154082,,0.059801997693962064,0.0,True,355.28933643699975
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,49,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,484.6636900000026,48.466369000000256,4.491953616768796,15.364525480900774,0.23501951217172248,24.29787109854999,3,0.04183355585224744,False,False,False,1801,0,0.0,123.22630999999991,0.39236664027998636,0.1878722245507788,0.0,0.0,89.27283999999918,8.927283999999917,4.383559527896996,10.769447211076162,0.2700537909692449,9.524570313158842,0,0.1827309236947791,False,False,False,298,0,0.0,34.707159999999995,0.24044739012297017,0.20740021159311375,0.0,0.0,395.3908500000034,39.53908500000034,0.10839408887179935,-0.03503427879752244,0.00847818911809296,,0.04561232704155404,0.0,True,351.5410504520005
VCB,BAD,UCB_WITHOUT_VAE_UNCERTAINTY,env_v3_ucb_vae_ablation_bad_v1,UCB-VAE without VAE uncertainty,ucb,50,45,0.95,0.05,0.95,1.0,0.8,0.1,,5000,0.7,1.0,0.8,0.05,15,0.001,0.1,0.05,1.0,101115,,,16,0.0001,0.05,813.007899999998,81.30078999999981,6.8392283145539245,15.02192987634367,0.3859930652973272,31.898308022449317,5,0.0,False,False,False,2247,0,0.0,144.84209999999996,0.36314485265242796,0.18902649632628143,0.0,0.0,68.04804999999988,6.804804999999988,3.35809281919901,12.843197968446946,0.16790052327181076,11.554962988386382,0,0.004016064257028112,False,False,False,495,0,0.0,54.88194999999997,0.44832874796059763,0.28627826240527104,0.0,0.0,744.9598499999981,74.49598499999982,3.4811354953549145,0.21809254202551642,0.008084916045391978,,0.05751029194557461,0.0,True,347.4754925590005
