t,action,action_desc,reward,G_t(H),price,position,tags
0,3,BUY 3,-0.2807099999999991,7.768393017757265,3.57,0.0,ACCUMULATION
1,3,BUY 3,0.22955999999987853,4.4984452160983,3.48,3.0,ACCUMULATION
2,3,BUY 3,-0.01056000000005497,1.3747184519172548,3.52,6.0,ACCUMULATION
3,3,BUY 3,1.7894400000000132,2.189427041936284,3.52,9.0,ACCUMULATION
4,3,BUY 3,-0.011010000000055697,-5.310132689992759,3.67,12.0,NORMAL
5,3,BUY 3,2.328989999999976,-4.415928596240991,3.67,15.0,NORMAL
6,3,BUY 3,0.8286000000000513,-1.1991932758059471,3.8,18.0,NORMAL
7,3,BUY 3,-0.9715199999999413,4.515235764932604,3.84,21.0,ACCUMULATION
8,4,BUY 4,2.7847999999999047,11.959088093560005,3.8,24.0,ACCUMULATION
9,4,BUY 4,1.5843999999999596,10.392438324680004,3.9,28.0,ACCUMULATION
10,4,BUY 4,-3.9757999999999356,8.882282510738182,3.95,32.0,ACCUMULATION
11,4,BUY 4,-3.2153600000000324,7.930621027919589,3.84,36.0,ACCUMULATION
12,4,BUY 4,0.8649599999999964,9.910397941032006,3.76,40.0,ACCUMULATION
13,4,BUY 4,-6.2551200000000335,10.52926207103688,3.78,44.0,ACCUMULATION
14,4,BUY 4,1.0254000000001042,16.939487711365317,3.65,48.0,ACCUMULATION
15,4,BUY 4,6.14531999999997,25.378278423909094,3.67,52.0,ACCUMULATION
16,4,BUY 4,7.184880000000021,23.477510421734507,3.78,56.0,ACCUMULATION
17,4,BUY 4,7.024400000000014,16.46849351937529,3.9,60.0,ACCUMULATION
18,-3,SELL 3,1.2320300000000088,12.813095730111868,4.01,64.0,ACCUMULATION
19,4,BUY 4,-0.016120000000114487,6.940886855416232,4.03,61.0,ACCUMULATION
20,4,BUY 4,-5.536119999999983,7.012297969076994,4.03,65.0,ACCUMULATION
21,4,BUY 4,-1.4757999999999356,-11.639370800189258,3.95,69.0,NORMAL
22,4,BUY 4,1.5242800000000898,-4.853899224993005,3.93,73.0,NORMAL
23,4,BUY 4,-0.0158000000001266,-6.45678306545178,3.95,77.0,NORMAL
24,4,BUY 4,10.184200000000146,-27.04695383909464,3.95,81.0,NORMAL
25,4,BUY 4,4.433719999999994,-26.6608595193634,4.07,85.0,NORMAL
26,-3,SELL 3,0.012359999999944193,-25.331547503325012,4.12,89.0,NORMAL
27,4,BUY 4,3.5835199999999077,-25.613938193936452,4.12,86.0,NORMAL
28,-3,SELL 3,-5.207519999999931,-47.986867555592525,4.16,90.0,NORMAL
29,4,BUY 4,-0.01639999999997599,-45.42887913287327,4.1,87.0,NORMAL
30,4,BUY 4,-26.6164,-39.136102432783616,4.1,91.0,NORMAL
31,4,BUY 4,5.924720000000093,-14.980054478080016,3.82,95.0,NORMAL
32,4,BUY 4,-0.015520000000037726,-15.145879359797497,3.88,99.0,NORMAL
33,4,BUY 4,-22.485520000000065,-0.49787808131000055,3.88,103.0,NORMAL
34,2,BUY 2,11.98266000000001,17.116478709497887,3.67,107.0,ACCUMULATION
35,2,BUY 2,6.65244000000007,-0.053601735008800944,3.78,109.0,NORMAL
36,4,BUY 4,-0.01535999999998694,-6.787591911093962,3.84,111.0,NORMAL
37,4,BUY 4,-20.245360000000005,-1.336806500015138,3.84,115.0,NORMAL
38,2,BUY 2,-2.427340000000072,13.421783511943676,3.67,119.0,ACCUMULATION
39,2,BUY 2,7.372700000000123,18.90038813484601,3.65,121.0,ACCUMULATION
40,4,BUY 4,-2.5548400000001266,11.630243966975566,3.71,123.0,ACCUMULATION
41,4,BUY 4,6.535240000000044,20.25143077264419,3.69,127.0,ACCUMULATION
42,4,BUY 4,16.185040000000072,5.03366944972438,3.74,131.0,ACCUMULATION
43,4,BUY 4,-5.5754400000000714,-8.33730236970095,3.86,135.0,NORMAL
44,4,BUY 4,-5.7352800000001025,-5.691273450852359,3.82,139.0,NORMAL
45,4,BUY 4,-0.015120000000024447,-10.055596602228434,3.78,143.0,NORMAL
46,4,BUY 4,6.024879999999939,-13.115248035606077,3.78,147.0,NORMAL
47,4,BUY 4,-6.215279999999893,-16.314068915155442,3.82,151.0,NORMAL
48,4,BUY 4,3.1648799999999255,6.868419047995914,3.78,155.0,ACCUMULATION
49,4,BUY 4,-0.015199999999936153,3.7444381692145834,3.8,159.0,ACCUMULATION
50,-1,SELL 1,6.483799999999974,0.7316859966783582,3.8,163.0,NORMAL
51,-1,SELL 1,-9.65616,-11.909040012621604,3.84,162.0,NORMAL
52,-1,SELL 1,3.2037800000000516,3.959082297000416,3.78,161.0,ACCUMULATION
53,-1,SELL 1,-3.1761999999999944,21.531563531222922,3.8,160.0,ACCUMULATION
54,-1,SELL 1,-11.056220000000053,40.85612712922308,3.78,159.0,ACCUMULATION
55,4,BUY 4,-3.2548399999999447,36.636547364982924,3.71,158.0,ACCUMULATION
56,4,BUY 4,3.305240000000026,32.44167246612321,3.69,162.0,ACCUMULATION
57,4,BUY 4,18.685159999999996,13.81313937972084,3.71,166.0,ACCUMULATION
58,-1,SELL 1,0.0038199999999051215,-18.894593741081202,3.82,170.0,NORMAL
59,-1,SELL 1,-3.356179999999881,-19.10279032374571,3.82,169.0,NORMAL
60,-1,SELL 1,-6.676199999999994,-12.667029107213715,3.8,168.0,NORMAL
61,4,BUY 4,6.824959999999919,-16.040507471013143,3.76,167.0,NORMAL
62,4,BUY 4,22.734800000000178,-33.30462162263272,3.8,171.0,NORMAL
63,-1,SELL 1,17.403929999999946,-49.67586341329616,3.93,175.0,NORMAL
64,-1,SELL 1,-17.29597000000001,-64.22618443433427,4.03,174.0,NORMAL
65,-1,SELL 1,-8.59606999999994,-47.4175943561915,3.93,173.0,NORMAL
66,-1,SELL 1,-17.09612000000004,-42.91760799749715,3.88,172.0,NORMAL
67,-1,SELL 1,-15.296220000000062,-29.859266438648977,3.78,171.0,NORMAL
68,4,BUY 4,-0.014760000000023865,-10.886566667449545,3.69,170.0,NORMAL
