time,open,high,low,close,volume
2013-01-08,4.12,4.31,4.11,4.31,535860
2013-01-09,4.53,4.53,4.37,4.42,1588500
2013-01-10,4.39,4.52,4.38,4.48,607050
2013-01-11,4.48,4.5,4.4,4.41,614810
2013-01-14,4.33,4.37,4.27,4.28,499600
2013-01-15,4.28,4.39,4.28,4.33,357880
2013-01-16,4.38,4.45,4.33,4.38,368380
2013-01-17,4.37,4.39,4.32,4.32,292200
2013-01-18,4.29,4.32,4.28,4.3,362960
2013-01-21,4.29,4.31,4.25,4.28,119000
2013-01-22,4.28,4.3,4.12,4.21,373240
2013-01-23,4.19,4.23,4.19,4.21,192530
2013-01-24,4.23,4.32,4.23,4.31,141650
2013-01-25,4.36,4.48,4.36,4.46,787540
2013-01-28,4.48,4.63,4.48,4.52,558550
2013-01-29,4.5,4.54,4.47,4.48,207130
2013-01-30,4.54,4.72,4.54,4.63,689630
2013-01-31,4.61,4.62,4.54,4.55,366670
2013-02-01,4.54,4.54,4.42,4.48,323300
2013-02-04,4.52,4.52,4.45,4.47,166570
2013-02-05,4.44,4.47,4.41,4.45,183200
2013-02-06,4.44,4.54,4.44,4.47,90900
2013-02-07,4.48,4.49,4.46,4.49,155490
2013-02-08,4.5,4.59,4.48,4.52,92170
2013-02-18,4.52,4.56,4.5,4.54,131010
2013-02-19,4.54,4.55,4.49,4.5,168260
2013-02-20,4.45,4.5,4.45,4.48,171590
2013-02-21,4.48,4.49,4.38,4.38,307570
2013-02-22,4.41,4.47,4.25,4.37,337970
2013-02-25,4.41,4.41,4.34,4.36,143330
2013-02-26,4.36,4.36,4.19,4.19,285040
2013-02-27,4.15,4.23,4.14,4.15,283110
2013-02-28,4.15,4.22,4.15,4.2,191070
2013-03-01,4.21,4.21,4.17,4.2,96880
2013-03-04,4.19,4.19,4.08,4.11,225550
2013-03-05,4.08,4.11,4.05,4.05,194960
2013-03-06,4.05,4.12,4.05,4.11,60350
2013-03-07,4.14,4.14,4.04,4.08,115870
2013-03-08,4.07,4.19,4.07,4.17,116190
2013-03-11,4.17,4.25,4.17,4.24,78540
2013-03-12,4.22,4.29,4.19,4.24,67310
2013-03-13,4.27,4.27,4.2,4.21,66390
2013-03-14,4.25,4.25,4.21,4.23,15620
2013-03-15,4.24,4.24,4.21,4.22,13800
2013-03-18,4.23,4.24,4.19,4.19,54560
2013-03-19,4.16,4.21,4.16,4.2,27280
2013-03-20,4.23,4.25,4.2,4.22,63140
2013-03-21,4.24,4.38,4.23,4.33,274540
2013-03-22,4.38,4.52,4.31,4.31,387570
2013-03-25,4.39,4.39,4.33,4.37,173440
2013-03-26,4.4,4.4,4.34,4.34,138400
2013-03-27,4.33,4.34,4.29,4.29,187110
2013-03-28,4.3,4.33,4.29,4.29,97940
2013-03-29,4.29,4.31,4.25,4.29,184310
2013-04-01,4.27,4.36,4.27,4.36,142540
2013-04-02,4.37,4.47,4.37,4.39,413850
2013-04-03,4.4,4.41,4.36,4.36,128770
2013-04-04,4.37,4.37,4.31,4.32,58120
2013-04-05,4.31,4.36,4.31,4.36,123140
2013-04-08,4.36,4.5,4.36,4.5,721860
2013-04-09,4.52,4.72,4.5,4.64,894350
2013-04-10,4.65,4.65,4.52,4.52,305550
2013-04-11,4.52,4.52,4.41,4.45,312510
2013-04-12,4.48,4.5,4.39,4.42,332180
2013-04-15,4.37,4.42,4.27,4.29,320830
2013-04-16,4.29,4.3,4.17,4.25,137720
2013-04-17,4.33,4.37,4.25,4.31,105540
2013-04-18,4.27,4.29,4.19,4.2,135860
2013-04-22,4.25,4.25,4.19,4.19,143400
2013-04-23,4.24,4.24,4.2,4.23,70860
2013-04-24,4.25,4.25,4.19,4.21,150350
2013-04-25,4.27,4.27,4.21,4.22,46180
2013-04-26,4.22,4.24,4.21,4.22,51690
2013-05-02,4.24,4.24,4.2,4.2,66280
2013-05-03,4.21,4.22,4.2,4.21,73320
2013-05-06,4.24,4.34,4.21,4.34,188450
2013-05-07,4.31,4.34,4.25,4.25,91010
2013-05-08,4.31,4.32,4.27,4.29,122380
2013-05-09,4.31,4.31,4.29,4.29,80750
2013-05-10,4.31,4.31,4.29,4.3,64700
2013-05-13,4.33,4.33,4.3,4.31,60290
2013-05-14,4.31,4.46,4.31,4.36,321880
2013-05-15,4.39,4.4,4.36,4.4,156680
2013-05-16,4.42,4.42,4.37,4.4,129340
2013-05-17,4.39,4.4,4.37,4.37,103500
2013-05-20,4.37,4.52,4.37,4.46,311400
2013-05-21,4.69,4.76,4.55,4.76,1829150
2013-05-22,4.76,4.79,4.73,4.73,473190
2013-05-23,4.69,4.79,4.69,4.73,620980
2013-05-24,4.73,4.81,4.72,4.76,325890
2013-05-27,4.91,4.93,4.84,4.86,364260
2013-05-28,4.88,4.91,4.86,4.89,330890
2013-05-29,4.93,5.04,4.9,4.99,495190
2013-05-30,4.97,4.99,4.93,4.98,294550
2013-05-31,4.99,5.16,4.99,5.05,580620
2013-06-03,5.05,5.09,5.0,5.03,312910
2013-06-04,5.03,5.17,5.03,5.07,721910
2013-06-05,5.11,5.16,5.11,5.13,114490
2013-06-06,5.07,5.18,5.07,5.18,189030
2013-06-07,5.21,5.22,5.11,5.16,145200
2013-06-10,5.22,5.22,5.16,5.17,256220
