time,open,high,low,close,volume
2013-01-08,17.97,18.08,17.76,17.97,363210
2013-01-09,17.97,17.97,17.65,17.65,81350
2013-01-10,17.65,17.65,17.23,17.65,120980
2013-01-11,17.97,17.97,17.55,17.76,171140
2013-01-14,17.87,17.87,17.65,17.76,215400
2013-01-15,18.08,18.18,17.76,17.76,160930
2013-01-16,18.08,18.18,17.76,17.97,237940
2013-01-17,18.08,18.18,17.97,18.08,137110
2013-01-18,18.08,18.18,17.97,18.08,205380
2013-01-21,17.97,18.18,17.87,17.87,133100
2013-01-22,18.81,18.81,18.11,18.25,200700
2013-01-23,18.39,18.67,18.25,18.39,305690
2013-01-24,18.39,18.53,18.25,18.39,248840
2013-01-25,18.39,18.67,18.39,18.53,352190
2013-01-28,18.95,19.09,18.81,18.81,331350
2013-01-29,18.81,18.95,18.67,18.81,312550
2013-01-30,18.81,18.95,18.67,18.81,596680
2013-01-31,18.53,18.81,18.53,18.67,131930
2013-02-01,18.67,18.81,18.53,18.81,188520
2013-02-04,18.81,18.95,18.81,18.81,244350
2013-02-05,18.81,19.09,18.81,18.81,741040
2013-02-06,19.09,19.09,18.81,18.95,175610
2013-02-07,19.09,19.09,18.81,18.95,104460
2013-02-08,18.81,19.09,18.53,18.95,96950
2013-02-18,18.95,18.95,18.53,18.53,117770
2013-02-19,19.09,19.09,18.67,18.81,463190
2013-02-20,18.95,18.95,18.67,18.81,145770
2013-02-21,18.67,18.81,18.25,18.25,91840
2013-02-22,18.25,18.53,17.83,17.97,109240
2013-02-25,18.25,18.25,17.97,18.25,60860
2013-02-26,18.11,18.11,17.26,17.55,145630
2013-02-27,17.55,17.83,17.41,17.83,115050
2013-02-28,17.83,18.95,17.83,18.81,551700
2013-03-01,19.09,19.09,18.53,18.53,132410
2013-03-04,18.95,19.65,18.67,19.09,379190
2013-03-05,18.95,18.95,18.53,18.53,201440
2013-03-06,19.09,19.09,18.39,18.53,94290
2013-03-07,18.53,18.53,18.11,18.11,283370
2013-03-08,18.25,18.39,18.11,18.25,73590
