time,open,high,low,close,volume
2013-01-08,7.24,7.45,7.12,7.45,1035220
2013-01-09,7.12,7.5,7.1,7.5,1583320
2013-01-10,7.52,7.69,7.26,7.69,645400
2013-01-11,7.78,7.78,7.57,7.59,432980
2013-01-14,7.45,7.55,7.29,7.55,384930
2013-01-15,7.43,7.57,7.38,7.57,509000
2013-01-16,7.45,7.78,7.45,7.59,449000
2013-01-17,7.69,7.69,7.45,7.45,358750
2013-01-18,7.57,7.57,7.43,7.48,299790
2013-01-21,7.29,7.5,7.29,7.36,269410
2013-01-22,7.38,7.38,7.24,7.24,184710
2013-01-23,7.05,7.24,7.03,7.19,530180
2013-01-24,7.22,7.33,7.19,7.33,211230
2013-01-25,7.33,7.69,7.33,7.69,426490
2013-01-28,7.69,7.81,7.67,7.76,453400
2013-01-29,7.78,8.04,7.74,8.04,915570
2013-01-30,8.04,8.14,7.95,8.11,767730
2013-01-31,7.93,8.04,7.93,8.04,321460
2013-02-01,8.0,8.11,7.76,8.11,433080
2013-02-04,8.11,8.11,7.95,7.97,214910
2013-02-05,7.97,7.97,7.85,7.97,288720
2013-02-06,7.97,8.16,7.97,8.16,983270
2013-02-07,8.16,8.21,8.11,8.16,121570
2013-02-08,8.21,8.21,8.14,8.16,232830
2013-02-18,8.16,8.16,8.11,8.11,228560
2013-02-19,8.09,8.11,7.97,8.02,529020
2013-02-20,7.74,8.07,7.74,8.07,394040
2013-02-21,8.09,8.09,7.57,7.57,375710
2013-02-22,7.57,7.85,7.45,7.74,518270
2013-02-25,7.69,7.93,7.69,7.93,178380
2013-02-26,8.22,8.22,7.58,7.58,240960
2013-02-27,7.58,7.68,7.51,7.58,259470
2013-02-28,7.73,8.05,7.66,7.93,327730
2013-03-01,7.93,7.97,7.88,7.95,269070
2013-03-04,7.95,8.02,7.85,7.88,371070
2013-03-05,8.0,8.0,7.75,7.75,215070
2013-03-06,7.75,7.9,7.75,7.9,157520
2013-03-07,7.9,7.9,7.83,7.9,266560
2013-03-08,7.93,7.95,7.88,7.93,274220
2013-03-11,7.85,7.9,7.75,7.9,260040
2013-03-12,7.83,7.93,7.83,7.93,158530
2013-03-13,7.95,7.97,7.9,7.97,254430
2013-03-14,7.97,8.0,7.85,7.85,371790
2013-03-15,7.83,8.07,7.83,8.07,671530
2013-03-18,8.07,8.07,7.93,8.0,94990
2013-03-19,8.0,8.0,7.88,7.88,138660
2013-03-20,7.88,7.95,7.85,7.93,116040
2013-03-21,7.97,7.97,7.88,7.9,200370
2013-03-22,7.85,7.9,7.78,7.8,62100
2013-03-25,7.8,7.93,7.8,7.85,205300
2013-03-26,7.85,7.88,7.8,7.8,50010
2013-03-27,7.75,7.93,7.7,7.93,159520
2013-03-28,7.95,7.95,7.8,7.85,132670
2013-03-29,7.85,7.88,7.61,7.85,129060
2013-04-01,7.73,7.85,7.73,7.85,152250
2013-04-02,7.85,7.93,7.83,7.9,679970
2013-04-03,7.95,7.95,7.8,7.85,339260
2013-04-04,7.75,7.85,7.75,7.78,203140
2013-04-05,7.85,7.85,7.58,7.63,294150
2013-04-08,7.63,7.73,7.63,7.73,162030
2013-04-09,7.66,7.73,7.63,7.66,120270
2013-04-10,7.66,7.7,7.14,7.14,502130
2013-04-11,7.16,7.36,7.12,7.24,566150
2013-04-12,7.21,7.24,6.99,7.04,354980
2013-04-15,6.99,7.02,6.62,6.7,329800
2013-04-16,6.6,6.94,6.43,6.87,589680
2013-04-17,6.7,6.94,6.7,6.92,367680
2013-04-18,6.77,6.82,6.7,6.7,484490
2013-04-22,6.67,6.7,6.55,6.55,426580
2013-04-23,6.55,6.7,6.55,6.62,363270
2013-04-24,6.62,6.7,6.53,6.53,314110
2013-04-25,6.62,6.72,6.62,6.72,136300
2013-04-26,6.82,6.85,6.72,6.72,236810
2013-05-02,6.75,6.75,6.67,6.67,37320
2013-05-03,6.62,6.67,6.62,6.67,116280
2013-05-06,6.75,6.89,6.7,6.87,320990
2013-05-07,6.89,6.94,6.82,6.85,299510
2013-05-08,6.85,6.89,6.82,6.89,119680
2013-05-09,6.89,6.89,6.8,6.82,167260
2013-05-10,6.82,6.89,6.72,6.75,195930
2013-05-13,6.7,6.82,6.7,6.82,92860
2013-05-14,6.77,6.8,6.67,6.67,199140
2013-05-15,6.72,6.87,6.7,6.85,242740
2013-05-16,6.87,7.24,6.85,7.21,942020
2013-05-17,7.12,7.16,7.02,7.02,189370
2013-05-20,7.02,7.26,7.02,7.21,398580
2013-05-21,7.24,7.41,7.21,7.24,287420
2013-05-22,7.36,7.36,7.24,7.24,361120
2013-05-23,7.24,7.24,6.99,7.02,514520
2013-05-24,7.12,7.14,6.94,6.99,522000
2013-05-27,7.12,7.34,7.12,7.24,804540
2013-05-28,7.31,7.31,7.24,7.29,727480
2013-05-29,7.34,7.34,7.26,7.26,628100
2013-05-30,7.29,7.53,7.26,7.53,1205890
2013-05-31,7.61,7.7,7.53,7.58,689950
2013-06-03,7.51,7.63,7.51,7.61,401000
2013-06-04,7.56,7.61,7.41,7.41,651470
2013-06-05,7.41,7.51,7.39,7.51,334390
2013-06-06,7.43,7.73,7.43,7.68,388650
2013-06-07,7.75,7.88,7.75,7.85,594630
2013-06-10,7.8,8.0,7.75,7.78,698650
2013-06-11,7.83,7.83,7.66,7.68,706730
2013-06-12,7.56,7.73,7.48,7.48,743040
2013-06-13,7.48,7.61,7.46,7.58,303570
2013-06-14,7.58,7.63,7.51,7.51,497930
2013-06-17,7.51,7.7,7.51,7.51,482070
2013-06-18,7.51,7.66,7.51,7.61,434260
2013-06-19,7.53,7.63,7.53,7.61,284760
2013-06-20,7.58,7.58,7.48,7.58,606070
