time,open,high,low,close,volume
13/06/2012,3.58,3.61,3.58,3.61,289700
14/06/2012,3.6,3.61,3.58,3.58,294900
15/06/2012,3.58,3.6,3.58,3.58,180600
18/06/2012,3.58,3.63,3.58,3.61,129000
19/06/2012,3.61,3.63,3.6,3.61,402200
20/06/2012,3.63,3.63,3.6,3.61,339300
21/06/2012,3.6,3.63,3.6,3.61,711600
22/06/2012,3.61,3.61,3.6,3.6,568200
25/06/2012,3.61,3.61,3.58,3.58,283900
26/06/2012,3.61,3.61,3.57,3.6,725600
27/06/2012,3.6,3.61,3.58,3.6,560400
28/06/2012,3.58,3.61,3.58,3.6,622500
29/06/2012,3.61,3.61,3.58,3.6,1184300
02/07/2012,3.61,3.61,3.58,3.58,141000
03/07/2012,3.58,3.6,3.58,3.58,752300
04/07/2012,3.58,3.6,3.58,3.58,250500
05/07/2012,3.58,3.6,3.58,3.6,225500
06/07/2012,3.58,3.61,3.58,3.6,172900
09/07/2012,3.61,3.61,3.57,3.58,1134500
10/07/2012,3.58,3.6,3.57,3.57,872200
11/07/2012,3.57,3.6,3.57,3.58,365500
12/07/2012,3.58,3.58,3.57,3.57,424600
13/07/2012,3.57,3.58,3.57,3.57,391400
16/07/2012,3.57,3.58,3.57,3.58,95900
17/07/2012,3.58,3.61,3.57,3.61,95800
18/07/2012,3.6,3.61,3.58,3.61,24700
19/07/2012,3.61,3.61,3.58,3.61,70000
20/07/2012,3.58,3.61,3.58,3.6,115900
23/07/2012,3.6,3.61,3.58,3.6,177700
24/07/2012,3.58,3.6,3.58,3.58,86200
25/07/2012,3.58,3.6,3.58,3.6,89400
26/07/2012,3.58,3.6,3.58,3.6,721300
27/07/2012,3.6,3.61,3.58,3.6,291300
30/07/2012,3.6,3.61,3.58,3.61,83500
31/07/2012,3.6,3.61,3.58,3.6,79800
01/08/2012,3.58,3.61,3.58,3.6,245700
02/08/2012,3.6,3.61,3.58,3.6,295100
03/08/2012,3.6,3.6,3.58,3.6,57800
06/08/2012,3.58,3.61,3.58,3.61,222600
07/08/2012,3.61,3.61,3.58,3.58,126800
08/08/2012,3.58,3.6,3.58,3.6,151100
09/08/2012,3.6,3.61,3.58,3.61,42800
10/08/2012,3.6,3.6,3.58,3.6,65300
13/08/2012,3.58,3.61,3.58,3.6,127800
14/08/2012,3.6,3.61,3.58,3.61,154300
15/08/2012,3.58,3.61,3.58,3.61,89800
16/08/2012,3.6,3.61,3.6,3.6,71000
17/08/2012,3.6,3.61,3.6,3.61,194000
20/08/2012,3.61,3.63,3.6,3.63,87100
21/08/2012,3.6,3.6,3.37,3.37,904600
22/08/2012,3.15,3.15,3.15,3.15,688900
23/08/2012,2.94,2.95,2.94,2.94,260600
24/08/2012,2.74,3.14,2.74,3.05,1633900
27/08/2012,3.05,3.08,2.83,2.83,924300
28/08/2012,2.73,2.8,2.63,2.66,757900
29/08/2012,2.59,2.81,2.59,2.8,734900
30/08/2012,2.87,2.87,2.77,2.8,433300
