time,open,high,low,close,volume
08/10/2012,2.2,2.24,2.18,2.23,1692900
09/10/2012,2.24,2.25,2.23,2.24,2432500
10/10/2012,2.24,2.25,2.23,2.24,1987500
11/10/2012,2.24,2.32,2.23,2.27,2444200
12/10/2012,2.27,2.28,2.25,2.25,522200
15/10/2012,2.25,2.27,2.23,2.24,1528800
16/10/2012,2.24,2.27,2.23,2.27,1351800
17/10/2012,2.27,2.27,2.24,2.25,665600
18/10/2012,2.25,2.25,2.23,2.24,1191600
19/10/2012,2.24,2.25,2.18,2.2,1564600
22/10/2012,2.18,2.2,2.07,2.18,967700
23/10/2012,2.18,2.2,2.17,2.2,696800
24/10/2012,2.2,2.23,2.17,2.21,659900
25/10/2012,2.2,2.24,2.2,2.23,844000
26/10/2012,2.17,2.21,2.14,2.21,550300
29/10/2012,2.21,2.24,2.2,2.21,537800
30/10/2012,2.2,2.21,2.17,2.17,120900
31/10/2012,2.14,2.16,2.1,2.14,300000
01/11/2012,2.16,2.16,2.11,2.13,310200
02/11/2012,2.13,2.13,2.0,2.03,795700
05/11/2012,2.02,2.04,1.99,2.04,203800
06/11/2012,2.04,2.06,2.03,2.04,89400
07/11/2012,2.06,2.14,2.04,2.1,121200
08/11/2012,2.03,2.11,2.03,2.07,85000
09/11/2012,2.09,2.1,2.07,2.09,241100
12/11/2012,2.1,2.13,2.09,2.13,148700
13/11/2012,2.13,2.14,2.1,2.11,228600
14/11/2012,2.11,2.13,2.1,2.11,149900
15/11/2012,2.14,2.14,2.07,2.1,155800
16/11/2012,2.1,2.1,2.07,2.09,105300
19/11/2012,2.07,2.07,2.03,2.06,88600
20/11/2012,2.06,2.07,2.04,2.07,55700
21/11/2012,2.06,2.07,2.04,2.06,68000
22/11/2012,2.07,2.07,2.04,2.06,79900
23/11/2012,2.04,2.06,2.03,2.03,92400
26/11/2012,2.06,2.07,2.04,2.06,93300
27/11/2012,2.06,2.07,2.04,2.06,57600
28/11/2012,2.04,2.06,2.03,2.06,75800
29/11/2012,2.06,2.07,2.04,2.06,37600
30/11/2012,2.04,2.06,2.03,2.03,85200
03/12/2012,2.03,2.04,2.03,2.04,85000
04/12/2012,2.04,2.04,2.03,2.04,79700
05/12/2012,2.06,2.09,2.06,2.09,158300
06/12/2012,2.09,2.09,2.04,2.07,106200
07/12/2012,2.07,2.07,2.06,2.07,41800
10/12/2012,2.07,2.1,2.04,2.1,176300
11/12/2012,2.1,2.1,2.07,2.1,84900
12/12/2012,2.07,2.17,2.07,2.17,236600
13/12/2012,2.18,2.3,2.17,2.25,666300
14/12/2012,2.24,2.38,2.24,2.37,1305300
17/12/2012,2.24,2.35,2.24,2.3,387800
18/12/2012,2.3,2.3,2.23,2.24,356300
19/12/2012,2.24,2.31,2.24,2.28,335800
20/12/2012,2.31,2.31,2.24,2.27,203800
21/12/2012,2.25,2.27,2.23,2.25,162600
24/12/2012,2.25,2.3,2.24,2.25,265600
25/12/2012,2.25,2.3,2.24,2.25,460300
26/12/2012,2.28,2.3,2.25,2.28,349400
27/12/2012,2.3,2.31,2.27,2.28,598100
28/12/2012,2.28,2.31,2.25,2.31,641500
02/01/2013,2.28,2.44,2.28,2.42,2578600
03/01/2013,2.45,2.49,2.34,2.38,1967200
04/01/2013,2.37,2.41,2.34,2.41,1170100
07/01/2013,2.38,2.45,2.38,2.41,1355700
08/01/2013,2.39,2.45,2.37,2.42,2180000
09/01/2013,2.39,2.55,2.39,2.53,3861400
10/01/2013,2.53,2.56,2.48,2.56,880700
11/01/2013,2.66,2.66,2.55,2.55,806200
14/01/2013,2.58,2.58,2.48,2.52,614300
15/01/2013,2.55,2.56,2.46,2.55,1310500
16/01/2013,2.55,2.63,2.53,2.55,1346900
17/01/2013,2.55,2.58,2.51,2.52,1068300
18/01/2013,2.51,2.51,2.44,2.49,679700
21/01/2013,2.49,2.49,2.44,2.45,341900
22/01/2013,2.45,2.46,2.35,2.38,738000
23/01/2013,2.37,2.39,2.31,2.38,331100
24/01/2013,2.41,2.44,2.37,2.42,333700
25/01/2013,2.45,2.51,2.45,2.46,786500
28/01/2013,2.48,2.53,2.45,2.48,1135900
29/01/2013,2.48,2.53,2.46,2.51,572800
30/01/2013,2.52,2.52,2.48,2.51,823600
31/01/2013,2.46,2.51,2.45,2.48,860100
01/02/2013,2.45,2.48,2.45,2.48,583900
04/02/2013,2.48,2.48,2.45,2.46,387200
05/02/2013,2.46,2.46,2.42,2.45,602000
06/02/2013,2.44,2.49,2.44,2.46,542700
07/02/2013,2.48,2.51,2.45,2.46,457800
08/02/2013,2.48,2.51,2.46,2.51,388500
18/02/2013,2.49,2.52,2.46,2.49,469400
19/02/2013,2.49,2.49,2.45,2.48,440200
20/02/2013,2.44,2.45,2.38,2.44,794100
21/02/2013,2.44,2.44,2.3,2.31,1450600
22/02/2013,2.31,2.38,2.3,2.35,725900
25/02/2013,2.35,2.37,2.32,2.35,279200
26/02/2013,2.35,2.35,2.28,2.3,1170100
27/02/2013,2.28,2.32,2.27,2.31,579700
28/02/2013,2.32,2.35,2.31,2.31,120800
01/03/2013,2.32,2.34,2.31,2.34,183700
04/03/2013,2.32,2.32,2.28,2.3,493100
05/03/2013,2.28,2.31,2.27,2.28,308000
06/03/2013,2.25,2.31,2.24,2.31,126600
07/03/2013,2.28,2.31,2.28,2.3,238100
08/03/2013,2.28,2.31,2.27,2.31,173900
11/03/2013,2.21,2.32,2.21,2.32,240000
12/03/2013,2.34,2.45,2.3,2.32,110600
13/03/2013,2.32,2.32,2.3,2.31,173900
14/03/2013,2.3,2.32,2.3,2.31,135300
15/03/2013,2.31,2.32,2.3,2.32,78200
18/03/2013,2.31,2.32,2.3,2.31,295500
19/03/2013,2.31,2.32,2.3,2.31,66000
