time,open,high,low,close,volume
11/10/2016,3.03,3.08,3.02,3.03,325562
12/10/2016,3.05,3.16,3.03,3.08,742105
13/10/2016,3.06,3.11,3.06,3.1,297562
14/10/2016,3.1,3.11,3.08,3.08,399942
17/10/2016,3.06,3.06,3.05,3.05,379894
18/10/2016,3.05,3.06,3.03,3.06,383550
19/10/2016,3.06,3.16,3.06,3.13,894546
20/10/2016,3.13,3.14,3.08,3.11,176834
21/10/2016,3.11,3.11,3.08,3.1,115481
24/10/2016,3.08,3.1,3.03,3.03,435877
25/10/2016,3.03,3.06,3.0,3.06,228430
26/10/2016,3.06,3.06,3.03,3.05,123409
27/10/2016,3.05,3.06,3.03,3.06,184931
28/10/2016,3.05,3.1,3.03,3.1,109185
31/10/2016,3.08,3.1,3.03,3.03,200973
01/11/2016,3.03,3.08,3.03,3.06,246218
02/11/2016,3.05,3.06,3.03,3.05,74747
03/11/2016,3.05,3.05,3.0,3.03,263536
04/11/2016,3.03,3.03,3.02,3.03,51973
07/11/2016,3.03,3.05,3.02,3.05,140965
08/11/2016,3.05,3.05,3.03,3.03,240477
09/11/2016,3.03,3.03,2.87,2.98,510554
10/11/2016,2.98,3.06,2.98,3.05,149865
11/11/2016,3.05,3.06,3.03,3.05,180044
14/11/2016,3.05,3.05,3.03,3.03,189722
15/11/2016,3.06,3.06,3.03,3.05,147050
16/11/2016,3.05,3.05,3.02,3.02,165430
17/11/2016,3.03,3.05,3.03,3.03,216720
18/11/2016,3.03,3.03,3.02,3.02,232504
21/11/2016,3.05,3.06,3.03,3.03,45941
22/11/2016,3.05,3.05,3.03,3.05,289066
23/11/2016,3.05,3.08,3.05,3.08,184640
24/11/2016,3.08,3.1,3.06,3.1,154688
25/11/2016,3.05,3.1,3.05,3.1,179786
28/11/2016,3.1,3.11,3.05,3.05,110554
29/11/2016,3.03,3.05,3.03,3.05,234984
30/11/2016,3.03,3.06,3.03,3.05,151350
01/12/2016,3.09,3.18,3.09,3.16,381829
02/12/2016,3.16,3.16,3.07,3.11,71031
05/12/2016,3.12,3.12,3.07,3.07,49063
06/12/2016,3.11,3.12,3.0,3.0,239780
07/12/2016,3.0,3.0,2.91,2.95,226091
08/12/2016,3.02,3.02,2.95,2.95,220042
09/12/2016,2.97,3.02,2.95,3.0,103048
12/12/2016,3.0,3.0,2.97,2.98,30478
13/12/2016,2.98,2.98,2.91,2.91,125191
14/12/2016,2.95,2.98,2.91,2.91,93783
15/12/2016,2.98,2.98,2.91,2.93,141933
16/12/2016,2.98,3.02,2.95,3.02,112809
19/12/2016,3.05,3.05,2.98,2.98,232663
20/12/2016,3.0,3.0,2.97,2.98,273119
21/12/2016,3.0,3.19,3.0,3.14,939567
22/12/2016,3.14,3.16,3.07,3.12,430272
23/12/2016,3.07,3.12,3.02,3.04,390028
26/12/2016,3.05,3.12,3.04,3.12,142239
27/12/2016,3.07,3.12,3.05,3.05,320223
28/12/2016,3.09,3.09,3.07,3.07,220675
29/12/2016,3.05,3.12,3.04,3.09,398898
30/12/2016,3.11,3.12,3.07,3.09,132554
03/01/2017,3.11,3.33,3.11,3.33,1609757
04/01/2017,3.33,3.42,3.33,3.35,739000
05/01/2017,3.37,3.39,3.32,3.35,471881
06/01/2017,3.35,3.67,3.32,3.53,1409824
09/01/2017,3.53,3.67,3.53,3.65,970791
10/01/2017,3.65,3.7,3.56,3.69,942499
11/01/2017,3.65,3.83,3.65,3.79,1447461
12/01/2017,3.77,3.9,3.74,3.79,1158392
13/01/2017,3.76,3.86,3.72,3.77,1230784
16/01/2017,3.77,3.83,3.74,3.83,575469
17/01/2017,3.86,4.09,3.84,4.04,1398174
18/01/2017,4.04,4.16,4.02,4.05,1360520
19/01/2017,4.05,4.11,3.98,4.04,542576
20/01/2017,4.04,4.16,4.04,4.05,614473
23/01/2017,4.05,4.05,3.93,4.02,867359
24/01/2017,4.02,4.18,3.97,4.12,722901
