time,open,high,low,close,volume
20/06/2012,5.31,5.31,5.27,5.29,89720
21/06/2012,5.28,5.29,5.26,5.28,50360
22/06/2012,5.27,5.28,5.26,5.26,67350
25/06/2012,5.25,5.29,5.25,5.26,42840
26/06/2012,5.22,5.24,5.22,5.22,31110
27/06/2012,5.26,5.26,5.22,5.22,73780
28/06/2012,5.23,5.23,5.06,5.06,36470
29/06/2012,5.1,5.14,5.06,5.06,4970
02/07/2012,5.12,5.2,5.05,5.06,131390
03/07/2012,5.13,5.13,5.05,5.05,12120
04/07/2012,5.1,5.1,5.05,5.07,18440
05/07/2012,5.1,5.11,5.07,5.1,35790
06/07/2012,5.1,5.13,5.1,5.1,26770
09/07/2012,4.99,5.1,4.99,5.06,14410
10/07/2012,5.05,5.07,5.05,5.05,27540
11/07/2012,5.05,5.06,5.02,5.06,40600
12/07/2012,5.05,5.06,5.05,5.06,20870
13/07/2012,5.07,5.15,5.05,5.13,30930
16/07/2012,5.19,5.19,5.07,5.08,23050
17/07/2012,5.07,5.08,5.05,5.08,38870
18/07/2012,5.09,5.09,5.05,5.06,54300
19/07/2012,5.05,5.07,5.02,5.07,62810
20/07/2012,5.12,5.14,5.06,5.06,83160
23/07/2012,5.06,5.06,5.04,5.06,61190
24/07/2012,5.06,5.3,5.06,5.28,297120
25/07/2012,5.26,5.26,5.1,5.1,178060
26/07/2012,5.07,5.13,5.07,5.13,88280
27/07/2012,5.18,5.18,5.13,5.15,116650
30/07/2012,5.15,5.26,5.15,5.23,188880
31/07/2012,5.1,5.15,5.1,5.11,142000
01/08/2012,5.08,5.1,5.06,5.07,134550
02/08/2012,5.05,5.11,5.05,5.07,89910
03/08/2012,5.05,5.08,5.05,5.08,159240
06/08/2012,5.05,5.1,5.05,5.07,148440
07/08/2012,5.06,5.08,5.05,5.07,144950
08/08/2012,5.06,5.07,5.05,5.06,71270
09/08/2012,5.06,5.08,5.0,5.04,324860
10/08/2012,5.06,5.06,4.92,4.92,461230
13/08/2012,5.06,5.06,4.93,4.99,155720
14/08/2012,4.92,5.04,4.92,4.97,223310
15/08/2012,4.95,4.98,4.94,4.95,398780
16/08/2012,4.98,5.02,4.92,4.92,324050
17/08/2012,4.83,4.94,4.83,4.89,219300
20/08/2012,4.94,4.96,4.89,4.95,87130
21/08/2012,4.94,4.94,4.71,4.72,424710
22/08/2012,4.72,4.83,4.7,4.72,175470
23/08/2012,4.72,4.72,4.49,4.49,306220
24/08/2012,4.29,4.62,4.28,4.52,166690
27/08/2012,4.63,4.63,4.3,4.3,327330
28/08/2012,4.31,4.4,4.17,4.19,387150
29/08/2012,4.29,4.29,4.18,4.2,516890
30/08/2012,4.2,4.23,4.18,4.2,556380
31/08/2012,4.2,4.41,4.19,4.41,490150
04/09/2012,4.61,4.63,4.47,4.6,196570
05/09/2012,4.6,4.61,4.45,4.45,172150
06/09/2012,4.4,4.45,4.3,4.33,146150
07/09/2012,4.33,4.34,4.29,4.32,105620
10/09/2012,4.33,4.33,4.19,4.22,94970
11/09/2012,4.09,4.26,4.09,4.23,91990
12/09/2012,4.22,4.31,4.22,4.26,55010
13/09/2012,4.28,4.28,4.21,4.26,142710
14/09/2012,4.31,4.31,4.26,4.26,143660
17/09/2012,4.26,4.27,4.21,4.25,98290
18/09/2012,4.22,4.25,4.16,4.16,168920
19/09/2012,4.04,4.12,4.0,4.04,486130
20/09/2012,4.05,4.09,4.01,4.04,138350
21/09/2012,4.06,4.09,4.04,4.05,49890
24/09/2012,4.05,4.05,4.01,4.03,104050
25/09/2012,4.05,4.05,4.01,4.03,126430
26/09/2012,4.05,4.08,4.01,4.07,129510
27/09/2012,4.1,4.27,4.08,4.18,254170
28/09/2012,4.18,4.22,4.16,4.17,94180
01/10/2012,4.11,4.14,4.04,4.06,74140
02/10/2012,4.06,4.08,4.04,4.06,110610
03/10/2012,4.06,4.09,4.06,4.06,65800
04/10/2012,4.06,4.08,4.05,4.05,93060
05/10/2012,4.07,4.07,4.05,4.05,46100
08/10/2012,4.03,4.08,4.03,4.06,64880
09/10/2012,4.07,4.18,4.06,4.09,143640
10/10/2012,4.12,4.12,4.1,4.12,42760
11/10/2012,4.16,4.16,4.11,4.11,160130
12/10/2012,4.11,4.14,4.08,4.08,45680
15/10/2012,4.07,4.09,4.06,4.06,63990
16/10/2012,4.05,4.09,4.05,4.08,67270
17/10/2012,4.07,4.1,4.07,4.08,26680
18/10/2012,4.08,4.08,4.04,4.04,60410
19/10/2012,4.07,4.07,4.0,4.03,60110
22/10/2012,4.06,4.06,4.01,4.01,57430
23/10/2012,4.01,4.03,4.0,4.01,76660
24/10/2012,4.01,4.03,4.01,4.01,81980
25/10/2012,3.98,4.01,3.98,4.01,61750
26/10/2012,4.01,4.01,3.98,4.0,31920
29/10/2012,3.98,4.0,3.98,3.99,47580
30/10/2012,3.95,3.98,3.95,3.95,94430
31/10/2012,3.95,3.96,3.94,3.94,91490
01/11/2012,3.89,3.96,3.89,3.94,70110
02/11/2012,3.77,3.81,3.75,3.75,96810
05/11/2012,3.59,3.75,3.57,3.73,97960
06/11/2012,3.78,3.78,3.68,3.68,44860
07/11/2012,3.73,3.76,3.71,3.74,44590
08/11/2012,3.76,3.76,3.72,3.74,36430
09/11/2012,3.74,3.75,3.72,3.74,23200
12/11/2012,3.77,3.87,3.77,3.85,99430
13/11/2012,3.86,3.87,3.84,3.84,31120
14/11/2012,3.86,3.86,3.83,3.85,31510
15/11/2012,3.85,3.85,3.82,3.82,45690
16/11/2012,3.84,3.84,3.79,3.79,17580
19/11/2012,3.83,3.83,3.74,3.74,32930
20/11/2012,3.71,3.75,3.71,3.74,22050
21/11/2012,3.77,3.77,3.73,3.73,20910
22/11/2012,3.74,3.74,3.72,3.73,39450
23/11/2012,3.75,3.75,3.73,3.73,31930
26/11/2012,3.74,3.74,3.71,3.71,38540
27/11/2012,3.71,3.72,3.67,3.67,49420
28/11/2012,3.68,3.68,3.63,3.63,44390
29/11/2012,3.63,3.64,3.59,3.59,73740
30/11/2012,3.6,3.61,3.59,3.6,44430
03/12/2012,3.6,3.6,3.56,3.57,54360
04/12/2012,3.54,3.61,3.53,3.61,93650
05/12/2012,3.72,3.77,3.66,3.71,107150
06/12/2012,3.68,3.71,3.68,3.69,66360
07/12/2012,3.66,3.7,3.65,3.66,40580
10/12/2012,3.69,3.71,3.68,3.71,37500
11/12/2012,3.69,3.71,3.69,3.69,41280
12/12/2012,3.69,3.8,3.69,3.74,144700
13/12/2012,3.76,3.79,3.73,3.77,139170
14/12/2012,3.76,3.8,3.74,3.74,61370
17/12/2012,3.74,3.79,3.72,3.73,89860
18/12/2012,3.69,3.73,3.68,3.68,95270
19/12/2012,3.73,3.82,3.7,3.78,151080
20/12/2012,3.8,3.8,3.72,3.72,71260
21/12/2012,3.72,3.74,3.66,3.7,202750
24/12/2012,3.71,3.78,3.71,3.77,156090
25/12/2012,3.77,3.78,3.74,3.77,189040
26/12/2012,3.76,3.89,3.74,3.89,274620
27/12/2012,3.91,4.06,3.91,4.03,346980
28/12/2012,4.03,4.03,3.98,3.99,152500
02/01/2013,4.0,4.15,4.0,4.13,380320
03/01/2013,4.13,4.15,4.0,4.07,366960
04/01/2013,4.05,4.13,4.04,4.13,278020
07/01/2013,4.11,4.14,4.08,4.11,204570
08/01/2013,4.12,4.31,4.11,4.31,535860
09/01/2013,4.53,4.53,4.37,4.42,1588500
10/01/2013,4.39,4.52,4.38,4.48,607050
11/01/2013,4.48,4.5,4.4,4.41,614810
14/01/2013,4.33,4.37,4.27,4.28,499600
15/01/2013,4.28,4.39,4.28,4.33,357880
16/01/2013,4.38,4.45,4.33,4.38,368380
17/01/2013,4.37,4.39,4.32,4.32,292200
18/01/2013,4.29,4.32,4.28,4.3,362960
21/01/2013,4.29,4.31,4.25,4.28,119000
22/01/2013,4.28,4.3,4.12,4.21,373240
23/01/2013,4.19,4.23,4.19,4.21,192530
24/01/2013,4.23,4.32,4.23,4.31,141650
25/01/2013,4.36,4.48,4.36,4.46,787540
28/01/2013,4.48,4.63,4.48,4.52,558550
29/01/2013,4.5,4.54,4.47,4.48,207130
30/01/2013,4.54,4.72,4.54,4.63,689630
31/01/2013,4.61,4.62,4.54,4.55,366670
01/02/2013,4.54,4.54,4.42,4.48,323300
04/02/2013,4.52,4.52,4.45,4.47,166570
05/02/2013,4.44,4.47,4.41,4.45,183200
06/02/2013,4.44,4.54,4.44,4.47,90900
07/02/2013,4.48,4.49,4.46,4.49,155490
08/02/2013,4.5,4.59,4.48,4.52,92170
18/02/2013,4.52,4.56,4.5,4.54,131010
19/02/2013,4.54,4.55,4.49,4.5,168260
20/02/2013,4.45,4.5,4.45,4.48,171590
21/02/2013,4.48,4.49,4.38,4.38,307570
22/02/2013,4.41,4.47,4.25,4.37,337970
25/02/2013,4.41,4.41,4.34,4.36,143330
26/02/2013,4.36,4.36,4.19,4.19,285040
27/02/2013,4.15,4.23,4.14,4.15,283110
28/02/2013,4.15,4.22,4.15,4.2,191070
01/03/2013,4.21,4.21,4.17,4.2,96880
04/03/2013,4.19,4.19,4.08,4.11,225550
05/03/2013,4.08,4.11,4.05,4.05,194960
06/03/2013,4.05,4.12,4.05,4.11,60350
07/03/2013,4.14,4.14,4.04,4.08,115870
08/03/2013,4.07,4.19,4.07,4.17,116190
11/03/2013,4.17,4.25,4.17,4.24,78540
12/03/2013,4.22,4.29,4.19,4.24,67310
13/03/2013,4.27,4.27,4.2,4.21,66390
14/03/2013,4.25,4.25,4.21,4.23,15620
15/03/2013,4.24,4.24,4.21,4.22,13800
18/03/2013,4.23,4.24,4.19,4.19,54560
19/03/2013,4.16,4.21,4.16,4.2,27280
20/03/2013,4.23,4.25,4.2,4.22,63140
21/03/2013,4.24,4.38,4.23,4.33,274540
22/03/2013,4.38,4.52,4.31,4.31,387570
25/03/2013,4.39,4.39,4.33,4.37,173440
26/03/2013,4.4,4.4,4.34,4.34,138400
27/03/2013,4.33,4.34,4.29,4.29,187110
28/03/2013,4.3,4.33,4.29,4.29,97940
29/03/2013,4.29,4.31,4.25,4.29,184310
01/04/2013,4.27,4.36,4.27,4.36,142540
02/04/2013,4.37,4.47,4.37,4.39,413850
03/04/2013,4.4,4.41,4.36,4.36,128770
04/04/2013,4.37,4.37,4.31,4.32,58120
05/04/2013,4.31,4.36,4.31,4.36,123140
08/04/2013,4.36,4.5,4.36,4.5,721860
09/04/2013,4.52,4.72,4.5,4.64,894350
10/04/2013,4.65,4.65,4.52,4.52,305550
11/04/2013,4.52,4.52,4.41,4.45,312510
12/04/2013,4.48,4.5,4.39,4.42,332180
15/04/2013,4.37,4.42,4.27,4.29,320830
16/04/2013,4.29,4.3,4.17,4.25,137720
17/04/2013,4.33,4.37,4.25,4.31,105540
18/04/2013,4.27,4.29,4.19,4.2,135860
22/04/2013,4.25,4.25,4.19,4.19,143400
23/04/2013,4.24,4.24,4.2,4.23,70860
24/04/2013,4.25,4.25,4.19,4.21,150350
25/04/2013,4.27,4.27,4.21,4.22,46180
26/04/2013,4.22,4.24,4.21,4.22,51690
02/05/2013,4.24,4.24,4.2,4.2,66280
03/05/2013,4.21,4.22,4.2,4.21,73320
06/05/2013,4.24,4.34,4.21,4.34,188450
07/05/2013,4.31,4.34,4.25,4.25,91010
08/05/2013,4.31,4.32,4.27,4.29,122380
09/05/2013,4.31,4.31,4.29,4.29,80750
10/05/2013,4.31,4.31,4.29,4.3,64700
13/05/2013,4.33,4.33,4.3,4.31,60290
14/05/2013,4.31,4.46,4.31,4.36,321880
15/05/2013,4.39,4.4,4.36,4.4,156680
16/05/2013,4.42,4.42,4.37,4.4,129340
17/05/2013,4.39,4.4,4.37,4.37,103500
20/05/2013,4.37,4.52,4.37,4.46,311400
21/05/2013,4.69,4.76,4.55,4.76,1829150
22/05/2013,4.76,4.79,4.73,4.73,473190
23/05/2013,4.69,4.79,4.69,4.73,620980
24/05/2013,4.73,4.81,4.72,4.76,325890
27/05/2013,4.91,4.93,4.84,4.86,364260
28/05/2013,4.88,4.91,4.86,4.89,330890
29/05/2013,4.93,5.04,4.9,4.99,495190
30/05/2013,4.97,4.99,4.93,4.98,294550
31/05/2013,4.99,5.16,4.99,5.05,580620
03/06/2013,5.05,5.09,5.0,5.03,312910
04/06/2013,5.03,5.17,5.03,5.07,721910
05/06/2013,5.11,5.16,5.11,5.13,114490
06/06/2013,5.07,5.18,5.07,5.18,189030
07/06/2013,5.21,5.22,5.11,5.16,145200
10/06/2013,5.22,5.22,5.16,5.17,256220
11/06/2013,5.17,5.17,5.11,5.13,235030
12/06/2013,5.11,5.13,5.07,5.11,194000
13/06/2013,5.07,5.11,5.05,5.07,413530
14/06/2013,5.09,5.09,5.01,5.01,257590
17/06/2013,5.05,5.05,4.9,4.9,245350
18/06/2013,4.9,4.9,4.83,4.87,179510
19/06/2013,4.88,4.92,4.86,4.88,105860
20/06/2013,4.9,4.9,4.84,4.86,144390
21/06/2013,4.83,4.84,4.76,4.84,249940
24/06/2013,4.84,4.84,4.79,4.82,157140
25/06/2013,4.79,4.81,4.65,4.7,668790
26/06/2013,4.66,4.72,4.66,4.71,171080
27/06/2013,4.74,4.75,4.7,4.72,171250
28/06/2013,4.82,4.82,4.74,4.74,113820
01/07/2013,4.78,4.78,4.72,4.76,42960
02/07/2013,4.78,4.86,4.76,4.81,82370
03/07/2013,4.83,4.83,4.79,4.83,144550
04/07/2013,4.84,4.99,4.83,4.92,526820
05/07/2013,4.92,4.96,4.89,4.95,193730
08/07/2013,4.96,4.96,4.88,4.88,112140
09/07/2013,4.88,4.88,4.79,4.83,88920
10/07/2013,4.83,4.84,4.8,4.82,42560
11/07/2013,4.83,4.83,4.79,4.81,108660
12/07/2013,4.8,4.88,4.8,4.88,102160
15/07/2013,4.91,4.91,4.84,4.89,75830
16/07/2013,4.91,4.98,4.89,4.95,107880
17/07/2013,4.99,4.99,4.96,4.96,145010
18/07/2013,4.96,4.99,4.91,4.91,65160
19/07/2013,4.96,4.98,4.91,4.98,113860
22/07/2013,5.03,5.03,4.93,4.98,66820
23/07/2013,4.98,4.98,4.93,4.95,95720
24/07/2013,4.9,4.92,4.88,4.88,239630
25/07/2013,4.92,4.96,4.88,4.92,107830
26/07/2013,4.95,4.95,4.86,4.87,58250
29/07/2013,4.87,4.87,4.76,4.79,179400
30/07/2013,4.78,4.88,4.76,4.88,90410
31/07/2013,4.91,4.91,4.84,4.88,83540
01/08/2013,4.88,4.89,4.87,4.87,77340
02/08/2013,4.91,4.92,4.89,4.9,77930
05/08/2013,4.91,5.15,4.91,5.05,564080
06/08/2013,5.05,5.14,5.05,5.13,475480
07/08/2013,5.16,5.3,5.14,5.25,826400
08/08/2013,5.25,5.25,5.13,5.13,363680
09/08/2013,5.13,5.17,5.12,5.17,204960
12/08/2013,5.2,5.2,5.13,5.15,199710
13/08/2013,5.15,5.21,5.13,5.16,426440
14/08/2013,5.16,5.18,5.14,5.18,198010
15/08/2013,5.31,5.42,5.27,5.37,805360
16/08/2013,5.36,5.4,5.3,5.4,320220
19/08/2013,5.4,5.58,5.38,5.52,538180
20/08/2013,5.51,5.52,5.44,5.49,448010
21/08/2013,5.49,5.49,5.28,5.44,472880
22/08/2013,5.44,5.44,5.29,5.33,373950
23/08/2013,5.34,5.35,5.22,5.24,440450
26/08/2013,5.23,5.25,5.16,5.23,199040
27/08/2013,5.27,5.27,5.18,5.21,122680
28/08/2013,5.14,5.16,4.95,5.02,433180
29/08/2013,5.0,5.1,5.0,5.0,139290
30/08/2013,5.04,5.07,4.98,5.06,229370
03/09/2013,5.13,5.13,5.02,5.02,58660
04/09/2013,5.06,5.08,5.0,5.03,255430
05/09/2013,5.07,5.14,5.02,5.13,241450
06/09/2013,5.15,5.27,5.11,5.2,265600
09/09/2013,5.2,5.2,5.03,5.07,136590
10/09/2013,5.07,5.15,5.07,5.1,61870
11/09/2013,5.15,5.2,5.08,5.08,232820
12/09/2013,5.06,5.11,5.04,5.04,192520
13/09/2013,5.02,5.08,5.02,5.02,109090
16/09/2013,5.03,5.04,5.0,5.01,171720
17/09/2013,5.03,5.08,5.0,5.03,158300
18/09/2013,5.08,5.14,5.04,5.08,206220
19/09/2013,5.11,5.15,5.09,5.09,137210
20/09/2013,5.09,5.13,5.09,5.1,44400
23/09/2013,5.1,5.22,5.1,5.21,322410
24/09/2013,5.22,5.35,5.22,5.3,335390
25/09/2013,5.31,5.33,5.23,5.25,252640
26/09/2013,5.25,5.3,5.22,5.3,179940
27/09/2013,5.31,5.31,5.23,5.28,134960
30/09/2013,5.33,5.33,5.27,5.29,191710
01/10/2013,5.27,5.31,5.25,5.25,309650
02/10/2013,5.25,5.3,5.25,5.29,125270
03/10/2013,5.29,5.29,5.24,5.25,180150
04/10/2013,5.28,5.37,5.25,5.35,435780
07/10/2013,5.34,5.43,5.34,5.41,244840
08/10/2013,5.41,5.41,5.35,5.38,150880
09/10/2013,5.38,5.41,5.35,5.36,203180
10/10/2013,5.35,5.37,5.29,5.29,259470
11/10/2013,5.31,5.34,5.27,5.28,194600
14/10/2013,5.29,5.29,5.24,5.27,164050
15/10/2013,5.29,5.34,5.28,5.34,147540
16/10/2013,5.36,5.36,5.31,5.36,361750
17/10/2013,5.41,5.44,5.36,5.38,413030
18/10/2013,5.4,5.49,5.4,5.42,470030
21/10/2013,5.42,5.47,5.41,5.42,357910
22/10/2013,5.38,5.42,5.38,5.4,213510
23/10/2013,5.37,5.42,5.37,5.42,228910
24/10/2013,5.4,5.45,5.4,5.4,257910
25/10/2013,5.38,5.4,5.34,5.35,257460
28/10/2013,5.4,5.4,5.33,5.33,90570
29/10/2013,5.3,5.36,5.3,5.35,118960
30/10/2013,5.35,5.43,5.35,5.4,251170
31/10/2013,5.41,5.41,5.37,5.37,136460
01/11/2013,5.4,5.4,5.37,5.4,124810
04/11/2013,5.41,5.41,5.37,5.4,55500
05/11/2013,5.4,5.4,5.38,5.38,170070
06/11/2013,5.4,5.41,5.38,5.41,147130
07/11/2013,5.4,5.41,5.37,5.37,205880
08/11/2013,5.37,5.4,5.37,5.4,142130
11/11/2013,5.41,5.42,5.38,5.41,147110
12/11/2013,5.41,5.47,5.41,5.43,277180
13/11/2013,5.45,5.45,5.41,5.42,77830
14/11/2013,5.43,5.45,5.42,5.43,108680
15/11/2013,5.45,5.59,5.45,5.58,707550
18/11/2013,5.63,5.7,5.62,5.64,518370
19/11/2013,5.65,5.68,5.63,5.67,314080
20/11/2013,5.67,5.67,5.59,5.64,273870
21/11/2013,5.65,5.86,5.63,5.63,472460
22/11/2013,5.65,5.7,5.62,5.69,175950
25/11/2013,5.7,5.72,5.67,5.7,447070
26/11/2013,5.69,5.71,5.67,5.7,279960
27/11/2013,5.71,5.72,5.67,5.7,204670
28/11/2013,5.68,5.71,5.68,5.68,153520
29/11/2013,5.67,5.69,5.64,5.64,190290
02/12/2013,5.67,5.68,5.63,5.67,287190
03/12/2013,5.64,5.81,5.63,5.72,1303680
04/12/2013,5.76,5.76,5.71,5.72,464680
05/12/2013,5.72,5.72,5.64,5.64,712960
06/12/2013,5.64,5.65,5.59,5.63,509580
09/12/2013,5.63,5.63,5.57,5.57,376760
10/12/2013,5.57,5.57,5.52,5.54,364830
11/12/2013,5.54,5.54,5.45,5.49,328330
12/12/2013,5.49,5.49,5.44,5.49,332300
13/12/2013,5.52,5.57,5.51,5.54,191610
16/12/2013,5.54,5.55,5.51,5.54,106870
17/12/2013,5.54,5.56,5.52,5.54,118230
18/12/2013,5.56,5.56,5.51,5.55,127750
19/12/2013,5.55,5.57,5.54,5.55,222690
20/12/2013,5.57,5.57,5.51,5.51,169680
23/12/2013,5.51,5.57,5.51,5.54,132970
24/12/2013,5.52,5.54,5.5,5.5,219700
25/12/2013,5.51,5.51,5.49,5.49,315920
26/12/2013,5.49,5.56,5.49,5.52,443380
27/12/2013,5.54,5.56,5.52,5.52,185110
30/12/2013,5.56,5.56,5.48,5.48,365750
31/12/2013,5.5,5.63,5.45,5.52,602000
02/01/2014,5.58,5.61,5.54,5.56,207470
03/01/2014,5.55,5.56,5.51,5.55,165110
06/01/2014,5.55,5.63,5.51,5.63,301670
07/01/2014,5.63,5.63,5.57,5.57,290990
08/01/2014,5.56,5.63,5.56,5.61,129600
09/01/2014,5.59,5.68,5.59,5.68,317250
10/01/2014,5.69,5.81,5.69,5.71,704840
13/01/2014,5.75,5.79,5.71,5.76,773230
14/01/2014,5.76,5.85,5.75,5.77,757320
15/01/2014,5.82,6.04,5.81,5.86,1440070
16/01/2014,5.98,5.98,5.86,5.92,915150
17/01/2014,5.98,6.16,5.92,6.04,1192920
20/01/2014,6.04,6.28,6.04,6.1,883960
21/01/2014,6.1,6.22,6.04,6.22,647850
22/01/2014,6.28,6.33,6.1,6.22,650280
23/01/2014,6.22,6.39,6.16,6.39,476170
24/01/2014,6.45,6.63,6.33,6.57,836990
27/01/2014,6.57,6.63,6.45,6.51,613960
06/02/2014,6.45,6.51,6.28,6.39,538550
07/02/2014,6.39,6.45,6.28,6.28,753990
10/02/2014,6.33,6.57,6.22,6.51,611330
11/02/2014,6.57,6.63,6.39,6.45,1257350
12/02/2014,6.51,6.69,6.51,6.69,978110
13/02/2014,6.69,6.74,6.57,6.69,621020
14/02/2014,6.69,6.74,6.57,6.63,540290
17/02/2014,6.57,6.69,6.51,6.57,359620
18/02/2014,6.57,6.69,6.51,6.69,505020
19/02/2014,6.69,6.92,6.69,6.92,999370
20/02/2014,6.92,7.04,6.51,6.69,1074480
21/02/2014,6.69,6.86,6.51,6.8,689100
24/02/2014,6.8,6.98,6.69,6.98,979350
25/02/2014,6.86,7.21,6.86,7.21,1577680
26/02/2014,7.27,7.57,7.21,7.57,2226350
27/02/2014,7.51,7.62,7.39,7.39,1165490
28/02/2014,7.39,7.51,7.27,7.51,1111220
03/03/2014,7.45,7.51,7.15,7.21,1112540
04/03/2014,7.15,7.21,7.04,7.15,962100
05/03/2014,7.27,7.33,7.15,7.27,611560
06/03/2014,7.27,7.39,7.21,7.33,706070
07/03/2014,7.33,7.45,7.21,7.39,1032190
10/03/2014,7.39,7.45,7.33,7.45,505430
11/03/2014,7.45,7.92,7.33,7.86,2154020
12/03/2014,8.15,8.21,7.92,7.92,1966080
13/03/2014,7.98,8.03,7.92,7.98,906880
14/03/2014,7.98,8.03,7.86,7.92,1435730
17/03/2014,8.03,8.03,7.92,7.92,960750
18/03/2014,7.92,8.45,7.86,8.33,2210540
19/03/2014,8.39,8.56,8.39,8.45,567100
20/03/2014,8.45,8.5,8.27,8.33,993620
21/03/2014,8.33,8.5,8.27,8.39,963090
24/03/2014,8.33,8.45,8.33,8.33,719940
25/03/2014,8.33,8.39,8.15,8.15,1139950
26/03/2014,8.21,8.27,7.92,7.98,1658730
27/03/2014,7.98,8.03,7.86,7.98,944990
