time,open,high,low,close,volume
08/10/2012,3.98,4.04,3.98,4.02,64880
09/10/2012,4.03,4.14,4.02,4.05,143640
10/10/2012,4.08,4.08,4.06,4.08,42760
11/10/2012,4.11,4.11,4.07,4.07,160130
12/10/2012,4.07,4.09,4.04,4.04,45680
15/10/2012,4.03,4.05,4.02,4.02,63990
16/10/2012,4.01,4.05,4.01,4.04,67270
17/10/2012,4.03,4.06,4.03,4.04,26680
18/10/2012,4.04,4.04,3.99,3.99,60410
19/10/2012,4.03,4.03,3.96,3.98,60110
22/10/2012,4.02,4.02,3.97,3.97,57430
23/10/2012,3.97,3.98,3.96,3.97,76660
24/10/2012,3.97,3.98,3.97,3.97,81980
25/10/2012,3.94,3.97,3.94,3.97,61750
26/10/2012,3.97,3.97,3.94,3.96,31920
29/10/2012,3.94,3.96,3.94,3.95,47580
30/10/2012,3.91,3.94,3.91,3.91,94430
31/10/2012,3.91,3.92,3.9,3.9,91490
01/11/2012,3.85,3.92,3.85,3.9,70110
02/11/2012,3.73,3.77,3.71,3.71,96810
05/11/2012,3.55,3.71,3.54,3.69,97960
06/11/2012,3.74,3.74,3.65,3.65,44860
07/11/2012,3.69,3.72,3.67,3.7,44590
08/11/2012,3.72,3.72,3.68,3.7,36430
09/11/2012,3.7,3.71,3.68,3.7,23200
12/11/2012,3.73,3.83,3.73,3.81,99430
13/11/2012,3.82,3.83,3.8,3.8,31120
14/11/2012,3.82,3.82,3.79,3.81,31510
15/11/2012,3.81,3.81,3.78,3.78,45690
16/11/2012,3.8,3.8,3.76,3.76,17580
19/11/2012,3.79,3.79,3.7,3.7,32930
20/11/2012,3.67,3.71,3.67,3.7,22050
21/11/2012,3.73,3.73,3.69,3.69,20910
22/11/2012,3.7,3.7,3.68,3.69,39450
23/11/2012,3.71,3.71,3.69,3.69,31930
26/11/2012,3.7,3.7,3.67,3.67,38540
27/11/2012,3.67,3.68,3.64,3.64,49420
28/11/2012,3.65,3.65,3.59,3.59,44390
29/11/2012,3.59,3.6,3.55,3.55,73740
30/11/2012,3.56,3.57,3.55,3.56,44430
03/12/2012,3.56,3.56,3.53,3.54,54360
04/12/2012,3.51,3.57,3.49,3.57,93650
05/12/2012,3.68,3.73,3.63,3.67,107150
