time,open,high,low,close,volume
14/10/2014,8.1,8.1,7.87,7.87,361650
15/10/2014,7.8,7.95,7.72,7.87,814130
16/10/2014,7.8,7.8,7.49,7.52,1592280
17/10/2014,7.55,7.65,7.42,7.65,875080
20/10/2014,7.65,7.72,7.57,7.57,394500
21/10/2014,7.57,7.65,7.54,7.57,345010
22/10/2014,7.65,7.72,7.57,7.65,410150
23/10/2014,7.57,7.72,7.54,7.55,596130
24/10/2014,7.57,7.65,7.51,7.54,480290
27/10/2014,7.49,7.54,7.37,7.37,579320
28/10/2014,7.34,7.45,7.34,7.42,383290
29/10/2014,7.42,7.65,7.42,7.57,425130
30/10/2014,7.57,7.65,7.57,7.57,515410
31/10/2014,7.57,7.72,7.55,7.72,321640
03/11/2014,7.8,7.87,7.72,7.8,367540
04/11/2014,7.72,7.8,7.65,7.72,382940
05/11/2014,7.72,7.8,7.57,7.65,296180
06/11/2014,7.72,7.72,7.55,7.57,379630
07/11/2014,7.57,7.65,7.55,7.65,252440
10/11/2014,7.65,7.8,7.57,7.65,438060
11/11/2014,7.72,7.72,7.65,7.72,176690
12/11/2014,7.72,7.72,7.65,7.65,148270
13/11/2014,7.65,7.72,7.65,7.65,321950
14/11/2014,7.65,7.65,7.54,7.57,459950
17/11/2014,7.65,7.65,7.55,7.55,302800
18/11/2014,7.57,7.57,7.43,7.43,347210
19/11/2014,7.46,7.49,7.42,7.42,669840
20/11/2014,7.43,7.46,7.39,7.42,366710
21/11/2014,7.46,7.55,7.42,7.43,400290
24/11/2014,7.42,7.42,7.36,7.39,289320
25/11/2014,7.39,7.46,7.39,7.45,190010
26/11/2014,7.49,7.49,7.39,7.39,224690
27/11/2014,7.43,7.43,7.34,7.37,311160
28/11/2014,7.4,7.4,7.28,7.28,526360
01/12/2014,7.27,7.33,7.24,7.24,387370
02/12/2014,7.25,7.25,7.18,7.22,361490
03/12/2014,7.28,7.42,7.24,7.3,209630
04/12/2014,7.3,7.4,7.3,7.36,291140
05/12/2014,7.39,7.4,7.34,7.37,220940
08/12/2014,7.37,7.37,7.3,7.31,230000
09/12/2014,7.28,7.28,7.15,7.15,975650
10/12/2014,7.13,7.24,7.12,7.22,462650
11/12/2014,7.19,7.22,7.15,7.18,319170
12/12/2014,7.21,7.34,7.19,7.28,222600
15/12/2014,7.28,7.28,7.24,7.24,176820
16/12/2014,7.22,7.24,7.15,7.15,525220
17/12/2014,7.16,7.16,6.78,6.84,1067630
18/12/2014,6.89,7.06,6.89,6.99,280050
19/12/2014,7.12,7.12,6.9,6.9,327710
22/12/2014,6.99,7.04,6.96,7.01,261240
23/12/2014,7.01,7.13,6.99,7.1,291780
24/12/2014,7.15,7.18,7.09,7.1,171930
