time,open,high,low,close,volume
20/06/2012,15.4,15.72,15.4,15.6,224150
21/06/2012,15.76,15.76,15.48,15.64,86970
22/06/2012,15.6,15.76,15.56,15.68,182790
25/06/2012,15.72,15.72,15.27,15.4,216300
26/06/2012,15.11,15.4,15.11,15.4,107410
27/06/2012,15.35,15.6,15.35,15.44,56490
28/06/2012,15.64,15.64,15.44,15.64,314740
29/06/2012,15.72,15.72,15.6,15.6,591130
02/07/2012,15.72,16.25,15.6,15.64,111900
03/07/2012,15.56,15.76,15.52,15.68,98880
04/07/2012,15.64,15.68,15.52,15.56,181160
05/07/2012,15.56,15.6,15.23,15.56,32450
06/07/2012,15.56,15.56,15.23,15.56,27580
09/07/2012,15.56,15.56,15.31,15.44,14910
10/07/2012,15.31,15.44,15.23,15.23,54900
11/07/2012,15.03,15.35,15.03,15.35,32940
12/07/2012,15.4,15.4,15.27,15.4,2830
13/07/2012,15.44,15.52,15.4,15.48,77460
16/07/2012,15.27,15.56,15.27,15.56,75920
17/07/2012,15.68,15.68,15.44,15.56,182340
18/07/2012,15.68,15.68,15.31,15.6,146560
19/07/2012,15.6,16.29,15.4,16.29,819250
20/07/2012,16.25,16.25,16.0,16.09,287610
23/07/2012,16.09,16.09,15.84,16.0,51430
24/07/2012,16.0,16.0,15.48,15.68,33440
25/07/2012,15.44,15.84,15.44,15.68,59190
26/07/2012,15.8,15.8,15.68,15.8,28250
27/07/2012,15.8,15.84,15.72,15.76,42110
30/07/2012,15.52,15.92,15.52,15.92,36800
31/07/2012,16.0,16.0,15.76,15.8,37450
01/08/2012,15.8,15.88,15.8,15.84,126160
02/08/2012,15.84,16.09,15.76,15.96,379390
03/08/2012,15.88,16.0,15.84,15.96,338830
06/08/2012,16.13,16.13,15.84,16.0,307250
07/08/2012,16.0,16.05,15.88,16.0,39770
08/08/2012,16.05,16.05,15.88,15.88,88470
09/08/2012,15.88,16.0,15.88,15.88,139970
10/08/2012,15.88,16.0,15.88,15.88,82930
13/08/2012,15.64,15.92,15.64,15.88,52670
14/08/2012,15.84,15.96,15.84,15.92,65220
15/08/2012,16.0,16.05,15.96,16.0,172630
16/08/2012,16.05,16.37,16.05,16.29,713090
17/08/2012,16.37,16.98,16.37,16.9,2424550
20/08/2012,17.06,17.06,16.9,17.02,285470
21/08/2012,16.98,16.98,16.21,16.21,778620
22/08/2012,15.64,16.65,15.64,16.45,425250
23/08/2012,16.25,16.25,15.64,15.64,608680
24/08/2012,14.95,16.37,14.95,16.05,471190
27/08/2012,16.0,16.0,15.27,15.27,338670
28/08/2012,15.11,15.72,15.11,15.56,144670
29/08/2012,16.17,16.33,16.17,16.33,1294020
30/08/2012,16.57,16.74,16.45,16.65,1204090
31/08/2012,16.86,17.03,16.78,16.99,1200100
04/09/2012,17.24,17.24,16.99,17.11,633240
05/09/2012,17.11,17.2,16.78,16.9,154700
06/09/2012,16.74,16.95,16.24,16.24,174400
07/09/2012,16.53,17.03,16.2,17.03,360690
10/09/2012,16.95,16.95,16.36,16.61,454770
11/09/2012,16.36,17.07,16.28,16.74,157910
