time,open,high,low,close,volume
08/10/2012,16.41,16.7,16.41,16.53,242320
09/10/2012,16.61,16.61,16.16,16.53,238310
10/10/2012,16.32,16.53,16.32,16.53,33740
11/10/2012,16.53,16.57,16.45,16.53,110180
12/10/2012,16.57,16.57,16.41,16.41,79120
15/10/2012,16.57,16.57,16.07,16.11,45510
16/10/2012,16.2,16.45,16.16,16.24,87690
17/10/2012,16.24,16.41,16.16,16.2,35150
18/10/2012,16.36,16.36,16.2,16.2,60080
19/10/2012,16.32,16.57,16.11,16.57,271750
22/10/2012,16.57,16.57,16.24,16.41,4050
23/10/2012,16.57,16.82,16.45,16.66,172530
24/10/2012,16.74,16.74,16.57,16.57,53520
25/10/2012,16.36,16.61,16.36,16.36,12940
26/10/2012,16.36,16.49,16.28,16.36,26410
29/10/2012,16.57,16.57,16.36,16.45,29930
30/10/2012,16.49,16.57,16.49,16.49,79390
31/10/2012,16.45,16.61,16.45,16.45,76830
01/11/2012,16.53,16.53,16.41,16.45,223990
02/11/2012,15.82,16.24,15.82,16.07,95260
05/11/2012,16.2,16.28,16.07,16.2,100740
06/11/2012,16.36,16.36,16.16,16.24,11380
07/11/2012,16.32,16.32,16.16,16.24,65790
08/11/2012,16.32,16.32,16.2,16.24,104620
09/11/2012,16.24,16.41,16.2,16.24,249060
12/11/2012,16.41,16.41,16.24,16.24,110350
13/11/2012,16.32,16.32,16.24,16.24,99660
14/11/2012,16.24,16.32,16.2,16.24,119660
15/11/2012,16.32,16.32,16.2,16.2,44850
16/11/2012,16.16,16.28,16.16,16.24,44410
19/11/2012,16.2,16.28,16.16,16.16,60140
20/11/2012,16.16,16.24,16.16,16.2,13590
21/11/2012,16.2,16.28,16.16,16.16,88770
22/11/2012,16.2,16.28,16.2,16.24,148050
23/11/2012,16.24,16.28,16.16,16.24,82060
26/11/2012,16.2,16.2,16.11,16.16,44460
27/11/2012,16.11,16.2,16.11,16.16,29740
28/11/2012,16.11,16.24,16.11,16.2,43070
29/11/2012,16.2,16.2,16.16,16.16,24140
30/11/2012,16.2,16.24,16.16,16.16,40500
03/12/2012,16.2,16.24,16.16,16.2,60410
04/12/2012,16.41,16.62,16.28,16.62,135030
05/12/2012,16.67,16.67,16.54,16.67,36080
06/12/2012,16.62,16.62,16.5,16.5,2760
07/12/2012,16.5,16.58,16.33,16.45,18370
10/12/2012,16.5,16.58,16.37,16.5,40080
11/12/2012,16.67,16.8,16.5,16.62,6570
12/12/2012,16.5,16.67,16.45,16.62,68420
13/12/2012,16.62,16.67,16.5,16.5,127330
14/12/2012,16.67,16.67,16.5,16.5,58880
17/12/2012,16.5,16.67,16.45,16.58,112540
18/12/2012,16.58,16.62,16.54,16.62,194580
19/12/2012,16.62,16.62,16.5,16.58,35120
20/12/2012,16.62,16.62,16.45,16.45,77850
21/12/2012,16.45,16.54,16.28,16.33,23440
24/12/2012,16.58,16.58,16.24,16.58,36900
25/12/2012,16.58,16.62,16.5,16.58,44300
26/12/2012,16.45,16.62,16.45,16.62,33230
27/12/2012,16.62,16.67,16.58,16.62,109200
28/12/2012,16.5,16.67,16.5,16.5,77550
02/01/2013,16.54,16.67,16.5,16.67,90770
03/01/2013,16.67,16.88,16.58,16.67,1618510
04/01/2013,16.97,17.18,16.67,17.05,1318980
07/01/2013,17.09,17.22,17.05,17.05,701600
08/01/2013,17.01,17.69,16.92,17.44,871680
09/01/2013,17.61,17.82,17.05,17.14,1192690
10/01/2013,17.14,17.44,17.05,17.44,286010
11/01/2013,17.52,18.29,17.52,18.29,1009650
14/01/2013,18.29,19.19,18.25,18.89,504790
15/01/2013,18.89,18.89,18.42,18.5,476420
16/01/2013,18.46,18.93,18.46,18.68,1560150
17/01/2013,18.68,18.72,17.95,17.95,505310
18/01/2013,17.95,18.16,17.74,17.78,550040
21/01/2013,17.86,17.86,17.35,17.39,745790
22/01/2013,17.31,17.86,17.22,17.39,864580
23/01/2013,17.61,17.61,17.27,17.39,151470
24/01/2013,17.39,17.99,17.39,17.91,1013370
25/01/2013,18.03,19.15,17.95,19.15,976320
28/01/2013,20.09,20.47,19.44,19.44,868650
29/01/2013,19.27,19.96,19.19,19.44,831050
30/01/2013,19.79,20.3,19.49,19.66,422340
31/01/2013,19.62,19.66,19.1,19.1,409050
01/02/2013,19.02,19.23,18.76,19.23,354500
04/02/2013,19.66,20.04,19.49,19.66,373810
05/02/2013,19.66,19.74,19.36,19.44,264910
06/02/2013,19.44,19.79,19.44,19.79,472350
07/02/2013,19.91,19.91,19.66,19.74,373420
08/02/2013,19.79,19.96,19.57,19.96,365340
18/02/2013,20.17,20.17,19.83,19.96,346920
19/02/2013,19.96,19.96,19.66,19.66,647860
20/02/2013,19.74,20.0,19.7,19.83,699390
21/02/2013,19.96,20.47,19.66,19.66,899530
22/02/2013,19.74,20.0,19.57,19.7,689770
25/02/2013,19.96,19.96,19.7,19.79,109600
26/02/2013,19.83,19.83,19.06,19.23,556910
27/02/2013,19.23,19.7,18.89,19.7,365170
28/02/2013,19.74,19.83,19.53,19.66,183820
01/03/2013,19.66,20.04,19.66,19.79,314740
04/03/2013,19.83,19.91,19.53,19.53,264030
05/03/2013,19.32,19.53,19.23,19.32,89560
06/03/2013,19.44,19.62,19.32,19.62,39940
07/03/2013,19.62,19.66,19.49,19.49,233500
08/03/2013,19.27,19.66,19.27,19.49,35110
11/03/2013,19.53,19.66,19.36,19.49,85580
12/03/2013,19.66,19.74,19.49,19.57,235000
13/03/2013,19.62,19.62,19.49,19.57,199990
14/03/2013,19.49,19.62,19.36,19.57,156780
15/03/2013,19.57,19.7,19.53,19.53,200740
18/03/2013,19.66,20.21,19.62,20.09,429120
19/03/2013,20.09,21.03,20.09,20.94,533560
20/03/2013,21.24,22.22,20.94,22.01,419370
21/03/2013,22.01,22.01,21.33,21.37,540040
22/03/2013,21.37,22.44,21.33,21.58,671960
25/03/2013,22.01,22.22,21.33,21.37,472830
26/03/2013,21.37,21.8,21.33,21.33,255890
27/03/2013,21.33,22.22,21.15,22.22,707080
28/03/2013,22.01,23.5,22.01,22.65,2542170
29/03/2013,22.65,23.08,22.22,22.86,272890
01/04/2013,22.86,24.36,22.65,24.36,681350
02/04/2013,24.57,25.0,23.93,23.93,1627880
03/04/2013,24.15,24.36,23.08,23.5,811700
04/04/2013,23.5,23.5,22.44,22.44,1324870
05/04/2013,22.86,23.08,22.44,22.86,558450
08/04/2013,23.08,23.5,22.65,23.08,385390
09/04/2013,23.08,24.36,22.86,24.15,1379610
10/04/2013,24.36,25.64,23.5,23.5,2047410
11/04/2013,24.15,24.57,23.72,24.57,717170
12/04/2013,24.79,24.79,23.29,23.72,609040
15/04/2013,23.5,24.36,23.08,23.72,754530
16/04/2013,23.5,23.93,23.08,23.5,1118220
17/04/2013,23.93,23.93,23.29,23.72,348830
18/04/2013,23.5,23.5,22.86,23.08,355410
22/04/2013,23.08,23.29,22.44,22.65,601540
23/04/2013,23.08,23.29,22.44,23.08,657370
24/04/2013,23.29,23.29,23.08,23.29,80830
25/04/2013,23.29,23.5,22.86,23.08,262520
26/04/2013,23.08,23.08,22.65,22.65,490500
02/05/2013,22.86,23.08,22.65,22.65,368230
03/05/2013,22.65,23.08,22.65,22.65,227880
06/05/2013,22.86,23.72,22.86,23.72,655880
07/05/2013,23.5,23.93,23.08,23.08,568980
08/05/2013,23.29,23.5,23.08,23.29,496180
09/05/2013,23.5,23.72,23.29,23.29,1022500
10/05/2013,23.93,24.36,23.5,23.5,1786950
13/05/2013,23.72,23.93,23.29,23.29,905960
14/05/2013,23.29,23.5,23.08,23.5,497120
15/05/2013,23.72,23.94,23.29,23.72,872370
16/05/2013,23.72,24.16,23.51,23.94,697960
