time,open,high,low,close,volume
18/10/2016,36.05,36.2,35.37,35.53,128270
19/10/2016,35.79,36.05,35.58,35.84,90290
20/10/2016,36.2,36.2,35.79,35.79,144580
21/10/2016,35.53,35.79,35.32,35.79,186160
24/10/2016,35.32,35.74,35.32,35.32,112040
25/10/2016,35.27,35.53,34.8,35.42,187330
26/10/2016,35.22,35.42,35.11,35.11,143550
27/10/2016,35.11,35.27,34.85,35.17,128110
28/10/2016,35.01,35.37,35.01,35.27,117960
31/10/2016,35.27,35.27,34.23,34.23,297550
01/11/2016,33.97,34.65,33.87,34.49,285650
02/11/2016,34.49,34.65,34.08,34.18,140040
03/11/2016,34.13,34.13,32.99,33.87,224930
04/11/2016,34.08,34.08,33.66,34.08,92300
07/11/2016,34.08,34.91,33.71,34.91,152080
08/11/2016,35.17,35.17,34.85,35.11,157360
09/11/2016,34.23,35.11,33.19,34.8,239570
10/11/2016,34.8,35.53,34.8,35.27,244160
11/11/2016,35.27,35.79,35.27,35.32,31690
14/11/2016,35.27,35.27,34.65,34.75,89780
15/11/2016,34.75,34.96,34.54,34.85,92810
16/11/2016,35.22,35.42,34.8,34.91,125530
17/11/2016,35.01,35.01,34.85,34.85,73200
18/11/2016,34.75,34.91,34.75,34.85,78920
21/11/2016,34.85,34.96,34.85,34.91,70110
22/11/2016,35.27,36.05,35.27,35.63,93310
23/11/2016,35.63,35.89,35.53,35.58,59900
24/11/2016,35.37,35.58,35.27,35.37,47110
25/11/2016,35.27,35.37,35.01,35.27,126720
28/11/2016,35.27,35.32,35.01,35.27,156290
29/11/2016,34.59,35.27,33.45,33.45,165130
30/11/2016,33.45,33.45,32.68,33.14,197670
01/12/2016,35.42,35.42,35.27,35.42,355160
02/12/2016,35.79,35.94,35.01,35.22,125390
05/12/2016,34.85,35.11,34.23,34.49,43400
06/12/2016,34.75,34.75,33.19,34.7,141330
07/12/2016,33.87,34.59,33.71,33.87,50640
08/12/2016,33.19,33.97,33.14,33.71,109720
09/12/2016,33.97,34.23,33.19,34.23,177470
12/12/2016,34.7,35.42,34.23,34.23,171330
13/12/2016,34.75,34.75,33.45,33.71,123920
14/12/2016,33.25,33.97,33.25,33.71,68590
15/12/2016,33.71,33.71,33.14,33.4,114660
16/12/2016,33.66,33.66,32.93,33.3,111530
19/12/2016,33.97,33.97,33.45,33.66,89160
20/12/2016,33.66,33.71,32.93,32.99,128610
21/12/2016,33.4,33.82,33.25,33.71,148590
22/12/2016,34.14,34.3,33.98,34.14,74520
23/12/2016,34.2,34.2,33.34,33.34,91970
26/12/2016,33.87,33.87,32.85,32.85,33570
27/12/2016,32.8,33.01,30.59,32.26,122290
28/12/2016,32.26,32.53,32.05,32.21,199190
29/12/2016,32.21,32.32,32.1,32.1,158240
30/12/2016,32.1,32.69,32.1,32.58,63220
03/01/2017,32.8,32.8,32.21,32.32,119390
04/01/2017,32.26,33.23,32.21,33.07,144060
05/01/2017,33.23,33.23,32.8,33.07,30860
06/01/2017,33.07,33.07,32.48,32.48,73420
09/01/2017,32.48,32.91,32.26,32.53,210470
10/01/2017,32.69,32.69,32.15,32.26,145150
11/01/2017,32.26,32.53,32.26,32.48,52950
12/01/2017,32.53,32.75,32.37,32.53,35960
13/01/2017,32.53,32.69,32.05,32.05,172210
16/01/2017,32.05,32.05,31.03,31.19,292540
17/01/2017,30.97,31.19,30.43,30.49,274310
18/01/2017,30.49,30.97,30.49,30.86,250630
19/01/2017,30.65,30.86,30.65,30.86,48270
20/01/2017,30.86,31.29,30.65,31.24,88440
23/01/2017,31.24,31.46,30.65,31.46,143830
24/01/2017,31.72,32.48,31.46,32.26,158760
25/01/2017,32.26,32.32,31.99,32.32,190060
02/02/2017,32.42,32.8,32.42,32.53,102440
03/02/2017,32.53,32.53,31.83,31.99,174630
06/02/2017,31.99,32.8,31.62,32.26,415830
07/02/2017,32.26,32.53,32.15,32.26,230780
08/02/2017,32.26,32.26,31.78,31.78,118350
09/02/2017,30.65,31.46,30.54,31.19,2471360
10/02/2017,31.19,31.99,31.13,31.72,774350
13/02/2017,31.72,31.94,31.62,31.78,646920
14/02/2017,31.72,31.99,31.46,31.78,1178960
15/02/2017,31.83,31.83,31.56,31.78,943370
16/02/2017,31.72,32.26,31.62,31.89,1044840
17/02/2017,31.94,32.05,31.62,31.67,507400
20/02/2017,31.67,31.83,31.35,31.72,545730
21/02/2017,31.72,32.48,31.67,32.1,1564800
22/02/2017,32.42,33.34,32.42,33.34,2022590
23/02/2017,33.61,34.09,33.39,33.87,1381370
24/02/2017,33.93,33.93,33.18,33.18,749570
27/02/2017,32.96,33.28,32.64,33.28,868170
28/02/2017,33.34,33.5,32.42,32.42,665120
01/03/2017,32.48,32.48,31.56,31.67,1311380
02/03/2017,31.94,31.99,31.19,31.19,926350
03/03/2017,31.19,31.67,30.92,31.51,487640
06/03/2017,31.46,31.72,31.29,31.29,672260
07/03/2017,31.19,31.35,30.92,31.29,979520
08/03/2017,31.4,31.4,30.97,31.08,434580
09/03/2017,30.86,30.86,30.54,30.54,1168640
10/03/2017,30.43,30.43,29.79,30.0,1316700
13/03/2017,29.57,29.9,28.98,29.41,869240
14/03/2017,29.41,30.33,29.41,29.57,607090
15/03/2017,29.57,29.95,29.47,29.57,684900
16/03/2017,30.11,30.11,29.73,29.9,566040
17/03/2017,29.84,29.9,29.57,29.57,562130
20/03/2017,29.57,29.73,29.47,29.47,604570
21/03/2017,29.57,29.73,29.25,29.25,503250
22/03/2017,29.14,29.25,28.5,28.5,1255270
23/03/2017,28.5,29.14,28.5,28.61,971180
24/03/2017,28.71,29.3,28.71,29.3,516030
27/03/2017,29.2,29.25,28.87,29.04,555010
28/03/2017,29.04,29.04,28.77,28.82,319850
29/03/2017,29.09,29.36,28.82,28.93,552250
30/03/2017,29.04,29.41,29.04,29.25,362230
31/03/2017,29.57,29.73,29.36,29.57,532050
03/04/2017,29.47,29.73,29.3,29.41,428240
04/04/2017,29.57,29.57,29.04,29.2,551270
05/04/2017,29.52,29.63,29.3,29.47,535710
07/04/2017,29.73,30.76,29.63,30.76,1555420
10/04/2017,31.3,31.3,30.86,30.97,485730
11/04/2017,31.03,31.3,30.65,30.92,718510
12/04/2017,31.03,31.03,30.16,30.16,733350
13/04/2017,30.7,30.7,29.56,29.78,678760
14/04/2017,29.88,29.94,29.12,29.34,568130
17/04/2017,29.5,29.99,29.23,29.39,463270
18/04/2017,29.39,30.05,29.39,29.99,457560
19/04/2017,30.05,30.16,29.78,29.94,247430
20/04/2017,29.61,29.61,29.39,29.39,405730
21/04/2017,29.34,29.61,29.18,29.18,256750
24/04/2017,29.18,29.67,29.07,29.45,361260
25/04/2017,29.39,29.5,29.23,29.23,110460
26/04/2017,29.29,29.67,29.18,29.67,334940
27/04/2017,29.67,30.48,29.61,30.37,1008680
28/04/2017,30.27,30.48,29.67,30.21,498570
03/05/2017,29.94,30.27,29.88,30.05,651080
04/05/2017,29.94,30.05,29.83,30.05,623850
05/05/2017,29.67,29.88,29.61,29.72,238870
08/05/2017,29.72,30.1,29.72,29.94,402680
09/05/2017,29.88,30.32,29.83,30.27,561550
10/05/2017,30.43,30.48,29.94,29.94,296500
11/05/2017,30.21,30.21,29.88,29.99,125850
12/05/2017,30.1,30.1,29.61,29.67,260390
