time,open,high,low,close,volume
14/10/2014,3.8,3.8,3.67,3.67,1027190
15/10/2014,3.67,3.7,3.57,3.6,802020
16/10/2014,3.6,3.6,3.41,3.44,1505530
17/10/2014,3.47,3.51,3.34,3.47,1463780
20/10/2014,3.47,3.57,3.47,3.57,878530
21/10/2014,3.54,3.6,3.54,3.57,290660
22/10/2014,3.57,3.64,3.57,3.64,743530
23/10/2014,3.6,3.67,3.54,3.54,564550
24/10/2014,3.57,3.57,3.47,3.54,332940
27/10/2014,3.51,3.54,3.44,3.44,352360
28/10/2014,3.41,3.51,3.41,3.51,464930
29/10/2014,3.54,3.57,3.51,3.54,324890
30/10/2014,3.51,3.54,3.51,3.54,382610
31/10/2014,3.54,3.57,3.51,3.57,706290
03/11/2014,3.64,3.7,3.64,3.67,759020
04/11/2014,3.67,3.7,3.6,3.64,264000
05/11/2014,3.64,3.67,3.57,3.6,278880
06/11/2014,3.67,3.67,3.57,3.57,145210
07/11/2014,3.57,3.67,3.57,3.67,374310
10/11/2014,3.64,3.67,3.64,3.67,481250
11/11/2014,3.67,3.77,3.64,3.73,750900
12/11/2014,3.73,3.77,3.7,3.73,182330
13/11/2014,3.7,3.77,3.7,3.73,280040
14/11/2014,3.73,3.73,3.64,3.7,367940
17/11/2014,3.7,3.73,3.67,3.7,209400
18/11/2014,3.67,3.7,3.64,3.7,213320
19/11/2014,3.67,3.67,3.57,3.6,809030
20/11/2014,3.64,3.67,3.6,3.67,586140
21/11/2014,3.67,3.67,3.6,3.6,276110
24/11/2014,3.57,3.6,3.54,3.57,200420
25/11/2014,3.57,3.6,3.54,3.57,464830
26/11/2014,3.57,3.6,3.44,3.47,703040
27/11/2014,3.47,3.54,3.44,3.54,876480
28/11/2014,3.54,3.54,3.44,3.47,390620
01/12/2014,3.51,3.57,3.51,3.51,603620
02/12/2014,3.54,3.54,3.47,3.51,168670
03/12/2014,3.54,3.57,3.51,3.57,481290
04/12/2014,3.57,3.6,3.54,3.57,341620
05/12/2014,3.6,3.64,3.57,3.6,697150
08/12/2014,3.6,3.6,3.51,3.54,421550
09/12/2014,3.51,3.54,3.34,3.38,945890
10/12/2014,3.41,3.47,3.31,3.44,542440
11/12/2014,3.41,3.44,3.38,3.41,157820
12/12/2014,3.34,3.44,3.34,3.44,82360
15/12/2014,3.44,3.44,3.38,3.38,84760
16/12/2014,3.38,3.38,3.21,3.23,651220
17/12/2014,3.21,3.25,3.01,3.1,1517960
18/12/2014,3.12,3.18,3.12,3.14,538720
19/12/2014,3.14,3.18,3.13,3.14,555400
22/12/2014,3.16,3.34,3.16,3.34,398810
23/12/2014,3.38,3.41,3.31,3.34,464800
24/12/2014,3.38,3.38,3.34,3.34,187190
25/12/2014,3.31,3.34,3.28,3.31,188070
26/12/2014,3.31,3.31,3.23,3.25,273800
29/12/2014,3.25,3.41,3.25,3.34,414450
30/12/2014,3.34,3.41,3.31,3.41,385200
31/12/2014,3.41,3.44,3.41,3.44,685640
05/01/2015,3.44,3.51,3.41,3.44,207020
06/01/2015,3.38,3.47,3.38,3.47,260380
07/01/2015,3.47,3.51,3.44,3.44,232770
08/01/2015,3.44,3.47,3.41,3.44,107380
09/01/2015,3.44,3.51,3.41,3.51,409230
12/01/2015,3.47,3.57,3.47,3.51,695280
13/01/2015,3.47,3.51,3.47,3.51,77750
14/01/2015,3.47,3.51,3.41,3.51,229360
15/01/2015,3.47,3.54,3.47,3.51,199440
16/01/2015,3.47,3.47,3.44,3.44,220730
19/01/2015,3.44,3.47,3.41,3.41,293800
20/01/2015,3.41,3.44,3.38,3.44,146590
21/01/2015,3.44,3.47,3.41,3.47,628920
22/01/2015,3.47,3.47,3.41,3.44,258970
23/01/2015,3.44,3.44,3.31,3.34,1294880
26/01/2015,3.34,3.34,3.23,3.23,1167630
27/01/2015,3.28,3.31,3.24,3.28,1091760
28/01/2015,3.31,3.31,3.23,3.28,187910
29/01/2015,3.28,3.28,3.19,3.21,305240
30/01/2015,3.21,3.21,3.1,3.1,790190
02/02/2015,3.1,3.17,3.08,3.08,193890
03/02/2015,3.08,3.12,3.03,3.03,456170
04/02/2015,3.01,3.06,2.93,2.93,603690
05/02/2015,2.92,2.93,2.86,2.92,972680
06/02/2015,2.98,3.03,2.97,2.99,202240
09/02/2015,2.99,3.02,2.91,2.91,368440
10/02/2015,2.92,3.02,2.86,3.01,700570
11/02/2015,3.01,3.14,3.01,3.14,382460
12/02/2015,3.15,3.21,3.12,3.17,328920
13/02/2015,3.17,3.22,3.15,3.19,337680
24/02/2015,3.2,3.2,3.15,3.2,416880
25/02/2015,3.16,3.19,3.14,3.14,487940
26/02/2015,3.14,3.17,3.08,3.11,645750
27/02/2015,3.1,3.1,3.03,3.06,1111170
02/03/2015,3.03,3.06,2.99,3.0,635450
03/03/2015,3.01,3.07,3.01,3.06,670000
04/03/2015,3.06,3.08,3.05,3.06,324080
05/03/2015,3.06,3.1,3.06,3.07,752710
06/03/2015,3.07,3.07,3.05,3.06,296850
09/03/2015,3.08,3.18,3.08,3.16,1110350
10/03/2015,3.16,3.18,3.11,3.12,924780
11/03/2015,3.1,3.16,3.08,3.08,485870
12/03/2015,3.06,3.08,3.03,3.04,750130
13/03/2015,3.04,3.06,3.01,3.02,472400
16/03/2015,3.02,3.02,2.92,2.93,1037700
17/03/2015,2.93,2.98,2.92,2.92,640370
18/03/2015,2.94,2.95,2.88,2.9,1092640
19/03/2015,2.89,2.91,2.82,2.86,1270400
20/03/2015,2.86,3.01,2.84,3.01,2188020
23/03/2015,3.01,3.01,2.92,2.92,1140180
24/03/2015,2.89,2.91,2.86,2.88,804400
25/03/2015,2.86,2.89,2.85,2.86,765950
26/03/2015,2.85,2.89,2.84,2.85,498620
27/03/2015,2.85,2.88,2.84,2.85,253180
30/03/2015,2.86,2.88,2.84,2.86,685590
31/03/2015,2.86,2.88,2.86,2.86,668940
01/04/2015,2.86,2.9,2.85,2.86,573070
02/04/2015,2.86,2.87,2.84,2.86,450390
03/04/2015,2.87,2.93,2.86,2.92,1033520
06/04/2015,2.91,2.92,2.88,2.88,271760
07/04/2015,2.87,2.91,2.87,2.88,469470
08/04/2015,2.9,2.9,2.87,2.87,334680
09/04/2015,2.87,2.9,2.87,2.87,397900
10/04/2015,2.88,2.89,2.87,2.87,388880
13/04/2015,2.9,2.9,2.87,2.87,201090
14/04/2015,2.87,2.89,2.87,2.88,422120
15/04/2015,2.88,2.95,2.88,2.92,1231840
16/04/2015,2.93,2.96,2.92,2.92,725910
17/04/2015,2.9,3.02,2.9,2.96,982040
20/04/2015,2.95,2.96,2.92,2.93,375410
21/04/2015,2.93,2.93,2.92,2.93,424870
22/04/2015,2.93,2.99,2.93,2.93,639770
23/04/2015,2.93,2.95,2.88,2.89,485650
24/04/2015,2.9,2.9,2.89,2.89,371010
27/04/2015,2.92,2.95,2.86,2.86,394780
04/05/2015,2.9,2.9,2.79,2.81,1045680
05/05/2015,2.81,2.9,2.8,2.87,767180
06/05/2015,2.88,2.89,2.82,2.82,993740
07/05/2015,2.82,2.86,2.82,2.84,540380
08/05/2015,2.87,2.94,2.81,2.81,565420
11/05/2015,2.8,2.83,2.75,2.76,405070
12/05/2015,2.8,2.8,2.68,2.68,684210
13/05/2015,2.66,2.68,2.59,2.62,1291880
14/05/2015,2.6,2.67,2.59,2.67,734690
15/05/2015,2.67,2.67,2.6,2.6,554930
18/05/2015,2.55,2.59,2.47,2.47,1773500
19/05/2015,2.45,2.51,2.45,2.49,859380
20/05/2015,2.49,2.66,2.49,2.66,904140
21/05/2015,2.66,2.68,2.62,2.66,580790
22/05/2015,2.64,2.68,2.63,2.68,500280
25/05/2015,2.68,2.71,2.63,2.66,202540
26/05/2015,2.68,2.72,2.65,2.71,681280
27/05/2015,2.7,2.71,2.66,2.67,414100
28/05/2015,2.64,2.7,2.64,2.67,423170
29/05/2015,2.67,2.69,2.64,2.65,559300
01/06/2015,2.65,2.66,2.63,2.63,543570
02/06/2015,2.61,2.64,2.61,2.62,948500
03/06/2015,2.6,2.63,2.55,2.55,1464690
04/06/2015,2.55,2.58,2.55,2.56,1077090
05/06/2015,2.57,2.57,2.5,2.52,1935780
08/06/2015,2.54,2.6,2.54,2.59,917010
09/06/2015,2.59,2.77,2.58,2.69,2789760
10/06/2015,2.74,2.83,2.74,2.82,3194220
11/06/2015,2.88,2.91,2.84,2.87,1445080
12/06/2015,2.87,2.9,2.83,2.85,1333800
15/06/2015,2.85,2.87,2.83,2.86,1672040
16/06/2015,2.87,2.94,2.85,2.88,1806050
17/06/2015,2.86,2.87,2.82,2.83,1581070
18/06/2015,2.86,2.86,2.8,2.82,887580
19/06/2015,2.81,2.82,2.74,2.74,2592640
22/06/2015,2.78,2.78,2.75,2.77,524900
23/06/2015,2.76,2.84,2.76,2.81,801860
24/06/2015,2.78,2.81,2.77,2.78,1042290
25/06/2015,2.76,2.78,2.73,2.73,898180
26/06/2015,2.73,2.79,2.71,2.72,726400
29/06/2015,2.72,2.79,2.72,2.79,1060110
30/06/2015,2.78,2.88,2.77,2.88,3428620
01/07/2015,2.88,2.89,2.79,2.81,1078850
02/07/2015,2.81,2.86,2.79,2.85,925320
03/07/2015,2.86,2.89,2.85,2.86,1073110
06/07/2015,2.86,2.94,2.86,2.93,1864540
07/07/2015,2.93,3.06,2.89,3.0,2857450
08/07/2015,3.0,3.04,2.95,2.97,1753620
09/07/2015,2.95,2.96,2.9,2.91,1809260
10/07/2015,2.94,2.94,2.88,2.88,1348180
13/07/2015,2.89,2.93,2.85,2.86,1169610
14/07/2015,2.86,2.96,2.81,2.91,2295100
15/07/2015,2.92,2.93,2.85,2.85,931880
16/07/2015,2.84,2.96,2.82,2.95,1582160
17/07/2015,3.02,3.08,3.0,3.01,2675200
20/07/2015,3.0,3.04,2.95,3.04,1390780
21/07/2015,3.04,3.13,3.04,3.13,2696070
22/07/2015,3.14,3.34,3.14,3.34,5105670
23/07/2015,3.37,3.4,3.29,3.3,1600250
24/07/2015,3.3,3.48,3.3,3.45,3303290
27/07/2015,3.49,3.58,3.49,3.55,2415310
28/07/2015,3.55,3.58,3.42,3.42,2009060
29/07/2015,3.39,3.45,3.33,3.33,3073500
30/07/2015,3.32,3.4,3.31,3.35,1363300
