time,open,high,low,close,volume
20/06/2012,53.02,53.53,53.02,53.53,3960
21/06/2012,53.02,53.53,52.5,53.53,3750
22/06/2012,53.02,53.02,51.47,51.47,20610
25/06/2012,51.47,53.02,51.47,51.99,27000
26/06/2012,51.47,51.99,51.47,51.99,65380
27/06/2012,51.47,51.99,51.22,51.22,57750
28/06/2012,50.96,51.22,50.7,50.7,17110
29/06/2012,50.96,51.99,50.7,51.47,49080
02/07/2012,51.47,53.53,51.22,53.53,72920
03/07/2012,51.47,53.02,51.47,53.02,11840
04/07/2012,53.02,53.02,51.47,51.47,10260
05/07/2012,51.99,51.99,51.47,51.47,1870
06/07/2012,51.47,53.02,51.47,51.47,800
09/07/2012,51.47,51.47,50.7,50.7,77680
10/07/2012,51.47,51.47,50.44,50.44,31620
11/07/2012,51.47,51.47,50.19,50.44,12980
12/07/2012,49.67,51.47,49.67,49.67,10840
13/07/2012,49.67,50.96,49.67,50.44,1490
16/07/2012,51.22,51.22,49.93,50.19,19960
17/07/2012,49.67,50.96,49.67,50.44,32030
18/07/2012,50.96,50.96,50.44,50.7,1780
19/07/2012,50.96,50.96,50.44,50.96,12250
20/07/2012,51.47,51.47,49.67,49.67,68470
23/07/2012,49.67,50.96,49.67,49.67,13900
24/07/2012,50.19,50.19,49.41,49.41,18750
25/07/2012,49.41,49.93,48.9,48.9,39140
26/07/2012,49.41,49.93,48.64,48.9,29930
27/07/2012,49.67,49.67,48.13,48.13,43620
30/07/2012,48.13,49.41,48.13,49.16,36660
31/07/2012,48.9,49.41,48.9,49.41,27180
01/08/2012,49.16,50.19,49.16,50.19,83550
02/08/2012,49.93,50.44,49.93,50.44,36450
03/08/2012,50.44,50.44,49.93,50.44,26020
06/08/2012,50.44,50.44,49.67,50.44,80210
07/08/2012,50.7,50.7,49.93,49.93,2970
08/08/2012,49.93,50.44,49.93,50.44,9250
09/08/2012,50.7,51.47,50.7,51.47,34940
10/08/2012,52.5,52.5,51.47,52.5,37200
13/08/2012,53.02,53.02,51.47,53.02,10940
14/08/2012,51.99,53.02,51.99,51.99,18860
15/08/2012,51.99,52.5,51.47,51.47,7570
16/08/2012,51.99,51.99,50.96,51.99,23310
17/08/2012,52.5,53.02,51.99,51.99,14650
20/08/2012,52.5,53.02,51.99,51.99,4440
21/08/2012,52.5,52.5,49.41,49.41,69660
22/08/2012,47.1,48.64,47.1,47.36,184990
23/08/2012,45.3,46.84,45.04,46.33,285750
24/08/2012,44.27,47.36,44.01,47.36,39080
27/08/2012,47.36,48.39,45.81,47.36,193630
28/08/2012,45.04,47.36,45.04,47.36,64450
29/08/2012,47.61,47.61,46.58,47.36,26170
30/08/2012,46.84,47.61,46.84,47.36,25440
31/08/2012,47.61,49.41,47.36,49.41,26190
04/09/2012,49.41,51.47,48.39,51.47,154780
05/09/2012,51.47,53.02,51.22,51.47,238500
06/09/2012,49.41,51.99,49.41,51.22,110570
07/09/2012,51.22,53.02,51.22,53.02,141590
10/09/2012,53.02,54.05,51.22,54.05,694350
11/09/2012,52.5,53.53,52.5,52.5,11840
12/09/2012,52.5,53.02,51.99,52.5,27320
13/09/2012,51.99,52.5,51.99,51.99,33000
14/09/2012,52.5,52.5,51.99,51.99,21430
17/09/2012,51.99,52.5,51.47,51.99,34900
18/09/2012,51.99,52.5,51.99,51.99,47980
19/09/2012,51.47,52.5,51.47,51.47,33030
20/09/2012,51.22,51.22,49.93,50.44,65020
21/09/2012,51.47,51.47,50.44,50.44,166080
24/09/2012,51.47,51.47,50.44,50.96,960
25/09/2012,51.22,51.22,49.93,50.44,31070
26/09/2012,51.47,51.47,49.41,49.67,119020
27/09/2012,49.41,50.19,49.41,49.41,39430
28/09/2012,50.19,50.44,49.41,49.67,16710
01/10/2012,49.67,50.19,49.41,49.67,72060
02/10/2012,50.19,50.19,49.41,49.67,32810
03/10/2012,50.19,50.19,49.41,49.93,230
04/10/2012,50.44,50.44,49.41,49.41,7070
05/10/2012,49.67,49.93,49.41,49.93,40630
08/10/2012,49.93,50.19,49.93,50.19,35420
09/10/2012,50.44,50.44,49.93,49.93,21580
10/10/2012,49.41,50.19,49.41,49.93,22290
11/10/2012,49.93,50.19,49.41,49.41,21750
12/10/2012,49.67,49.67,49.16,49.16,15530
15/10/2012,49.41,49.67,49.16,49.41,6710
16/10/2012,49.67,50.19,49.41,50.19,215880
17/10/2012,50.44,50.44,49.93,50.19,43030
18/10/2012,50.19,50.44,49.93,50.44,62750
19/10/2012,50.44,50.44,49.16,49.41,12600
22/10/2012,49.41,49.41,48.9,48.9,7270
23/10/2012,48.9,49.16,48.39,48.9,6890
24/10/2012,48.9,49.41,48.64,48.64,17610
25/10/2012,48.9,49.41,47.87,47.87,50310
26/10/2012,48.9,48.9,48.13,48.9,1950
29/10/2012,48.13,49.16,48.13,48.9,1190
30/10/2012,47.87,48.9,47.87,48.9,2110
31/10/2012,48.13,48.9,48.13,48.64,750
01/11/2012,48.9,48.9,48.13,48.13,18250
02/11/2012,47.61,48.39,45.81,45.81,22840
05/11/2012,47.36,47.36,46.33,47.36,350
06/11/2012,48.13,48.13,47.36,47.87,5510
07/11/2012,48.13,48.13,46.58,47.87,3930
08/11/2012,48.39,49.93,47.1,49.93,90690
09/11/2012,49.93,49.93,49.41,49.93,21400
12/11/2012,50.19,50.19,49.41,49.93,1550
13/11/2012,49.67,49.93,48.39,49.67,1330
14/11/2012,49.41,49.67,48.39,48.64,7920
15/11/2012,49.41,49.41,48.39,48.64,490
16/11/2012,48.64,48.64,46.84,48.64,15800
19/11/2012,49.41,49.41,47.87,48.9,1950
20/11/2012,49.41,49.41,47.61,48.9,1710
21/11/2012,47.87,48.64,47.61,48.39,1370
22/11/2012,48.13,48.39,47.61,47.61,3100
23/11/2012,48.13,48.13,46.33,46.58,23850
