time,open,high,low,close,volume
20/06/2012,4.38,4.43,4.34,4.38,1036710
21/06/2012,4.34,4.41,4.34,4.34,617320
22/06/2012,4.32,4.36,4.26,4.34,1620950
25/06/2012,4.34,4.34,4.22,4.26,1565690
26/06/2012,4.22,4.22,4.12,4.12,1862410
27/06/2012,4.12,4.18,4.1,4.1,1125390
28/06/2012,4.1,4.12,4.02,4.08,827380
29/06/2012,4.08,4.16,4.08,4.14,674120
02/07/2012,4.18,4.18,4.0,4.0,1119280
03/07/2012,4.02,4.02,3.8,3.84,1913500
04/07/2012,3.84,3.94,3.76,3.78,1310840
05/07/2012,3.78,3.94,3.72,3.94,1447870
06/07/2012,3.92,4.04,3.9,3.96,1015460
09/07/2012,3.94,3.94,3.8,3.82,1164420
10/07/2012,3.82,3.84,3.78,3.78,569430
11/07/2012,3.8,3.84,3.76,3.82,862180
12/07/2012,3.82,3.9,3.82,3.86,808580
13/07/2012,3.88,4.04,3.86,4.02,1983030
16/07/2012,4.04,4.04,3.92,3.94,1051670
17/07/2012,3.92,4.12,3.92,4.12,1535760
18/07/2012,4.18,4.22,4.08,4.16,1733130
19/07/2012,4.18,4.36,4.12,4.36,2751920
20/07/2012,4.41,4.43,4.3,4.3,2067020
23/07/2012,4.28,4.34,4.18,4.22,1488690
24/07/2012,4.18,4.18,4.08,4.08,1426190
25/07/2012,4.08,4.14,4.04,4.06,1382160
26/07/2012,4.12,4.16,4.06,4.14,1065430
27/07/2012,4.16,4.18,4.06,4.08,1373780
30/07/2012,4.08,4.1,4.02,4.08,508720
31/07/2012,4.08,4.14,4.06,4.1,602140
01/08/2012,4.08,4.1,3.98,4.04,1046540
02/08/2012,4.04,4.1,4.0,4.02,660420
03/08/2012,4.0,4.1,4.0,4.02,883420
06/08/2012,4.08,4.22,4.08,4.18,1487900
07/08/2012,4.12,4.18,4.12,4.14,892320
08/08/2012,4.16,4.2,4.12,4.14,637510
09/08/2012,4.18,4.26,4.18,4.22,1388890
10/08/2012,4.2,4.24,4.16,4.16,1086130
13/08/2012,4.16,4.16,4.12,4.14,615430
14/08/2012,4.14,4.2,4.14,4.2,784460
15/08/2012,4.18,4.22,4.16,4.16,1125510
16/08/2012,4.18,4.2,4.14,4.14,709280
17/08/2012,4.12,4.18,4.1,4.18,1214000
20/08/2012,4.24,4.28,4.2,4.24,1705040
21/08/2012,4.18,4.18,4.04,4.04,2326790
22/08/2012,3.86,3.98,3.84,3.84,3359230
23/08/2012,3.72,3.74,3.66,3.66,1385120
24/08/2012,3.48,3.84,3.48,3.78,4771400
27/08/2012,3.74,3.74,3.6,3.6,1882670
28/08/2012,3.58,3.64,3.5,3.6,1172040
29/08/2012,3.68,3.78,3.66,3.78,1839530
30/08/2012,3.76,3.84,3.74,3.78,1225850
31/08/2012,3.76,3.78,3.7,3.74,638330
04/09/2012,3.72,3.8,3.72,3.78,678450
05/09/2012,3.82,3.82,3.66,3.68,1328500
06/09/2012,3.62,3.68,3.58,3.6,797060
07/09/2012,3.6,3.64,3.58,3.62,1714290
10/09/2012,3.6,3.6,3.44,3.44,1803860
11/09/2012,3.38,3.42,3.34,3.36,1421930
12/09/2012,3.4,3.48,3.38,3.4,1036400
13/09/2012,3.4,3.48,3.36,3.44,1194070
14/09/2012,3.56,3.6,3.5,3.54,1787260
17/09/2012,3.52,3.58,3.5,3.5,763100
18/09/2012,3.5,3.54,3.34,3.34,1980930
19/09/2012,3.3,3.4,3.3,3.38,1187510
20/09/2012,3.34,3.36,3.22,3.28,1721040
21/09/2012,3.28,3.36,3.28,3.34,1015940
24/09/2012,3.3,3.32,3.26,3.26,1229750
25/09/2012,3.24,3.3,3.24,3.28,609800
26/09/2012,3.3,3.34,3.28,3.32,872400
27/09/2012,3.32,3.34,3.24,3.26,680260
28/09/2012,3.24,3.28,3.24,3.24,701470
01/10/2012,3.24,3.24,3.1,3.12,1593750
02/10/2012,3.14,3.14,3.06,3.06,1055970
