time,open,high,low,close,volume
08/10/2012,3.14,3.28,3.14,3.28,1275040
09/10/2012,3.3,3.36,3.26,3.3,1504020
10/10/2012,3.28,3.36,3.26,3.34,967530
11/10/2012,3.36,3.46,3.34,3.34,1502840
12/10/2012,3.34,3.38,3.28,3.34,668870
15/10/2012,3.3,3.36,3.26,3.28,776470
16/10/2012,3.3,3.4,3.3,3.4,1622340
17/10/2012,3.42,3.42,3.32,3.32,739460
18/10/2012,3.32,3.38,3.32,3.32,840040
19/10/2012,3.32,3.34,3.18,3.22,1422360
22/10/2012,3.22,3.24,3.16,3.18,570250
23/10/2012,3.18,3.22,3.18,3.18,431480
24/10/2012,3.18,3.24,3.16,3.18,563060
25/10/2012,3.16,3.18,3.04,3.12,836890
26/10/2012,3.1,3.18,3.1,3.18,534200
29/10/2012,3.22,3.22,3.14,3.14,454820
30/10/2012,3.14,3.18,3.12,3.14,520790
31/10/2012,3.16,3.16,3.1,3.14,553180
01/11/2012,3.16,3.16,3.12,3.14,539040
02/11/2012,3.0,3.06,3.0,3.0,2375650
05/11/2012,2.96,3.04,2.96,3.0,787170
06/11/2012,3.0,3.02,2.98,2.98,489340
07/11/2012,3.0,3.06,3.0,3.04,808000
08/11/2012,3.04,3.04,3.0,3.02,423240
09/11/2012,3.04,3.06,3.02,3.06,514530
12/11/2012,3.1,3.2,3.08,3.18,1501930
13/11/2012,3.18,3.22,3.14,3.14,1061990
14/11/2012,3.14,3.18,3.14,3.14,528750
15/11/2012,3.14,3.16,3.1,3.12,680470
16/11/2012,3.1,3.16,3.1,3.14,515680
19/11/2012,3.16,3.16,3.12,3.12,574360
20/11/2012,3.14,3.18,3.12,3.16,1047830
21/11/2012,3.23,3.23,3.16,3.16,1014160
22/11/2012,3.18,3.18,3.14,3.16,202320
23/11/2012,3.16,3.16,3.12,3.12,535970
26/11/2012,3.12,3.12,3.01,3.03,765220
27/11/2012,3.03,3.06,2.99,3.01,571990
28/11/2012,3.03,3.03,2.99,2.99,760200
29/11/2012,3.01,3.03,3.01,3.03,688470
30/11/2012,3.03,3.06,3.01,3.01,339560
03/12/2012,3.03,3.03,2.99,3.01,406910
04/12/2012,3.01,3.06,3.01,3.06,752830
05/12/2012,3.08,3.14,3.06,3.1,1298700
06/12/2012,3.1,3.12,3.06,3.08,576430
07/12/2012,3.08,3.1,3.03,3.03,852860
10/12/2012,3.06,3.16,3.03,3.12,1694830
11/12/2012,3.14,3.14,3.08,3.08,731850
12/12/2012,3.1,3.23,3.08,3.2,1900650
13/12/2012,3.2,3.23,3.14,3.16,1392590
14/12/2012,3.18,3.23,3.18,3.18,1373800
17/12/2012,3.18,3.23,3.16,3.2,1454870
18/12/2012,3.2,3.23,3.14,3.18,1189740
19/12/2012,3.23,3.33,3.2,3.29,2527540
20/12/2012,3.31,3.31,3.25,3.27,1228900
21/12/2012,3.27,3.27,3.2,3.25,1241560
24/12/2012,3.27,3.37,3.25,3.35,1940550
25/12/2012,3.35,3.37,3.31,3.33,1492310
26/12/2012,3.33,3.44,3.31,3.42,1796520
27/12/2012,3.44,3.48,3.42,3.42,2242890
28/12/2012,3.42,3.46,3.4,3.46,1134550
02/01/2013,3.5,3.61,3.5,3.57,2474280
03/01/2013,3.54,3.57,3.44,3.48,2733270
04/01/2013,3.46,3.57,3.44,3.52,2132210
07/01/2013,3.57,3.61,3.52,3.52,2252310
08/01/2013,3.5,3.69,3.5,3.67,4216410
09/01/2013,3.78,3.84,3.65,3.67,5797920
10/01/2013,3.67,3.8,3.63,3.8,2255250
11/01/2013,3.9,3.9,3.78,3.84,3875980
14/01/2013,3.78,3.88,3.74,3.8,2817430
15/01/2013,3.82,3.97,3.78,3.9,3048860
16/01/2013,3.97,4.03,3.9,3.95,2094470
17/01/2013,3.93,3.95,3.84,3.84,2908600
18/01/2013,3.82,3.84,3.74,3.76,2452790
21/01/2013,3.86,3.88,3.76,3.78,1661850
22/01/2013,3.78,3.82,3.61,3.65,2162460
23/01/2013,3.65,3.71,3.61,3.67,1425160
24/01/2013,3.69,3.78,3.67,3.78,1263620
25/01/2013,3.82,3.95,3.8,3.9,3449360
28/01/2013,3.95,4.12,3.93,4.01,4754420
29/01/2013,4.01,4.1,3.97,4.03,2148400
30/01/2013,4.05,4.1,3.99,4.03,2005370
31/01/2013,3.99,4.01,3.95,3.95,2437540
01/02/2013,3.93,3.95,3.88,3.93,1581680
04/02/2013,3.99,3.99,3.93,3.95,1165800
05/02/2013,3.93,3.97,3.9,3.95,1003820
06/02/2013,3.99,4.14,3.97,4.07,1261810
07/02/2013,4.12,4.14,4.07,4.12,1313760
08/02/2013,4.12,4.16,4.07,4.12,1281420
18/02/2013,4.16,4.24,4.12,4.16,1941090
19/02/2013,4.16,4.18,4.07,4.1,2381710
20/02/2013,4.1,4.14,4.03,4.1,2172780
21/02/2013,4.12,4.14,3.82,3.82,2882510
22/02/2013,3.95,3.99,3.78,3.88,3612190
25/02/2013,3.88,3.93,3.86,3.88,831410
26/02/2013,3.86,3.88,3.65,3.67,2574750
27/02/2013,3.71,3.78,3.63,3.78,1856640
28/02/2013,3.82,3.9,3.78,3.84,1367940
01/03/2013,3.84,3.88,3.82,3.84,1109840
04/03/2013,3.84,3.84,3.65,3.67,1866190
05/03/2013,3.65,3.71,3.59,3.65,1773310
06/03/2013,3.74,3.74,3.67,3.71,549630
07/03/2013,3.71,3.76,3.65,3.69,792750
08/03/2013,3.69,3.76,3.69,3.74,680480
11/03/2013,3.78,3.86,3.74,3.86,1006000
12/03/2013,3.86,3.88,3.74,3.82,1455420
13/03/2013,3.84,3.84,3.78,3.78,1096700
14/03/2013,3.78,3.82,3.76,3.78,365220
15/03/2013,3.78,3.84,3.78,3.82,737050
18/03/2013,3.82,3.84,3.78,3.78,791230
19/03/2013,3.76,3.8,3.74,3.8,564980
20/03/2013,3.8,3.86,3.78,3.8,798610
21/03/2013,3.82,3.88,3.82,3.84,1474410
22/03/2013,3.86,3.86,3.74,3.78,892970
25/03/2013,3.8,3.82,3.76,3.8,377340
26/03/2013,3.82,3.84,3.78,3.78,852060
27/03/2013,3.78,3.78,3.71,3.71,932910
28/03/2013,3.71,3.78,3.69,3.69,882660
29/03/2013,3.65,3.71,3.61,3.71,1242810
01/04/2013,3.67,3.82,3.67,3.82,1235400
02/04/2013,3.82,3.93,3.82,3.82,2162610
03/04/2013,3.82,3.86,3.78,3.8,1191170
04/04/2013,3.8,3.82,3.76,3.76,1122120
05/04/2013,3.8,3.8,3.74,3.8,867680
08/04/2013,3.82,3.99,3.82,3.93,3156030
09/04/2013,3.93,4.05,3.9,4.03,3700250
10/04/2013,4.03,4.07,3.93,3.93,1776470
11/04/2013,3.95,3.95,3.84,3.88,2215430
12/04/2013,3.9,3.9,3.76,3.78,1448730
15/04/2013,3.78,3.78,3.67,3.69,1816500
16/04/2013,3.65,3.74,3.61,3.69,1264560
17/04/2013,3.71,3.74,3.67,3.71,467920
18/04/2013,3.69,3.71,3.65,3.65,874900
22/04/2013,3.65,3.67,3.57,3.59,954610
23/04/2013,3.63,3.67,3.61,3.63,555610
24/04/2013,3.65,3.67,3.61,3.65,337110
25/04/2013,3.63,3.67,3.63,3.65,399440
26/04/2013,3.63,3.65,3.61,3.63,337370
02/05/2013,3.63,3.65,3.61,3.61,259320
03/05/2013,3.59,3.63,3.59,3.63,384620
06/05/2013,3.67,3.8,3.67,3.8,1103210
07/05/2013,3.78,3.8,3.71,3.71,669740
08/05/2013,3.71,3.76,3.67,3.67,475260
09/05/2013,3.69,3.74,3.67,3.71,536390
10/05/2013,3.71,3.71,3.67,3.69,475160
13/05/2013,3.69,3.76,3.69,3.71,274380
14/05/2013,3.69,3.71,3.63,3.67,686960
15/05/2013,3.65,3.69,3.63,3.69,460920
16/05/2013,3.69,3.74,3.67,3.69,739630
17/05/2013,3.69,3.69,3.65,3.67,265830
20/05/2013,3.69,3.71,3.67,3.69,455390
21/05/2013,3.74,3.86,3.74,3.8,2691250
22/05/2013,3.86,3.86,3.76,3.8,910570
23/05/2013,3.76,3.82,3.74,3.76,1229010
24/05/2013,3.78,3.82,3.74,3.8,1301620
27/05/2013,3.86,3.97,3.84,3.9,3049780
28/05/2013,3.9,3.99,3.9,3.99,3212970
29/05/2013,4.05,4.14,4.01,4.03,5041000
30/05/2013,4.03,4.07,3.99,4.07,1617760
31/05/2013,4.14,4.18,4.03,4.03,3062750
03/06/2013,4.03,4.05,3.95,3.95,2416450
04/06/2013,3.95,4.01,3.88,3.88,2340850
05/06/2013,3.88,3.97,3.86,3.95,1436480
06/06/2013,3.93,4.01,3.9,3.97,1170160
07/06/2013,4.01,4.07,3.99,4.05,2656280
10/06/2013,4.1,4.12,4.01,4.01,1484290
11/06/2013,4.01,4.03,3.95,3.95,1592310
12/06/2013,3.95,3.99,3.93,3.95,905120
13/06/2013,3.95,3.97,3.88,3.93,1506120
14/06/2013,3.97,3.97,3.9,3.9,868920
17/06/2013,3.9,3.93,3.82,3.82,1674550
18/06/2013,3.82,3.86,3.78,3.86,854830
19/06/2013,3.82,3.88,3.82,3.84,487010
20/06/2013,3.84,3.84,3.8,3.8,633930
21/06/2013,3.78,3.8,3.76,3.78,776170
24/06/2013,3.82,3.84,3.76,3.78,1039300
25/06/2013,3.78,3.8,3.63,3.69,1880550
26/06/2013,3.69,3.74,3.67,3.67,1031050
27/06/2013,3.69,3.76,3.67,3.76,1316650
28/06/2013,3.78,3.78,3.74,3.74,755260
01/07/2013,3.71,3.74,3.69,3.74,382560
02/07/2013,3.74,3.78,3.74,3.76,607060
03/07/2013,3.78,3.78,3.74,3.74,357160
04/07/2013,3.76,3.76,3.74,3.74,445430
05/07/2013,3.76,3.78,3.71,3.74,415630
08/07/2013,3.74,3.76,3.69,3.69,545310
09/07/2013,3.71,3.71,3.67,3.67,745300
10/07/2013,3.69,3.74,3.69,3.69,520130
11/07/2013,3.76,3.78,3.74,3.78,1139860
12/07/2013,3.78,3.86,3.78,3.84,1485870
15/07/2013,3.84,3.86,3.82,3.84,991980
16/07/2013,3.84,3.86,3.82,3.84,535670
17/07/2013,3.84,3.88,3.82,3.86,924790
18/07/2013,3.84,3.88,3.84,3.84,855500
19/07/2013,3.84,3.88,3.82,3.86,606360
22/07/2013,3.84,3.84,3.78,3.8,1556660
23/07/2013,3.87,3.87,3.82,3.84,2251750
24/07/2013,3.84,3.84,3.78,3.78,927780
25/07/2013,3.8,3.82,3.73,3.73,712010
26/07/2013,3.78,3.78,3.69,3.71,1185300
29/07/2013,3.73,3.73,3.66,3.66,537490
30/07/2013,3.66,3.71,3.66,3.69,404810
31/07/2013,3.71,3.73,3.69,3.71,231230
01/08/2013,3.69,3.75,3.69,3.75,641610
02/08/2013,3.75,3.75,3.71,3.73,434630
05/08/2013,3.73,3.75,3.69,3.71,441320
06/08/2013,3.71,3.73,3.69,3.71,416980
07/08/2013,3.71,3.75,3.69,3.73,681590
08/08/2013,3.73,3.75,3.69,3.71,320970
09/08/2013,3.71,3.73,3.69,3.69,258000
12/08/2013,3.71,3.71,3.66,3.66,235570
13/08/2013,3.66,3.69,3.64,3.64,319150
14/08/2013,3.64,3.71,3.62,3.69,798440
15/08/2013,3.71,3.75,3.66,3.73,893580
16/08/2013,3.75,3.75,3.69,3.73,465300
19/08/2013,3.78,3.89,3.78,3.87,3530770
20/08/2013,3.87,3.91,3.82,3.84,1038490
21/08/2013,3.82,3.84,3.78,3.8,737260
22/08/2013,3.78,3.82,3.71,3.73,1055050
23/08/2013,3.75,3.75,3.69,3.71,928980
26/08/2013,3.71,3.73,3.69,3.73,676890
27/08/2013,3.73,3.75,3.69,3.71,470070
28/08/2013,3.69,3.71,3.62,3.66,1759780
29/08/2013,3.69,3.69,3.64,3.64,551060
30/08/2013,3.64,3.66,3.62,3.66,388640
03/09/2013,3.66,3.69,3.62,3.62,238810
04/09/2013,3.64,3.64,3.53,3.55,1139400
05/09/2013,3.57,3.6,3.53,3.57,562180
06/09/2013,3.62,3.64,3.57,3.64,546310
09/09/2013,3.64,3.64,3.53,3.55,727670
10/09/2013,3.57,3.57,3.53,3.57,636710
11/09/2013,3.6,3.62,3.55,3.57,347440
12/09/2013,3.57,3.6,3.55,3.57,137750
13/09/2013,3.55,3.6,3.55,3.57,284880
16/09/2013,3.6,3.6,3.55,3.57,377000
17/09/2013,3.57,3.57,3.53,3.55,241400
18/09/2013,3.57,3.57,3.53,3.53,703430
19/09/2013,3.57,3.57,3.55,3.55,251900
20/09/2013,3.55,3.57,3.53,3.55,260860
23/09/2013,3.57,3.62,3.53,3.62,740760
24/09/2013,3.62,3.66,3.62,3.64,756430
25/09/2013,3.64,3.69,3.62,3.66,1483080
26/09/2013,3.66,3.69,3.62,3.64,458120
27/09/2013,3.66,3.66,3.6,3.64,622430
30/09/2013,3.64,3.75,3.64,3.73,1773960
01/10/2013,3.75,3.82,3.71,3.73,2640870
02/10/2013,3.75,3.78,3.73,3.75,919060
03/10/2013,3.73,3.75,3.69,3.73,1343620
04/10/2013,3.69,3.71,3.66,3.69,825860
07/10/2013,3.69,3.78,3.69,3.75,1087930
08/10/2013,3.75,3.87,3.73,3.82,4264360
09/10/2013,3.82,3.82,3.78,3.78,629640
10/10/2013,3.78,3.82,3.73,3.75,622390
11/10/2013,3.78,3.78,3.73,3.73,908780
14/10/2013,3.75,3.75,3.71,3.71,373220
15/10/2013,3.71,3.75,3.71,3.73,546370
16/10/2013,3.75,3.8,3.73,3.78,801890
17/10/2013,3.8,3.82,3.75,3.78,939020
18/10/2013,3.78,3.8,3.75,3.8,399050
21/10/2013,3.84,3.87,3.8,3.82,1783090
22/10/2013,3.8,3.82,3.75,3.78,890760
23/10/2013,3.78,3.8,3.75,3.78,960440
24/10/2013,3.78,3.8,3.73,3.73,663070
25/10/2013,3.73,3.75,3.71,3.71,782650
28/10/2013,3.73,3.75,3.71,3.71,603210
29/10/2013,3.71,3.73,3.69,3.73,459240
30/10/2013,3.73,3.75,3.71,3.71,221910
31/10/2013,3.71,3.73,3.71,3.71,162050
01/11/2013,3.71,3.73,3.69,3.71,387960
04/11/2013,3.71,3.73,3.69,3.73,752530
05/11/2013,3.73,3.78,3.71,3.78,858520
06/11/2013,3.78,3.8,3.75,3.8,1058590
07/11/2013,3.8,3.82,3.78,3.78,1613460
08/11/2013,3.78,3.8,3.78,3.8,444680
11/11/2013,3.8,3.82,3.78,3.82,944360
12/11/2013,3.84,3.84,3.78,3.78,1173960
13/11/2013,3.75,3.8,3.73,3.75,363090
14/11/2013,3.78,3.78,3.73,3.75,453720
15/11/2013,3.75,3.89,3.75,3.87,3758080
18/11/2013,3.89,4.0,3.87,3.96,2966440
19/11/2013,3.96,3.98,3.93,3.93,984920
20/11/2013,3.91,3.93,3.89,3.93,1604000
21/11/2013,3.98,4.02,3.89,3.89,2570790
22/11/2013,3.91,3.93,3.89,3.91,1388420
25/11/2013,3.98,4.02,3.96,3.96,3750980
26/11/2013,3.96,4.02,3.93,4.0,1315420
27/11/2013,4.02,4.05,3.96,3.98,1847350
28/11/2013,3.98,4.0,3.93,3.96,982470
29/11/2013,3.96,3.98,3.91,3.91,1107280
02/12/2013,3.93,3.96,3.89,3.89,1409600
03/12/2013,3.91,4.07,3.91,4.0,3483640
04/12/2013,4.02,4.05,4.0,4.02,2055690
05/12/2013,4.02,4.11,4.0,4.07,3684400
06/12/2013,4.07,4.09,4.02,4.07,1384450
09/12/2013,4.07,4.09,4.0,4.0,1348690
10/12/2013,4.02,4.02,3.96,3.96,1834760
11/12/2013,3.96,3.98,3.91,3.91,2310420
12/12/2013,3.91,4.0,3.89,3.98,1333970
13/12/2013,3.98,4.02,3.96,3.98,737320
16/12/2013,3.96,3.98,3.93,3.96,711400
17/12/2013,3.96,3.98,3.96,3.98,747030
18/12/2013,3.98,3.98,3.93,3.96,679370
19/12/2013,3.98,4.05,3.98,4.0,1574080
20/12/2013,4.02,4.02,3.98,3.98,736000
23/12/2013,4.0,4.02,3.98,4.02,862540
24/12/2013,4.02,4.02,3.96,3.96,647290
25/12/2013,3.96,3.98,3.96,3.96,494150
26/12/2013,3.98,4.02,3.96,3.98,900450
27/12/2013,3.98,4.02,3.96,3.98,688120
30/12/2013,3.96,3.96,3.89,3.89,1253260
