time,open,high,low,close,volume
14/10/2014,7.26,7.28,7.03,7.03,3172940
15/10/2014,7.01,7.05,6.91,7.03,3317490
16/10/2014,6.98,6.98,6.66,6.66,7376690
17/10/2014,6.68,6.8,6.56,6.77,5430380
20/10/2014,6.8,6.84,6.66,6.66,2099680
21/10/2014,6.66,6.77,6.63,6.73,3382850
22/10/2014,6.75,6.98,6.75,6.98,5737820
23/10/2014,6.89,7.08,6.87,6.91,5537890
24/10/2014,6.94,6.98,6.82,6.89,3214970
27/10/2014,6.82,6.91,6.68,6.68,3958990
28/10/2014,6.77,6.89,6.75,6.89,6928870
29/10/2014,7.01,7.31,6.96,7.17,8554190
30/10/2014,7.17,7.22,7.1,7.1,3722880
31/10/2014,7.1,7.28,7.05,7.24,7064650
03/11/2014,7.31,7.33,7.19,7.22,4003760
04/11/2014,7.19,7.26,7.17,7.17,5652870
05/11/2014,7.17,7.22,6.98,7.12,6963600
06/11/2014,7.17,7.17,7.05,7.08,2775400
07/11/2014,7.1,7.19,7.08,7.17,3739490
10/11/2014,7.22,7.24,7.17,7.19,4127860
11/11/2014,7.19,7.24,7.15,7.15,4141320
12/11/2014,7.12,7.19,7.12,7.15,2370020
13/11/2014,7.22,7.26,7.15,7.17,3818810
14/11/2014,7.15,7.17,7.05,7.12,5018230
17/11/2014,7.1,7.19,7.1,7.15,2784390
18/11/2014,7.12,7.17,7.05,7.05,2736010
19/11/2014,7.08,7.1,6.96,7.01,5296820
20/11/2014,7.03,7.08,6.98,7.08,2592850
21/11/2014,7.1,7.1,6.94,6.94,4554600
24/11/2014,6.87,6.94,6.8,6.84,3835840
25/11/2014,6.87,6.96,6.84,6.89,2165400
26/11/2014,6.94,7.1,6.89,6.94,9059490
27/11/2014,6.91,7.05,6.87,7.05,3036110
28/11/2014,7.05,7.1,7.01,7.03,2300340
01/12/2014,7.03,7.08,6.98,6.98,1998060
02/12/2014,7.03,7.12,7.01,7.05,4416020
03/12/2014,7.1,7.17,7.1,7.17,3002960
04/12/2014,7.17,7.22,7.1,7.1,1881760
05/12/2014,7.1,7.15,7.08,7.12,2078440
08/12/2014,7.17,7.17,7.01,7.01,2450720
09/12/2014,6.96,6.98,6.66,6.75,5988640
10/12/2014,6.77,6.94,6.73,6.94,4051800
11/12/2014,6.87,6.91,6.82,6.82,1612060
12/12/2014,6.82,6.91,6.82,6.89,1615700
15/12/2014,6.91,6.98,6.91,6.94,2431570
16/12/2014,6.89,6.94,6.75,6.8,3576680
17/12/2014,6.8,6.87,6.33,6.49,9076910
18/12/2014,6.54,6.66,6.49,6.63,2914140
19/12/2014,6.66,6.84,6.31,6.31,20898000
22/12/2014,6.47,6.49,6.4,6.42,3503200
23/12/2014,6.4,6.45,6.28,6.28,3057610
24/12/2014,6.35,6.38,6.26,6.26,1678700
25/12/2014,6.28,6.33,6.14,6.14,2427200
26/12/2014,6.14,6.14,5.96,6.0,4141460
29/12/2014,6.0,6.14,5.87,5.89,2631000
30/12/2014,5.89,6.21,5.77,6.21,3256150
31/12/2014,6.24,6.45,6.19,6.4,4091880
05/01/2015,6.38,6.42,6.31,6.31,1636640
06/01/2015,6.19,6.33,6.14,6.31,2031640
07/01/2015,6.33,6.38,6.26,6.28,1659050
08/01/2015,6.31,6.33,6.26,6.28,1365600
09/01/2015,6.28,6.38,6.28,6.35,2251920
12/01/2015,6.35,6.4,6.26,6.28,1812820
13/01/2015,6.24,6.33,6.24,6.28,1183110
14/01/2015,6.28,6.42,6.17,6.35,2599080
15/01/2015,6.38,6.42,6.35,6.4,2098530
16/01/2015,6.47,6.52,6.38,6.4,2549490
19/01/2015,6.4,6.4,6.31,6.31,1140290
20/01/2015,6.28,6.33,6.26,6.26,1017940
21/01/2015,6.31,6.35,6.24,6.26,1645360
22/01/2015,6.31,6.35,6.21,6.31,1321470
23/01/2015,6.35,6.47,6.31,6.4,2700260
26/01/2015,6.42,6.45,6.35,6.35,1413710
27/01/2015,6.33,6.38,6.24,6.26,2347460
28/01/2015,6.26,6.28,6.19,6.24,1363000
29/01/2015,6.24,6.26,6.19,6.26,1238270
30/01/2015,6.26,6.26,6.1,6.12,2606200
02/02/2015,6.1,6.17,6.0,6.0,2074990
03/02/2015,6.0,6.05,5.94,5.94,1267900
04/02/2015,6.0,6.0,5.89,5.91,1658490
05/02/2015,5.94,5.98,5.91,5.94,797240
06/02/2015,5.91,6.03,5.91,6.03,588670
09/02/2015,6.05,6.05,5.96,5.96,592540
10/02/2015,5.98,6.03,5.94,5.98,1186050
11/02/2015,5.98,6.21,5.98,6.19,1938290
12/02/2015,6.24,6.28,6.19,6.28,1766860
13/02/2015,6.28,6.33,6.24,6.31,1589890
24/02/2015,6.28,6.45,6.28,6.4,1939300
25/02/2015,6.45,6.45,6.31,6.31,2134530
26/02/2015,6.31,6.38,6.31,6.33,1092220
27/02/2015,6.35,6.4,6.31,6.35,1084500
02/03/2015,6.35,6.38,6.33,6.35,719070
03/03/2015,6.35,6.4,6.33,6.38,1507630
04/03/2015,6.42,6.45,6.4,6.45,2432850
05/03/2015,6.47,6.47,6.35,6.35,2324850
06/03/2015,6.51,6.59,6.48,6.48,3302290
09/03/2015,6.51,6.51,6.31,6.34,1103230
10/03/2015,6.34,6.37,6.28,6.34,1104790
11/03/2015,6.34,6.34,6.26,6.26,1280070
12/03/2015,6.26,6.28,6.17,6.26,1332560
13/03/2015,6.28,6.31,6.23,6.23,854900
16/03/2015,6.23,6.26,6.14,6.14,1281810
17/03/2015,6.14,6.23,6.14,6.2,927590
18/03/2015,6.2,6.2,6.12,6.12,751720
19/03/2015,6.12,6.17,5.98,6.03,1852320
20/03/2015,6.03,6.2,6.01,6.2,2994620
23/03/2015,6.2,6.2,6.03,6.03,1294430
24/03/2015,6.01,6.01,5.89,5.95,2563650
25/03/2015,5.98,6.01,5.87,5.87,1506060
26/03/2015,5.81,5.89,5.75,5.78,2051060
27/03/2015,5.81,5.89,5.7,5.7,1652550
30/03/2015,5.7,5.75,5.59,5.59,1491950
31/03/2015,5.59,5.75,5.59,5.64,1602490
01/04/2015,5.67,5.7,5.5,5.5,2135020
02/04/2015,5.5,5.64,5.45,5.61,1390940
03/04/2015,5.61,5.67,5.59,5.64,638630
06/04/2015,5.64,5.64,5.53,5.59,1044560
07/04/2015,5.59,5.67,5.53,5.67,1160350
08/04/2015,5.7,5.73,5.61,5.61,584240
09/04/2015,5.61,5.7,5.59,5.64,1035780
10/04/2015,5.7,5.84,5.67,5.75,2074760
13/04/2015,5.78,5.84,5.75,5.75,848690
14/04/2015,5.75,5.78,5.67,5.67,1041760
15/04/2015,5.67,5.75,5.64,5.73,1108240
16/04/2015,5.78,5.95,5.73,5.92,2938780
17/04/2015,5.95,6.03,5.95,5.98,3173900
20/04/2015,5.95,5.98,5.84,5.87,894060
21/04/2015,5.84,5.92,5.81,5.81,1029550
22/04/2015,5.81,5.84,5.78,5.78,1114650
23/04/2015,5.78,5.84,5.75,5.84,849490
