time,open,high,low,close,volume
20/06/2012,7.0,7.1,6.93,7.05,143200
21/06/2012,7.17,7.17,7.05,7.07,564070
22/06/2012,7.1,7.1,7.0,7.0,421500
25/06/2012,6.96,7.07,6.91,6.96,350220
26/06/2012,6.96,6.96,6.81,6.81,501020
27/06/2012,6.91,6.91,6.81,6.81,250800
28/06/2012,6.91,6.93,6.81,6.91,558770
29/06/2012,7.07,7.07,6.93,6.98,713320
02/07/2012,6.91,7.07,6.88,6.93,428830
03/07/2012,6.86,6.91,6.65,6.65,516120
04/07/2012,6.67,6.74,6.62,6.65,207820
05/07/2012,6.72,6.77,6.62,6.77,260550
06/07/2012,6.74,6.81,6.67,6.74,147130
09/07/2012,6.67,6.74,6.62,6.62,241370
10/07/2012,6.62,6.7,6.58,6.58,419510
11/07/2012,6.62,6.62,6.58,6.62,130200
12/07/2012,6.7,6.7,6.62,6.62,194680
13/07/2012,6.62,6.84,6.62,6.77,518760
16/07/2012,6.81,6.84,6.7,6.7,124200
17/07/2012,6.65,6.86,6.65,6.7,307000
18/07/2012,6.7,6.79,6.7,6.72,336700
19/07/2012,6.72,6.96,6.7,6.96,542920
20/07/2012,7.03,7.03,6.79,6.79,593290
23/07/2012,6.7,6.81,6.67,6.79,286360
24/07/2012,6.67,6.79,6.67,6.67,122260
25/07/2012,6.7,6.72,6.65,6.67,167730
26/07/2012,6.67,6.74,6.65,6.67,167980
27/07/2012,6.74,6.74,6.62,6.67,150500
30/07/2012,6.53,6.67,6.53,6.6,126270
31/07/2012,6.74,6.74,6.6,6.6,377730
01/08/2012,6.55,6.58,6.48,6.51,287220
02/08/2012,6.51,6.6,6.48,6.51,116090
03/08/2012,6.51,6.55,6.48,6.51,144950
06/08/2012,6.48,6.62,6.48,6.53,216410
07/08/2012,6.53,6.62,6.53,6.58,215390
08/08/2012,6.58,6.62,6.58,6.6,171670
09/08/2012,6.6,6.67,6.6,6.67,301100
10/08/2012,6.62,6.65,6.58,6.58,161440
13/08/2012,6.58,6.62,6.55,6.55,106630
14/08/2012,6.62,6.72,6.6,6.65,421060
15/08/2012,6.6,6.7,6.58,6.6,289330
16/08/2012,6.65,6.65,6.58,6.58,126480
17/08/2012,6.62,6.65,6.6,6.62,180360
20/08/2012,6.6,6.79,6.6,6.72,309140
21/08/2012,6.62,6.62,6.39,6.39,957750
22/08/2012,6.17,6.36,6.1,6.25,1156560
23/08/2012,6.03,6.06,5.94,5.94,658510
24/08/2012,5.65,6.22,5.65,6.17,1187880
27/08/2012,5.94,5.96,5.87,5.87,540580
28/08/2012,5.91,6.03,5.75,5.91,295550
29/08/2012,5.84,6.1,5.84,6.03,527300
30/08/2012,6.06,6.08,6.01,6.06,358540
31/08/2012,6.08,6.08,5.87,5.87,511390
04/09/2012,5.87,6.06,5.87,5.96,318900
05/09/2012,5.96,6.03,5.89,5.96,282630
06/09/2012,5.96,5.96,5.91,5.96,236550
07/09/2012,5.99,6.01,5.94,6.01,500270
10/09/2012,5.91,5.94,5.73,5.73,828840
11/09/2012,5.68,5.84,5.65,5.68,353590
12/09/2012,5.68,5.8,5.68,5.73,147150
13/09/2012,5.73,5.91,5.68,5.91,315970
14/09/2012,6.03,6.2,5.96,6.17,1052920
17/09/2012,6.17,6.48,6.1,6.41,1311050
18/09/2012,6.39,6.39,6.1,6.1,602330
19/09/2012,6.03,6.13,5.89,6.06,741190
20/09/2012,6.01,6.01,5.77,5.87,598550
21/09/2012,5.91,6.03,5.87,6.03,1275070
24/09/2012,5.99,6.01,5.87,5.87,150850
25/09/2012,5.91,5.99,5.87,5.89,314450
26/09/2012,5.87,5.96,5.87,5.94,369840
27/09/2012,6.08,6.08,5.91,5.94,473460
28/09/2012,5.91,5.94,5.82,5.82,346220
01/10/2012,5.82,5.84,5.65,5.65,266790
02/10/2012,5.65,5.7,5.63,5.63,234110
03/10/2012,5.65,5.73,5.65,5.68,397080
04/10/2012,5.68,5.75,5.68,5.7,216780
05/10/2012,5.7,5.84,5.7,5.8,170620
08/10/2012,5.8,5.89,5.8,5.89,103200
09/10/2012,5.89,5.89,5.84,5.87,262470
10/10/2012,5.87,5.87,5.77,5.84,168270
11/10/2012,5.87,5.91,5.82,5.84,302120
12/10/2012,5.84,5.84,5.75,5.77,301430
15/10/2012,5.75,5.77,5.65,5.68,201160
16/10/2012,5.68,5.82,5.68,5.77,608540
17/10/2012,5.77,5.8,5.68,5.68,289210
18/10/2012,5.68,5.73,5.65,5.7,273130
19/10/2012,5.68,5.73,5.56,5.65,317820
22/10/2012,5.7,5.7,5.63,5.7,141010
23/10/2012,5.75,5.77,5.7,5.7,170850
24/10/2012,5.65,5.73,5.65,5.7,92680
25/10/2012,5.7,5.7,5.63,5.65,177170
26/10/2012,5.7,5.7,5.63,5.65,38580
29/10/2012,5.61,5.65,5.58,5.63,140920
30/10/2012,5.63,5.63,5.58,5.58,193650
31/10/2012,5.51,5.58,5.49,5.51,204080
01/11/2012,5.46,5.51,5.44,5.46,196810
02/11/2012,5.32,5.35,5.2,5.2,476600
05/11/2012,5.11,5.3,5.06,5.06,222800
06/11/2012,5.04,5.11,4.97,4.97,293160
07/11/2012,4.97,5.2,4.97,5.2,224990
08/11/2012,5.23,5.46,5.23,5.46,679950
09/11/2012,5.46,5.56,5.44,5.56,384490
12/11/2012,5.49,5.56,5.46,5.54,109060
13/11/2012,5.56,5.61,5.42,5.44,191400
14/11/2012,5.44,5.65,5.44,5.58,361620
15/11/2012,5.73,5.73,5.65,5.73,612860
16/11/2012,5.75,5.75,5.63,5.63,113140
19/11/2012,5.63,5.65,5.56,5.56,187250
20/11/2012,5.56,5.58,5.51,5.54,54040
21/11/2012,5.49,5.54,5.46,5.54,89300
22/11/2012,5.58,5.58,5.51,5.51,112160
23/11/2012,5.51,5.56,5.46,5.46,36490
26/11/2012,5.44,5.46,5.39,5.39,54310
27/11/2012,5.44,5.44,5.39,5.39,45380
28/11/2012,5.37,5.42,5.37,5.42,28060
29/11/2012,5.58,5.58,5.46,5.54,279940
30/11/2012,5.68,5.68,5.51,5.51,422030
03/12/2012,5.49,5.61,5.49,5.51,146900
04/12/2012,5.56,5.68,5.56,5.65,296390
05/12/2012,5.7,5.91,5.68,5.87,616260
06/12/2012,5.89,6.01,5.87,5.96,447180
07/12/2012,5.99,5.99,5.84,5.84,163330
10/12/2012,5.82,5.89,5.8,5.84,91080
11/12/2012,5.77,5.96,5.77,5.96,372770
12/12/2012,5.91,6.06,5.91,6.01,424460
13/12/2012,6.03,6.03,5.94,6.01,214710
14/12/2012,6.01,6.13,5.91,5.91,307590
17/12/2012,5.96,6.2,5.96,6.2,811260
18/12/2012,6.39,6.41,6.34,6.34,681340
19/12/2012,6.27,6.34,6.27,6.29,515770
20/12/2012,6.32,6.32,6.2,6.25,558040
21/12/2012,6.15,6.2,6.1,6.15,1077970
24/12/2012,6.15,6.2,6.06,6.17,162430
25/12/2012,6.25,6.34,6.22,6.29,499120
26/12/2012,6.17,6.32,6.17,6.32,117050
27/12/2012,6.43,6.43,6.32,6.41,680880
28/12/2012,6.32,6.46,6.32,6.43,480040
02/01/2013,6.43,6.58,6.43,6.58,168190
03/01/2013,6.6,6.74,6.39,6.74,500650
04/01/2013,6.62,6.98,6.58,6.91,501540
07/01/2013,6.62,7.1,6.62,7.1,1312740
08/01/2013,7.24,7.45,7.12,7.45,1035220
09/01/2013,7.12,7.5,7.1,7.5,1583320
10/01/2013,7.52,7.69,7.26,7.69,645400
11/01/2013,7.78,7.78,7.57,7.59,432980
14/01/2013,7.45,7.55,7.29,7.55,384930
15/01/2013,7.43,7.57,7.38,7.57,509000
16/01/2013,7.45,7.78,7.45,7.59,449000
17/01/2013,7.69,7.69,7.45,7.45,358750
18/01/2013,7.57,7.57,7.43,7.48,299790
21/01/2013,7.29,7.5,7.29,7.36,269410
22/01/2013,7.38,7.38,7.24,7.24,184710
23/01/2013,7.05,7.24,7.03,7.19,530180
24/01/2013,7.22,7.33,7.19,7.33,211230
25/01/2013,7.33,7.69,7.33,7.69,426490
28/01/2013,7.69,7.81,7.67,7.76,453400
29/01/2013,7.78,8.04,7.74,8.04,915570
30/01/2013,8.04,8.14,7.95,8.11,767730
31/01/2013,7.93,8.04,7.93,8.04,321460
01/02/2013,8.0,8.11,7.76,8.11,433080
04/02/2013,8.11,8.11,7.95,7.97,214910
05/02/2013,7.97,7.97,7.85,7.97,288720
06/02/2013,7.97,8.16,7.97,8.16,983270
07/02/2013,8.16,8.21,8.11,8.16,121570
08/02/2013,8.21,8.21,8.14,8.16,232830
18/02/2013,8.16,8.16,8.11,8.11,228560
19/02/2013,8.09,8.11,7.97,8.02,529020
20/02/2013,7.74,8.07,7.74,8.07,394040
21/02/2013,8.09,8.09,7.57,7.57,375710
22/02/2013,7.57,7.85,7.45,7.74,518270
25/02/2013,7.69,7.93,7.69,7.93,178380
26/02/2013,8.22,8.22,7.58,7.58,240960
27/02/2013,7.58,7.68,7.51,7.58,259470
28/02/2013,7.73,8.05,7.66,7.93,327730
01/03/2013,7.93,7.97,7.88,7.95,269070
04/03/2013,7.95,8.02,7.85,7.88,371070
05/03/2013,8.0,8.0,7.75,7.75,215070
06/03/2013,7.75,7.9,7.75,7.9,157520
07/03/2013,7.9,7.9,7.83,7.9,266560
08/03/2013,7.93,7.95,7.88,7.93,274220
11/03/2013,7.85,7.9,7.75,7.9,260040
12/03/2013,7.83,7.93,7.83,7.93,158530
13/03/2013,7.95,7.97,7.9,7.97,254430
14/03/2013,7.97,8.0,7.85,7.85,371790
15/03/2013,7.83,8.07,7.83,8.07,671530
18/03/2013,8.07,8.07,7.93,8.0,94990
19/03/2013,8.0,8.0,7.88,7.88,138660
20/03/2013,7.88,7.95,7.85,7.93,116040
21/03/2013,7.97,7.97,7.88,7.9,200370
22/03/2013,7.85,7.9,7.78,7.8,62100
25/03/2013,7.8,7.93,7.8,7.85,205300
26/03/2013,7.85,7.88,7.8,7.8,50010
27/03/2013,7.75,7.93,7.7,7.93,159520
28/03/2013,7.95,7.95,7.8,7.85,132670
29/03/2013,7.85,7.88,7.61,7.85,129060
01/04/2013,7.73,7.85,7.73,7.85,152250
02/04/2013,7.85,7.93,7.83,7.9,679970
03/04/2013,7.95,7.95,7.8,7.85,339260
04/04/2013,7.75,7.85,7.75,7.78,203140
05/04/2013,7.85,7.85,7.58,7.63,294150
08/04/2013,7.63,7.73,7.63,7.73,162030
09/04/2013,7.66,7.73,7.63,7.66,120270
10/04/2013,7.66,7.7,7.14,7.14,502130
11/04/2013,7.16,7.36,7.12,7.24,566150
12/04/2013,7.21,7.24,6.99,7.04,354980
15/04/2013,6.99,7.02,6.62,6.7,329800
16/04/2013,6.6,6.94,6.43,6.87,589680
17/04/2013,6.7,6.94,6.7,6.92,367680
18/04/2013,6.77,6.82,6.7,6.7,484490
22/04/2013,6.67,6.7,6.55,6.55,426580
23/04/2013,6.55,6.7,6.55,6.62,363270
24/04/2013,6.62,6.7,6.53,6.53,314110
25/04/2013,6.62,6.72,6.62,6.72,136300
26/04/2013,6.82,6.85,6.72,6.72,236810
02/05/2013,6.75,6.75,6.67,6.67,37320
03/05/2013,6.62,6.67,6.62,6.67,116280
06/05/2013,6.75,6.89,6.7,6.87,320990
07/05/2013,6.89,6.94,6.82,6.85,299510
08/05/2013,6.85,6.89,6.82,6.89,119680
09/05/2013,6.89,6.89,6.8,6.82,167260
10/05/2013,6.82,6.89,6.72,6.75,195930
13/05/2013,6.7,6.82,6.7,6.82,92860
14/05/2013,6.77,6.8,6.67,6.67,199140
15/05/2013,6.72,6.87,6.7,6.85,242740
16/05/2013,6.87,7.24,6.85,7.21,942020
17/05/2013,7.12,7.16,7.02,7.02,189370
20/05/2013,7.02,7.26,7.02,7.21,398580
21/05/2013,7.24,7.41,7.21,7.24,287420
22/05/2013,7.36,7.36,7.24,7.24,361120
23/05/2013,7.24,7.24,6.99,7.02,514520
24/05/2013,7.12,7.14,6.94,6.99,522000
27/05/2013,7.12,7.34,7.12,7.24,804540
28/05/2013,7.31,7.31,7.24,7.29,727480
29/05/2013,7.34,7.34,7.26,7.26,628100
30/05/2013,7.29,7.53,7.26,7.53,1205890
31/05/2013,7.61,7.7,7.53,7.58,689950
03/06/2013,7.51,7.63,7.51,7.61,401000
04/06/2013,7.56,7.61,7.41,7.41,651470
05/06/2013,7.41,7.51,7.39,7.51,334390
06/06/2013,7.43,7.73,7.43,7.68,388650
07/06/2013,7.75,7.88,7.75,7.85,594630
10/06/2013,7.8,8.0,7.75,7.78,698650
11/06/2013,7.83,7.83,7.66,7.68,706730
12/06/2013,7.56,7.73,7.48,7.48,743040
13/06/2013,7.48,7.61,7.46,7.58,303570
14/06/2013,7.58,7.63,7.51,7.51,497930
17/06/2013,7.51,7.7,7.51,7.51,482070
18/06/2013,7.51,7.66,7.51,7.61,434260
19/06/2013,7.53,7.63,7.53,7.61,284760
20/06/2013,7.58,7.58,7.48,7.58,606070
21/06/2013,7.58,7.61,7.51,7.56,1335940
24/06/2013,7.46,7.53,7.19,7.24,856880
25/06/2013,7.19,7.19,6.75,6.8,778690
26/06/2013,6.75,6.82,6.58,6.62,1080010
27/06/2013,6.67,6.82,6.62,6.77,537660
28/06/2013,6.85,6.89,6.77,6.87,250140
01/07/2013,6.85,6.85,6.72,6.72,190510
02/07/2013,6.72,6.82,6.72,6.82,74490
03/07/2013,6.85,6.87,6.72,6.72,246800
04/07/2013,6.72,6.82,6.72,6.72,235290
05/07/2013,6.8,6.8,6.72,6.75,108700
08/07/2013,6.7,6.77,6.7,6.77,117450
09/07/2013,6.75,6.8,6.72,6.77,105910
10/07/2013,6.72,6.8,6.7,6.7,238650
11/07/2013,6.7,6.75,6.65,6.75,189980
12/07/2013,6.77,6.82,6.75,6.82,155760
15/07/2013,6.85,6.87,6.8,6.82,269500
16/07/2013,6.77,6.85,6.77,6.8,190580
17/07/2013,6.8,6.8,6.75,6.8,226070
18/07/2013,6.77,6.82,6.75,6.77,241470
19/07/2013,6.82,6.94,6.8,6.87,607350
22/07/2013,6.87,6.92,6.82,6.85,115210
23/07/2013,6.85,7.02,6.82,6.94,551970
24/07/2013,6.87,6.94,6.77,6.77,458990
25/07/2013,6.77,6.85,6.75,6.75,184080
26/07/2013,6.75,6.82,6.7,6.75,231630
29/07/2013,6.67,6.8,6.58,6.62,220170
30/07/2013,6.62,6.7,6.62,6.67,132300
31/07/2013,6.65,6.7,6.58,6.58,143940
01/08/2013,6.65,6.65,6.55,6.55,357500
02/08/2013,6.6,6.65,6.58,6.62,87330
05/08/2013,6.62,6.65,6.6,6.65,89320
06/08/2013,6.65,6.72,6.6,6.72,422260
07/08/2013,6.75,6.75,6.65,6.65,188380
