time,open,high,low,close,volume
08/10/2012,5.8,5.89,5.8,5.89,103200
09/10/2012,5.89,5.89,5.84,5.87,262470
10/10/2012,5.87,5.87,5.77,5.84,168270
11/10/2012,5.87,5.91,5.82,5.84,302120
12/10/2012,5.84,5.84,5.75,5.77,301430
15/10/2012,5.75,5.77,5.65,5.68,201160
16/10/2012,5.68,5.82,5.68,5.77,608540
17/10/2012,5.77,5.8,5.68,5.68,289210
18/10/2012,5.68,5.73,5.65,5.7,273130
19/10/2012,5.68,5.73,5.56,5.65,317820
22/10/2012,5.7,5.7,5.63,5.7,141010
23/10/2012,5.75,5.77,5.7,5.7,170850
24/10/2012,5.65,5.73,5.65,5.7,92680
25/10/2012,5.7,5.7,5.63,5.65,177170
26/10/2012,5.7,5.7,5.63,5.65,38580
29/10/2012,5.61,5.65,5.58,5.63,140920
30/10/2012,5.63,5.63,5.58,5.58,193650
31/10/2012,5.51,5.58,5.49,5.51,204080
01/11/2012,5.46,5.51,5.44,5.46,196810
02/11/2012,5.32,5.35,5.2,5.2,476600
05/11/2012,5.11,5.3,5.06,5.06,222800
06/11/2012,5.04,5.11,4.97,4.97,293160
07/11/2012,4.97,5.2,4.97,5.2,224990
08/11/2012,5.23,5.46,5.23,5.46,679950
09/11/2012,5.46,5.56,5.44,5.56,384490
12/11/2012,5.49,5.56,5.46,5.54,109060
13/11/2012,5.56,5.61,5.42,5.44,191400
14/11/2012,5.44,5.65,5.44,5.58,361620
15/11/2012,5.73,5.73,5.65,5.73,612860
16/11/2012,5.75,5.75,5.63,5.63,113140
19/11/2012,5.63,5.65,5.56,5.56,187250
20/11/2012,5.56,5.58,5.51,5.54,54040
21/11/2012,5.49,5.54,5.46,5.54,89300
22/11/2012,5.58,5.58,5.51,5.51,112160
23/11/2012,5.51,5.56,5.46,5.46,36490
26/11/2012,5.44,5.46,5.39,5.39,54310
27/11/2012,5.44,5.44,5.39,5.39,45380
28/11/2012,5.37,5.42,5.37,5.42,28060
29/11/2012,5.58,5.58,5.46,5.54,279940
30/11/2012,5.68,5.68,5.51,5.51,422030
03/12/2012,5.49,5.61,5.49,5.51,146900
04/12/2012,5.56,5.68,5.56,5.65,296390
05/12/2012,5.7,5.91,5.68,5.87,616260
06/12/2012,5.89,6.01,5.87,5.96,447180
07/12/2012,5.99,5.99,5.84,5.84,163330
10/12/2012,5.82,5.89,5.8,5.84,91080
11/12/2012,5.77,5.96,5.77,5.96,372770
12/12/2012,5.91,6.06,5.91,6.01,424460
13/12/2012,6.03,6.03,5.94,6.01,214710
14/12/2012,6.01,6.13,5.91,5.91,307590
17/12/2012,5.96,6.2,5.96,6.2,811260
18/12/2012,6.39,6.41,6.34,6.34,681340
19/12/2012,6.27,6.34,6.27,6.29,515770
20/12/2012,6.32,6.32,6.2,6.25,558040
21/12/2012,6.15,6.2,6.1,6.15,1077970
24/12/2012,6.15,6.2,6.06,6.17,162430
25/12/2012,6.25,6.34,6.22,6.29,499120
26/12/2012,6.17,6.32,6.17,6.32,117050
27/12/2012,6.43,6.43,6.32,6.41,680880
28/12/2012,6.32,6.46,6.32,6.43,480040
02/01/2013,6.43,6.58,6.43,6.58,168190
03/01/2013,6.6,6.74,6.39,6.74,500650
04/01/2013,6.62,6.98,6.58,6.91,501540
07/01/2013,6.62,7.1,6.62,7.1,1312740
08/01/2013,7.24,7.45,7.12,7.45,1035220
09/01/2013,7.12,7.5,7.1,7.5,1583320
10/01/2013,7.52,7.69,7.26,7.69,645400
11/01/2013,7.78,7.78,7.57,7.59,432980
