time,open,high,low,close,volume
18/10/2016,15.05,15.26,14.93,15.08,943960
19/10/2016,15.22,15.39,15.14,15.18,960210
20/10/2016,15.22,15.3,15.18,15.18,590370
21/10/2016,15.18,15.3,15.14,15.18,775760
24/10/2016,15.22,15.3,14.93,14.93,682740
25/10/2016,14.93,14.93,14.64,14.79,1336590
26/10/2016,14.79,14.81,14.6,14.6,694100
27/10/2016,14.6,15.01,14.6,15.01,844890
28/10/2016,15.01,15.05,14.85,15.01,435980
31/10/2016,15.01,15.08,14.89,14.89,672940
01/11/2016,14.81,14.97,14.77,14.85,519580
02/11/2016,14.81,14.87,14.64,14.64,508170
03/11/2016,14.54,14.58,14.37,14.48,984650
04/11/2016,14.56,14.56,14.43,14.48,613830
07/11/2016,14.52,15.01,14.5,14.99,1085380
08/11/2016,15.05,15.08,14.89,15.05,1088300
09/11/2016,15.01,15.01,14.48,14.89,1690880
10/11/2016,15.05,15.14,15.03,15.05,792150
11/11/2016,15.1,15.22,14.91,14.99,898610
14/11/2016,14.99,14.99,14.79,14.81,745100
15/11/2016,14.79,14.99,14.79,14.81,278870
16/11/2016,14.81,14.85,14.72,14.81,455210
17/11/2016,14.81,14.81,14.62,14.74,737730
18/11/2016,14.68,14.74,14.66,14.7,628230
21/11/2016,14.7,14.81,14.68,14.77,592840
22/11/2016,14.77,14.89,14.74,14.89,623270
23/11/2016,14.93,15.08,14.89,15.01,938330
24/11/2016,14.93,15.03,14.85,14.89,632950
25/11/2016,14.89,14.93,14.77,14.81,689900
28/11/2016,14.77,14.77,14.62,14.68,1062520
29/11/2016,14.6,14.68,14.39,14.48,1322100
30/11/2016,14.31,14.56,14.23,14.56,2063550
01/12/2016,14.68,14.68,14.56,14.58,866550
02/12/2016,14.56,14.62,14.52,14.6,751530
05/12/2016,14.52,14.54,14.43,14.43,548780
06/12/2016,14.46,14.46,14.06,14.12,1338320
07/12/2016,14.12,14.23,14.12,14.23,779510
08/12/2016,14.23,14.66,14.15,14.48,677500
09/12/2016,14.39,14.54,14.39,14.5,566840
12/12/2016,14.31,14.48,14.31,14.43,557230
13/12/2016,14.43,14.43,14.17,14.23,775830
14/12/2016,14.17,14.41,14.17,14.39,500040
15/12/2016,14.39,14.6,14.27,14.48,540870
16/12/2016,14.48,14.52,14.35,14.52,1269760
19/12/2016,14.52,14.6,14.48,14.54,847210
20/12/2016,14.6,14.6,14.41,14.46,449350
21/12/2016,14.43,14.56,14.35,14.46,314930
22/12/2016,14.52,14.52,14.41,14.43,422940
23/12/2016,14.46,14.72,14.41,14.72,985440
26/12/2016,14.74,14.97,14.72,14.93,1005930
27/12/2016,14.97,15.05,14.89,14.89,821630
28/12/2016,14.93,14.93,14.72,14.72,647070
29/12/2016,14.85,14.85,14.64,14.66,482410
30/12/2016,14.66,14.77,14.64,14.66,565850
03/01/2017,14.72,15.51,14.72,15.41,2018750
04/01/2017,15.51,15.55,15.22,15.3,1339740
05/01/2017,15.26,15.43,15.24,15.37,855250
06/01/2017,15.39,15.88,15.34,15.68,2495910
09/01/2017,15.8,16.11,15.76,16.01,2379510
10/01/2017,15.88,15.99,15.86,15.88,1234210
11/01/2017,15.88,16.03,15.82,15.9,1498220
12/01/2017,15.88,15.92,15.63,15.68,1863070
13/01/2017,15.55,15.84,15.49,15.49,1164660
16/01/2017,15.51,15.63,15.32,15.45,641920
17/01/2017,15.51,16.19,15.51,16.11,2340000
18/01/2017,16.03,16.19,15.84,15.84,1143460
19/01/2017,15.88,15.92,15.72,15.72,521040
20/01/2017,15.8,15.92,15.72,15.72,908930
23/01/2017,15.86,15.86,15.7,15.76,717890
24/01/2017,15.74,15.96,15.72,15.96,899030
25/01/2017,16.09,16.25,15.88,16.25,1352580
02/02/2017,16.38,16.38,16.09,16.32,1368580
03/02/2017,16.34,16.34,16.01,16.01,1546040
06/02/2017,16.01,16.09,15.88,16.01,1288900
07/02/2017,16.05,16.23,16.03,16.23,1527190
08/02/2017,16.3,16.46,16.17,16.44,1792740
09/02/2017,16.48,16.5,16.34,16.42,1203520
10/02/2017,16.4,16.4,16.25,16.25,1754030
13/02/2017,16.25,16.25,16.01,16.07,1490330
14/02/2017,16.07,16.17,15.92,16.01,1325510
15/02/2017,16.07,16.25,15.96,16.13,1419820
16/02/2017,16.21,16.36,15.92,15.96,1359740
17/02/2017,16.01,16.03,15.84,15.84,1220700
20/02/2017,15.92,15.92,15.68,15.7,1322360
21/02/2017,15.72,15.9,15.7,15.88,1076370
22/02/2017,15.92,15.92,15.63,15.68,802090
23/02/2017,15.68,15.8,15.53,15.55,1453770
24/02/2017,15.63,15.65,15.43,15.49,785650
27/02/2017,15.39,15.86,15.39,15.8,902460
28/02/2017,15.8,15.8,15.47,15.47,703780
01/03/2017,15.47,15.55,15.39,15.39,753500
