time,open,high,low,close,volume,MACD,RSI,CCI,ADX
2013-01-02,3.5,3.61,3.5,3.57,2474280,0.09437762322067078,75.43195043140119,185.54938007695623,28.63612167697267
2013-01-03,3.54,3.57,3.44,3.48,2733270,0.09766541592535294,65.90294713336388,130.64230192281477,29.536938843288144
2013-01-04,3.46,3.57,3.44,3.52,2132210,0.10231920888856161,67.84703264951392,121.44972991810442,30.37341192629537
2013-01-07,3.57,3.61,3.52,3.52,2252310,0.10479931210602045,67.84703264951392,124.04065546567125,31.433909582594833
2013-01-08,3.5,3.69,3.5,3.67,4216410,0.1175139307281774,74.23578520175379,140.4144035405351,32.91608437385623
2013-01-09,3.78,3.84,3.65,3.67,5797920,0.1261363364209993,74.23578520175379,161.43497757847535,34.990035313544816
2013-01-10,3.67,3.8,3.63,3.8,2255250,0.14182470171969452,78.52476822874449,150.9907198394785,36.586223275408166
2013-01-11,3.9,3.9,3.78,3.84,3875980,0.15569080328739382,79.64745219984815,166.06546426185702,38.47376729504234
2013-01-14,3.78,3.88,3.74,3.8,2817430,0.16158942071750104,75.40234003392212,134.51361493312805,39.59544065020699
2013-01-15,3.82,3.97,3.78,3.9,3048860,0.17234657772721462,78.48908568077098,143.92408937863496,41.01692537988354
2013-01-16,3.97,4.03,3.9,3.95,2094470,0.18279909016813356,79.85060482672777,149.70719545428184,42.5594358207914
2013-01-17,3.93,3.95,3.84,3.84,2908600,0.18013027125240733,69.43779017945468,107.5898495808935,43.10313165956196
2013-01-18,3.82,3.84,3.74,3.76,2452790,0.16960478325572836,63.003016773564966,65.98486161668671,42.3128771751165
2013-01-21,3.86,3.88,3.76,3.78,1661850,0.1610209418537063,63.90360424029604,67.73333333333323,41.819064483403956
2013-01-22,3.78,3.82,3.61,3.65,2162460,0.14209034312729374,54.600017557038626,21.103581800580837,39.75091237348814
2013-01-23,3.65,3.71,3.61,3.67,1425160,0.1272348558843519,55.66932051837659,3.206841261357495,37.8304854142806
2013-01-24,3.69,3.78,3.67,3.78,1263620,0.12292090028507419,61.09657619798716,31.633894579849645,36.56153174969488
2013-01-25,3.82,3.95,3.8,3.9,3449360,0.12771286213424338,65.98845312763527,91.19300437226741,36.3978770551879
2013-01-28,3.95,4.12,3.93,4.01,4754420,0.13878675974103682,69.7441703599702,147.08739914670724,37.00009995088867
2013-01-29,4.01,4.1,3.97,4.03,2148400,0.14747671644446747,70.38450571556258,140.9695409695411,37.55930692546796
