time,open,high,low,close,volume,MACD,RSI,CCI,ADX
2013-01-02,1.12,1.13,1.11,1.12,541540,0.03396722683094899,65.65168252720677,133.83838383838392,30.66057743097034
2013-01-03,1.12,1.13,1.11,1.13,720080,0.03477973342694707,67.17189614821932,122.89735667696498,31.450804410742187
2013-01-04,1.14,1.19,1.13,1.17,569620,0.03821084562122534,72.42848953958003,173.7221699592344,33.30640048170927
2013-01-07,1.13,1.23,1.13,1.23,926020,0.045249912490004984,78.09460704487807,196.34129311548617,35.52242056184218
2013-01-08,1.28,1.29,1.26,1.28,1480180,0.05423778639015975,81.50551962636014,257.12623618382776,38.10891087034761
2013-01-09,1.23,1.28,1.23,1.27,1877280,0.059863752706347695,78.86070713867764,194.01896425966456,39.277649319731054
2013-01-10,1.23,1.28,1.22,1.28,962800,0.06438707386340248,79.5744889564572,163.2653061224489,39.97864563955891
2013-01-11,1.28,1.29,1.25,1.27,849600,0.06639950982561493,76.78244875375955,143.5278336686785,40.76102131629749
2013-01-14,1.23,1.25,1.23,1.24,396190,0.0648263527039794,68.96471795180234,97.03843730308738,40.70874851986025
2013-01-15,1.23,1.24,1.22,1.24,989300,0.0628550603413991,68.96471795180233,79.4753086419752,40.285731579304866
2013-01-16,1.24,1.3,1.22,1.25,2347480,0.06139202432693991,70.14003792613259,89.53418027828177,40.800306333092536
2013-01-17,1.25,1.25,1.22,1.22,837430,0.057152984437241594,62.493870842591384,58.3063396575655,41.27812574732395
2013-01-18,1.22,1.22,1.19,1.22,344660,0.05318048327651237,62.493870842591384,34.53815261044163,40.65258201524724
2013-01-21,1.2,1.22,1.18,1.18,697920,0.04627119623290388,53.478828408702604,12.934801608110226,39.73897189163576
2013-01-22,1.17,1.18,1.13,1.16,801790,0.03873518847813462,49.6242326292233,-31.924882629108243,37.43702605581772
2013-01-23,1.14,1.16,1.14,1.15,343880,0.03159176145114295,47.77023562388451,-46.39951792708675,35.29950492255811
2013-01-24,1.15,1.23,1.15,1.23,829460,0.03201680567271792,60.488180179766246,13.402507565931666,34.67128841786317
2013-01-25,1.24,1.27,1.23,1.26,1009460,0.034378116038080275,64.0257614215066,72.33356369500089,34.67692250848079
2013-01-28,1.27,1.3,1.27,1.27,2762600,0.036634092922189554,65.14596231500394,100.96670247046166,35.0694038311321
2013-01-29,1.27,1.3,1.25,1.3,1651520,0.04037727603170893,68.33186649311737,97.80439121756449,34.87021108501556
2013-01-30,1.3,1.39,1.3,1.35,2172950,0.04683843344193961,72.79519332827924,178.58954845256216,35.72202503337285
2013-01-31,1.33,1.35,1.31,1.32,1160050,0.04897366009164239,66.71912692921205,138.74519166998297,36.512995128276046
2013-02-01,1.32,1.32,1.29,1.31,1087160,0.04929073327768707,64.77818730167205,98.36065573770497,36.698568879711324
2013-02-04,1.31,1.32,1.29,1.29,1102750,0.04738199308695057,60.95864225188015,80.68118369625907,36.87088736318693
