date,open,high,low,close,volume,symbol
2022/12/14,13.54,13.75,13.34,13.57,3294738,ACB
2022/12/15,13.48,13.78,13.48,13.6,4116001,ACB
2022/12/16,13.48,13.72,13.4,13.48,2221946,ACB
2022/12/19,13.42,13.63,13.34,13.34,3384971,ACB
2022/12/20,13.34,13.42,13.01,13.22,2569365,ACB
2022/12/21,13.25,13.48,13.07,13.37,1888423,ACB
2022/12/22,13.48,13.48,13.34,13.42,1959813,ACB
2022/12/23,13.42,13.42,13.07,13.42,1736555,ACB
2022/12/26,13.42,13.42,12.96,12.96,1779728,ACB
2022/12/27,12.96,13.25,12.9,12.96,2041994,ACB
2022/12/28,12.96,13.16,12.87,12.9,1827577,ACB
2022/12/29,12.9,13.13,12.78,12.9,1810363,ACB
2022/12/30,12.9,13.01,12.78,12.84,1340931,ACB
2023/01/03,12.9,13.31,12.87,13.31,1550148,ACB
2023/01/04,13.4,13.4,13.22,13.28,1643309,ACB
2023/01/05,13.34,13.48,13.28,13.4,2107285,ACB
2023/01/06,13.37,13.69,13.25,13.57,3407310,ACB
2023/01/09,13.69,13.69,13.45,13.54,1748795,ACB
2023/01/10,13.63,13.75,13.45,13.75,3062873,ACB
2023/01/11,13.84,14.33,13.75,14.19,5342324,ACB
2023/01/12,14.19,14.45,14.19,14.36,2883106,ACB
2023/01/13,14.42,14.54,14.16,14.16,2156614,ACB
2023/01/16,14.16,14.66,14.16,14.66,3541375,ACB
2023/01/17,14.69,14.92,14.63,14.83,3988618,ACB
2023/01/18,14.83,15.07,14.71,14.95,5439101,ACB
2023/01/19,14.95,15.24,14.92,15.24,5525817,ACB
2023/01/27,15.45,15.54,15.18,15.45,3758988,ACB
2023/01/30,15.42,15.45,14.89,14.89,5403319,ACB
2023/01/31,14.89,15.27,14.66,15.27,3485014,ACB
2023/02/01,15.3,15.39,14.71,14.77,3485902,ACB
2023/02/02,14.74,15.01,14.54,14.66,2886290,ACB
2023/02/03,14.66,14.8,14.3,14.36,9534382,ACB
2023/02/06,14.3,14.74,14.16,14.6,2397652,ACB
2023/02/07,14.66,14.71,14.3,14.42,2471469,ACB
2023/02/08,14.54,14.69,14.39,14.45,1924125,ACB
2023/02/09,14.45,14.71,14.36,14.36,3227424,ACB
2023/02/10,14.42,14.51,14.19,14.19,2009129,ACB
2023/02/13,14.16,14.16,13.95,14.01,2593039,ACB
2023/02/14,14.13,14.13,13.95,13.98,1439656,ACB
2023/02/15,14.01,14.45,13.92,14.39,3332041,ACB
2023/02/16,14.54,14.54,14.3,14.54,1625191,ACB
2023/02/17,14.57,14.63,14.39,14.54,1717468,ACB
2023/02/20,14.48,15.12,14.45,15.12,4907140,ACB
2023/02/21,15.12,15.24,14.95,14.95,1720729,ACB
2023/02/22,14.77,14.98,14.57,14.57,2654851,ACB
2023/02/23,14.51,14.95,14.22,14.89,3862411,ACB
2023/02/24,14.66,14.83,14.39,14.42,2228733,ACB
2023/02/27,14.36,14.42,14.13,14.22,3109431,ACB
2023/02/28,14.36,14.51,14.22,14.3,6149990,ACB
2023/03/01,14.3,14.77,14.19,14.74,2538293,ACB
2023/03/02,14.66,14.92,14.66,14.69,3339027,ACB
2023/03/03,14.69,14.83,14.36,14.36,2397060,ACB
2023/03/06,14.57,14.71,14.25,14.25,5225765,ACB
2023/03/07,14.51,14.66,14.25,14.36,4642941,ACB
2023/03/08,14.22,14.66,14.22,14.66,2786167,ACB
2023/03/09,14.66,14.92,14.6,14.86,3739916,ACB
2023/03/10,14.69,14.77,14.51,14.6,2423166,ACB
2023/03/13,14.51,14.63,14.27,14.36,4018921,ACB
2023/03/14,14.39,14.48,14.04,14.1,6767237,ACB
2023/03/15,14.42,14.54,14.33,14.54,1961634,ACB
2023/03/16,14.36,14.51,14.16,14.3,2499671,ACB
2023/03/17,14.39,14.45,14.27,14.27,1249647,ACB
2023/03/20,14.19,14.27,14.07,14.07,2457593,ACB
2023/03/21,14.3,14.3,13.98,14.19,1489101,ACB
2023/03/22,14.27,14.27,14.1,14.16,1862058,ACB
2023/03/23,14.13,14.42,14.04,14.36,7080550,ACB
2023/03/24,14.42,14.57,14.36,14.39,1683172,ACB
2023/03/27,14.42,14.51,14.27,14.33,2460164,ACB
2023/03/28,14.45,14.54,14.33,14.33,8288106,ACB
2023/03/29,14.36,14.42,14.27,14.3,15181219,ACB
2023/03/30,14.42,14.48,14.39,14.42,2122444,ACB
2023/03/31,14.48,14.8,14.45,14.66,5883708,ACB
2023/04/03,14.8,14.89,14.66,14.8,9968747,ACB
2023/04/04,14.8,14.86,14.69,14.74,7190534,ACB
2023/04/05,14.71,14.83,14.69,14.83,3320551,ACB
2023/04/06,14.89,14.92,14.6,14.6,4333371,ACB
2023/04/07,14.63,14.71,14.6,14.69,3144826,ACB
2023/04/10,14.71,14.74,14.57,14.66,3638803,ACB
2023/04/11,14.6,14.69,14.48,14.63,1598533,ACB
2023/04/12,14.66,14.69,14.54,14.57,3221563,ACB
2023/04/13,14.63,14.69,14.57,14.63,2520241,ACB
2023/04/14,14.69,14.71,14.57,14.63,5022906,ACB
2023/04/17,14.63,14.66,14.54,14.66,1649827,ACB
2023/04/18,14.66,14.66,14.51,14.51,2104707,ACB
2023/04/19,14.54,14.54,14.3,14.3,4596866,ACB
2023/04/20,14.36,14.39,14.19,14.22,2471896,ACB
2023/04/21,14.25,14.3,14.22,14.22,2473711,ACB
2023/04/24,14.25,14.33,14.13,14.19,2274897,ACB
2023/04/25,14.25,14.33,14.13,14.16,6174679,ACB
