time,VIC,VCB,FPT,HPG,PLX,MWG
2013-01-08,17.97,7.45,4.31,1.28,,
2013-01-09,17.65,7.5,4.42,1.27,,
2013-01-10,17.65,7.69,4.48,1.28,,
2013-01-11,17.76,7.59,4.41,1.27,,
2013-01-14,17.76,7.55,4.28,1.24,,
2013-01-15,17.76,7.57,4.33,1.24,,
2013-01-16,17.97,7.59,4.38,1.25,,
2013-01-17,18.08,7.45,4.32,1.22,,
2013-01-18,18.08,7.48,4.3,1.22,,
2013-01-21,17.87,7.36,4.28,1.18,,
2013-01-22,18.25,7.24,4.21,1.16,,
2013-01-23,18.39,7.19,4.21,1.15,,
2013-01-24,18.39,7.33,4.31,1.23,,
2013-01-25,18.53,7.69,4.46,1.26,,
2013-01-28,18.81,7.76,4.52,1.27,,
2013-01-29,18.81,8.04,4.48,1.3,,
2013-01-30,18.81,8.11,4.63,1.35,,
2013-01-31,18.67,8.04,4.55,1.32,,
2013-02-01,18.81,8.11,4.48,1.31,,
2013-02-04,18.81,7.97,4.47,1.29,,
2013-02-05,18.81,7.97,4.45,1.31,,
2013-02-06,18.95,8.16,4.47,1.37,,
2013-02-07,18.95,8.16,4.49,1.39,,
2013-02-08,18.95,8.16,4.52,1.39,,
2013-02-18,18.53,8.11,4.54,1.4,,
2013-02-19,18.81,8.02,4.5,1.39,,
2013-02-20,18.81,8.07,4.48,1.4,,
2013-02-21,18.25,7.57,4.38,1.3,,
2013-02-22,17.97,7.74,4.37,1.32,,
2013-02-25,18.25,7.93,4.36,1.35,,
2013-02-26,17.55,7.58,4.19,1.27,,
2013-02-27,17.83,7.58,4.15,1.26,,
2013-02-28,18.81,7.93,4.2,1.29,,
2013-03-01,18.53,7.95,4.2,1.28,,
2013-03-04,19.09,7.88,4.11,1.19,,
2013-03-05,18.53,7.75,4.05,1.16,,
2013-03-06,18.53,7.9,4.11,1.21,,
2013-03-07,18.11,7.9,4.08,1.25,,
2013-03-08,18.25,7.93,4.17,1.27,,
2013-03-11,18.53,7.9,4.24,1.31,,
2013-03-12,17.83,7.93,4.24,1.35,,
2013-03-13,17.83,7.97,4.21,1.31,,
2013-03-14,17.97,7.85,4.23,1.33,,
2013-03-15,18.39,8.07,4.22,1.34,,
2013-03-18,18.11,8.0,4.19,1.32,,
2013-03-19,18.11,7.88,4.2,1.33,,
2013-03-20,18.25,7.93,4.22,1.34,,
2013-03-21,18.39,7.9,4.33,1.35,,
2013-03-22,18.25,7.8,4.31,1.32,,
2013-03-25,18.67,7.85,4.37,1.36,,
2013-03-26,18.53,7.8,4.34,1.37,,
2013-03-27,18.11,7.93,4.29,1.36,,
2013-03-28,17.97,7.85,4.29,1.37,,
2013-03-29,17.83,7.85,4.29,1.38,,
2013-04-01,18.39,7.85,4.36,1.48,,
2013-04-02,18.53,7.9,4.39,1.52,,
2013-04-03,18.11,7.85,4.36,1.49,,
2013-04-04,17.83,7.78,4.32,1.49,,
2013-04-05,18.25,7.63,4.36,1.53,,
2013-04-08,18.25,7.73,4.5,1.52,,
2013-04-09,17.97,7.66,4.64,1.52,,
2013-04-10,17.69,7.14,4.52,1.44,,
2013-04-11,17.97,7.24,4.45,1.45,,
2013-04-12,17.83,7.04,4.42,1.45,,
2013-04-15,17.41,6.7,4.29,1.42,,
2013-04-16,17.41,6.87,4.25,1.43,,
2013-04-17,17.41,6.92,4.31,1.43,,
2013-04-18,17.26,6.7,4.2,1.39,,
2013-04-22,17.12,6.55,4.19,1.38,,
2013-04-23,17.26,6.62,4.23,1.41,,
2013-04-24,17.12,6.53,4.21,1.42,,
2013-04-25,17.41,6.72,4.22,1.45,,
2013-04-26,17.41,6.72,4.22,1.46,,
2013-05-02,17.83,6.67,4.2,1.49,,
2013-05-03,17.83,6.67,4.21,1.52,,
2013-05-06,17.97,6.87,4.34,1.54,,
2013-05-07,17.97,6.85,4.25,1.52,,
2013-05-08,18.11,6.89,4.29,1.54,,
2013-05-09,18.11,6.82,4.29,1.6,,
2013-05-10,17.97,6.75,4.3,1.63,,
2013-05-13,18.11,6.82,4.31,1.61,,
2013-05-14,18.11,6.67,4.36,1.55,,
2013-05-15,17.97,6.85,4.4,1.62,,
2013-05-16,17.83,7.21,4.4,1.62,,
2013-05-17,17.97,7.02,4.37,1.6,,
2013-05-20,17.97,7.21,4.46,1.66,,
2013-05-21,18.11,7.24,4.76,1.67,,
2013-05-22,18.53,7.24,4.73,1.67,,
2013-05-23,17.97,7.02,4.73,1.65,,
2013-05-24,18.25,6.99,4.76,1.67,,
2013-05-27,18.81,7.24,4.86,1.72,,
2013-05-28,18.81,7.29,4.89,1.73,,
2013-05-29,20.07,7.26,4.99,1.74,,
2013-05-30,20.07,7.53,4.98,1.74,,
2013-05-31,19.09,7.58,5.05,1.74,,
2013-06-03,19.37,7.61,5.03,1.71,,
2013-06-04,20.07,7.41,5.07,1.67,,
2013-06-05,19.51,7.51,5.13,1.69,,
2013-06-06,19.23,7.68,5.18,1.7,,
2013-06-07,19.51,7.85,5.16,1.7,,
2013-06-10,19.65,7.78,5.17,1.69,,
2013-06-11,19.23,7.68,5.13,1.67,,
2013-06-12,19.37,7.48,5.11,1.62,,
2013-06-13,19.09,7.58,5.07,1.65,,
2013-06-14,18.25,7.51,5.01,1.64,,
2013-06-17,17.97,7.51,4.9,1.59,,
2013-06-18,17.97,7.61,4.87,1.59,,
2013-06-19,17.97,7.61,4.88,1.58,,
2013-06-20,17.83,7.58,4.86,1.56,,
2013-06-21,17.69,7.56,4.84,1.5,,
2013-06-24,17.55,7.24,4.82,1.5,,
2013-06-25,17.26,6.8,4.7,1.44,,
2013-06-26,17.26,6.62,4.71,1.44,,
2013-06-27,17.69,6.77,4.72,1.52,,
2013-06-28,17.55,6.87,4.74,1.5,,
2013-07-01,17.26,6.72,4.76,1.47,,
2013-07-02,17.83,6.82,4.81,1.51,,
2013-07-03,17.83,6.72,4.83,1.5,,
2013-07-04,17.69,6.72,4.92,1.47,,
2013-07-05,17.69,6.75,4.95,1.49,,
2013-07-08,17.41,6.77,4.88,1.47,,
2013-07-09,17.69,6.77,4.83,1.47,,
2013-07-10,17.55,6.7,4.82,1.47,,
2013-07-11,17.83,6.75,4.81,1.46,,
2013-07-12,18.25,6.82,4.88,1.53,,
2013-07-15,18.11,6.82,4.89,1.57,,
2013-07-16,17.97,6.8,4.95,1.56,,
2013-07-17,17.97,6.8,4.96,1.56,,
2013-07-18,17.83,6.77,4.91,1.61,,
2013-07-19,17.97,6.87,4.98,1.63,,
2013-07-22,17.83,6.85,4.98,1.63,,
2013-07-23,17.83,6.94,4.95,1.67,,
2013-07-24,17.83,6.77,4.88,1.64,,
2013-07-25,17.97,6.75,4.92,1.61,,
2013-07-26,17.97,6.75,4.87,1.61,,
2013-07-29,17.69,6.62,4.79,1.57,,
2013-07-30,17.41,6.67,4.88,1.62,,
2013-07-31,17.69,6.58,4.88,1.61,,
2013-08-01,17.83,6.55,4.87,1.61,,
2013-08-02,17.83,6.62,4.9,1.62,,
2013-08-05,17.97,6.65,5.05,1.63,,
2013-08-06,18.11,6.72,5.13,1.63,,
2013-08-07,18.53,6.65,5.25,1.67,,
2013-08-08,18.53,6.6,5.13,1.67,,
2013-08-09,18.53,6.6,5.17,1.66,,
2013-08-12,18.11,6.58,5.15,1.66,,
2013-08-13,18.25,6.53,5.16,1.67,,
2013-08-14,18.39,6.55,5.18,1.68,,
