time,tic,open,high,low,close,volume
2023-01-03,VNM,67.18,68.94,66.92,68.94,1496887
2023-01-04,VNM,69.12,69.64,69.03,69.64,1090697
2023-01-05,VNM,69.64,71.49,69.38,71.31,2471156
2023-01-06,VNM,71.14,71.31,69.91,70.08,1270661
2023-01-09,VNM,70.17,70.87,69.91,70.87,949900
2023-01-10,VNM,71.05,71.58,70.79,71.14,1196828
2023-01-11,VNM,71.14,71.66,69.73,69.73,1535421
2023-01-12,VNM,70.17,70.43,69.64,70.26,685545
2023-01-13,VNM,70.43,71.22,70.35,70.79,1449667
2023-01-16,VNM,70.79,70.96,69.73,69.73,655271
2023-01-17,VNM,70.43,71.14,69.73,71.05,1672065
2023-01-18,VNM,71.05,71.58,70.87,71.4,1299292
2023-01-19,VNM,70.96,71.58,70.26,71.4,2628489
2023-01-27,VNM,71.49,71.93,69.91,70.26,2333482
2023-01-30,VNM,70.26,70.26,69.73,69.73,1614712
2023-01-31,VNM,69.56,69.82,67.54,67.71,4819134
2023-02-01,VNM,68.24,68.33,67.54,67.8,1811677
2023-02-02,VNM,67.98,68.06,67.36,67.36,1494960
2023-02-03,VNM,67.62,67.71,66.66,66.75,1857505
2023-02-06,VNM,66.66,68.06,66.66,67.98,1911471
2023-02-07,VNM,68.15,68.15,66.83,66.83,1275373
2023-02-08,VNM,66.92,67.27,66.48,66.57,1551091
2023-02-09,VNM,66.57,66.75,65.87,65.87,1594747
2023-02-10,VNM,65.87,66.66,65.87,66.66,1236884
2023-02-13,VNM,66.66,66.66,65.08,66.13,1570936
2023-02-14,VNM,66.13,66.48,65.34,65.6,1074782
2023-02-15,VNM,65.6,66.75,65.34,66.75,1444301
2023-02-16,VNM,66.75,67.18,66.39,67.18,692037
2023-02-17,VNM,66.83,67.1,66.13,66.75,777880
2023-02-20,VNM,66.75,68.06,66.31,68.06,1386188
2023-02-21,VNM,68.06,68.15,67.36,67.8,889193
2023-02-22,VNM,67.01,67.36,66.31,66.31,1296443
2023-02-23,VNM,66.31,67.54,65.34,66.48,2328809
2023-02-24,VNM,66.48,66.75,65.43,65.6,1681692
2023-02-27,VNM,65.6,66.66,64.99,66.04,1113616
2023-02-28,VNM,66.31,66.66,65.96,66.31,1035315
2023-03-01,VNM,65.96,67.62,65.87,67.54,1636044
2023-03-02,VNM,67.54,67.54,66.83,67.18,1089291
2023-03-03,VNM,65.87,67.45,65.87,66.75,704604
2023-03-06,VNM,66.75,67.27,65.87,65.87,892543
2023-03-07,VNM,66.66,66.92,66.31,66.57,1171596
2023-03-08,VNM,66.04,67.18,65.87,67.18,1245092
2023-03-09,VNM,66.92,67.71,66.92,67.18,1390428
2023-03-10,VNM,67.18,67.8,66.83,67.54,1428506
2023-03-13,VNM,67.45,67.71,67.27,67.54,1825388
