date,open,high,low,close,volume,tic,day,macd,rsi,cci,dx,atr
2025-01-02,58.67,58.86,58.21,58.21,1339894,vnm,3,-0.14441083463367477,35.495913917681435,-124.46915541434745,46.99932310631151,0.5314555743963207
2025-01-03,58.3,58.4,58.03,58.12,1779619,vnm,4,-0.17348243149441345,33.91179952994983,-154.17801998183796,58.341854172552075,0.5199230333680119
2025-01-06,58.12,58.3,57.66,57.66,2108984,vnm,0,-0.23097747255060597,27.224285920479872,-179.4952681388023,72.36756421575814,0.5284999595560111
2025-01-07,57.75,58.12,56.83,56.92,2811099,vnm,1,-0.3324225620100023,20.291752515691797,-229.15601023017965,85.23485177402257,0.5828928195877245
2025-01-08,57.2,57.29,56.46,56.92,2057556,vnm,2,-0.4081140416490072,20.291752515691797,-208.19260293091247,88.0879985469663,0.6005433324743156
2025-01-09,57.01,57.1,56.55,57.01,1504291,vnm,3,-0.4555861235126457,23.055468373745995,-153.87648083290216,88.08799854696629,0.5969330944404362
2025-01-10,56.92,57.1,56.55,56.55,1192540,vnm,4,-0.524282642083719,19.3605287265884,-132.4061196105697,88.08799854696632,0.5935807305518339
2025-01-13,56.46,57.1,56.37,56.64,1104262,vnm,0,-0.5649504826498486,21.99459945414526,-109.99725601390296,89.59115245754289,0.603324964083846
2025-01-14,56.64,57.01,56.55,56.83,1149837,vnm,1,-0.5752178736045082,27.387089822687173,-85.30332565420308,89.59115245754289,0.5930874666492856
2025-01-15,57.29,57.47,56.92,56.92,1219841,vnm,2,-0.5695274491546911,29.860526521045585,-49.55713977100927,32.642582564108025,0.5964383618886223
2025-01-16,57.47,57.75,56.92,57.1,1687939,vnm,3,-0.5442198237406757,34.654723114101216,-29.33399274645615,9.534505189322129,0.6131213360394349
2025-01-17,57.38,57.38,57.2,57.2,890720,vnm,4,-0.5102127688010398,37.222001594640474,-22.69432918395474,9.53450518932212,0.5893269548937611
2025-01-20,57.2,57.38,56.83,57.1,1638012,vnm,0,-0.4857318822380421,35.711064921006454,-33.61894718340863,30.756992141266142,0.5865178866870642
2025-01-21,57.2,57.29,56.83,57.01,1405722,vnm,1,-0.46819578157203523,34.359249486015244,-35.437449833734824,30.75699214126614,0.5774808947808454
2025-01-22,57.2,57.2,56.83,56.83,1762572,vnm,2,-0.46348008126023643,31.769048378761283,-42.890809112331446,30.75699214126613,0.5626608308679283
2025-01-23,56.83,57.47,56.83,57.2,1783676,vnm,3,-0.4249879504602774,41.52700835143591,27.862873814733618,3.5307137596655562,0.5681850572345049
2025-01-24,57.1,57.66,57.01,57.38,1578694,vnm,4,-0.37562815623853396,45.60277938590902,114.82456140350718,11.441657338931897,0.5740289817177544
2025-02-03,57.38,57.38,55.81,55.81,7286722,vnm,0,-0.45791745528146777,27.558943723703678,-198.95833333333553,45.74128067921699,0.645169768737915
2025-02-04,55.9,56.18,55.35,55.54,7132840,vnm,1,-0.538709157320433,25.677306844832515,-257.4571051473857,55.77781158231113,0.658371928113778
2025-02-05,55.72,56.74,55.72,56.74,3204519,vnm,2,-0.5001418679512994,43.98328851704676,-85.95772357723592,23.649696654350777,0.6970596475342227
2025-02-06,56.74,56.83,55.81,56.0,3033470,vnm,3,-0.5232570473008309,37.80025658115599,-102.11631008291397,19.094837304336252,0.7201268155674921
2025-02-07,56.0,56.46,55.9,56.09,2555237,vnm,4,-0.5282247000983205,38.92479474954806,-94.44530403837126,19.094837304336263,0.7086891858841
2025-02-10,56.46,56.46,55.9,55.9,2597063,vnm,0,-0.5412537762205929,37.38800765356218,-85.72149575590728,19.094837304336263,0.6980685297495216
2025-02-11,55.9,56.0,55.44,55.72,3438061,vnm,1,-0.5596525820004885,35.940326310866325,-111.81844974948459,37.245284285518906,0.6882064919102702
2025-02-12,55.9,56.27,55.81,56.27,2759083,vnm,2,-0.5238151496969721,43.17996687557414,-54.73969963658621,19.14299715181356,0.6783345996309655
2025-02-13,56.27,56.27,55.72,56.0,2579334,vnm,3,-0.5113064474683355,40.745532675707594,-63.22580645161278,23.046812641630265,0.6691678425144684
2025-02-14,56.0,56.0,55.63,55.63,6406440,vnm,4,-0.525194997602938,37.61579043621027,-89.53653106658683,27.10752517617224,0.6477987109062919
2025-02-17,55.72,55.9,55.35,55.35,3616591,vnm,0,-0.5524273944593645,35.39978804937522,-112.3311127163783,38.71624724691765,0.6408130886986995
2025-02-18,55.72,55.81,55.35,55.63,2442358,vnm,1,-0.5451316667034689,39.25372300880615,-95.33345043620893,38.71624724691766,0.6278978680773638
2025-02-19,55.63,56.18,55.63,56.09,3075728,vnm,2,-0.49650815730267084,45.05330263634547,-20.839656044510775,8.356606956086626,0.6223337346432662
2025-02-20,56.18,56.18,55.9,56.0,2632849,vnm,3,-0.45993408974018735,44.16487268075579,16.8648978347069,8.356606956086635,0.5978813250258902
2025-02-21,56.09,57.29,55.9,56.64,4723060,vnm,4,-0.37498364831953523,51.49051005821982,172.22222222222206,42.183624160787,0.6544612303811839
2025-02-24,56.83,58.95,56.83,58.86,11520294,vnm,0,-0.12705969964729746,67.44574863816237,345.9881343240561,67.96610126431334,0.7727139996396709
2025-02-25,59.04,59.04,57.75,58.03,3891802,vnm,1,0.002419857855429086,59.5584259828753,219.61877667140658,68.83549467006412,0.8096629996654086
2025-02-26,58.12,58.49,58.03,58.21,3639672,vnm,2,0.118195353245234,60.63360256464058,151.03934031953276,68.83549467006414,0.7846870711178794
2025-02-27,58.3,58.3,57.38,57.38,3525626,vnm,3,0.14134486839970606,53.562273903129686,84.44817969973609,33.8944567409252,0.7943522803237448
2025-02-28,57.47,58.3,57.38,57.38,4180628,vnm,4,0.15787118519139653,53.562273903129686,70.2003604367642,33.89445674092519,0.803327117443477
2025-03-03,57.94,58.3,57.47,58.3,3614305,vnm,0,0.24241036575249808,59.61664635174173,77.92381974248914,33.894456740925186,0.8116608947689425
2025-03-04,58.3,58.86,58.03,58.58,6046776,vnm,1,0.3282184375225583,61.27158829247258,91.45374449339204,48.107704335702685,0.8129708308568752
2025-03-05,58.67,58.67,57.84,57.84,2281264,vnm,2,0.3326752636954282,54.87150502835585,59.896232031981555,36.60901639542769,0.814187200081384
2025-03-06,57.84,58.03,57.38,58.03,3129517,vnm,3,0.34753260313348733,56.138334530150374,34.86101378182712,12.261548427646396,0.8024595429327136
2025-03-07,58.03,58.12,57.57,57.84,2659929,vnm,4,0.34005578812759296,54.49101848994503,30.59884922630014,15.65518561443172,0.7844267184375195
2025-03-10,58.12,58.12,57.66,57.66,2533190,vnm,0,0.31596363063718513,52.90709249573899,20.075589150733897,15.655185614431725,0.7612533814062682
2025-03-11,57.47,57.66,57.29,57.57,2290854,vnm,1,0.2863077963568159,52.091761982115976,-34.1173533083655,4.55167263266715,0.7333067113058203
2025-03-12,57.66,57.94,57.38,57.38,2761535,vnm,2,0.24465370629263106,50.32845010973721,-58.16169258792216,9.287359222915544,0.7209276604982613
2025-03-13,57.47,58.03,57.1,57.2,5106563,vnm,3,0.1948716846606544,48.648362615311335,-113.75582168995041,5.192528513405839,0.7358613990340998
2025-03-14,57.57,57.84,57.29,57.29,2700423,vnm,4,0.16082740349988,49.55511799552782,-95.5221344209366,5.192528513405832,0.7290141562459498
2025-03-17,57.57,58.49,57.57,58.12,4066437,vnm,0,0.19853256893232896,57.0817121629085,59.08633159388328,25.368530254695465,0.7626560022283821
2025-03-18,58.21,58.21,57.66,57.66,3285983,vnm,1,0.1891160168474002,52.41410807426349,9.725292074520246,25.368530254695465,0.747466287783498
2025-03-19,57.84,57.94,57.1,57.47,3042976,vnm,2,0.1644265128851714,50.5745663594754,-85.49355378407536,5.966850053007898,0.754075838656105
2025-03-20,57.38,57.38,56.55,57.01,3895453,vnm,3,0.10651392131492088,46.33465937051267,-177.79614325068923,26.722623323387523,0.7659275644663833
2025-03-21,57.01,57.01,56.46,56.55,3331858,vnm,4,0.023231817705024582,42.49780476501996,-188.96551724137686,29.65434629505718,0.7505041670044985
2025-03-24,56.64,57.2,56.37,56.64,2493893,vnm,0,-0.03510295655009088,43.483882266386146,-155.5555555555537,18.14073209972146,0.7561824407898919
2025-03-25,56.92,56.92,56.46,56.64,2327043,vnm,1,-0.08040680582062265,43.483882266386146,-133.07390648567068,18.14073209972147,0.7350265521620426
2025-03-26,56.74,57.1,56.46,56.46,1849811,vnm,2,-0.12934393210584005,41.82041475551102,-104.94489365676455,6.241141033256879,0.7282389412933252
2025-03-27,56.46,56.74,56.37,56.37,2233560,vnm,3,-0.17339046771841282,40.9763534203613,-108.22447282156578,11.390246850833217,0.7026504454866594
2025-03-28,56.27,56.37,55.54,55.63,5443940,vnm,4,-0.2649552410021272,34.76359767484827,-160.47358834244238,44.07327944484835,0.7117468422376123
2025-03-31,56.09,56.83,55.9,55.9,5308209,vnm,0,-0.31213612900501175,38.43156784359592,-98.19808572617664,16.576620465424888,0.7466220677920683
2025-04-01,56.46,56.46,55.63,56.09,3137933,vnm,1,-0.3303874101582025,40.94777602964187,-101.80722891566181,26.1253532891857,0.752577634378349
2025-04-02,56.0,56.64,55.81,55.81,4687947,vnm,2,-0.36325793060406397,38.45366744929393,-88.14362298965281,15.919029399730094,0.7581078033513239
2025-04-03,54.89,54.98,51.94,52.12,16961756,vnm,3,-0.6792304702057521,20.624710931308087,-310.1198604157183,72.04280642843402,0.9803858173976583
